Odiya,Marathi
ଏସିଡଏଡ୍ |,ऍसिडॉइड
ଆଓଲିୟାନ୍ ମାଟି |,एओलियन माती
ସମୁଦାୟ,एकूण
ଏକୀକରଣ,एकत्रीकरण
ଏଗ୍ରୋଲୋଜି,कृषीशास्त्र
କୃଷି,कृषीशास्त्र
ଏକ ରାଶି,A-क्षितिज
ଆଓ-ରାଶି,Ao-क्षितिज
ଆଓ-ରାଶି |,Aoo-क्षितिज
ମାଟିର ବାୟୁ କ୍ଷମତା |,मातीची हवेची क्षमता
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,मातीतील हवेचे प्रमाण
ବାୟୁ ପିକନୋମିଟର |,एअर पिकनोमीटर
ଆଲିଟିକ୍ ମାଟି |,ऍलिटिक माती
ଆଲୁଭିଆଲ୍ ମାଟି |,गाळाची माती
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,अॅम्फोलायटॉइड
ଆନିଅନ୍ |,आयन
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
ଆରିସ୍,ऍरिस
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,Ashlar दंड दगडी बांधकाम
ଆଶଲାର୍ ରାଜକନିକା |,Ashlar दगडी बांधकाम
ଆଜୋନାଲ ମାଟି |,अझोनल माती
ପଛ ଆକ୍ଟର୍ |,मागचा अभिनेता
ପଛ ଆର୍କ,मागची कमान
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,बॅक बँड
ପଛ ବ୍ରଶ୍ |,मागे ब्रश
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,परत तपासणी
ପଛ କାଉଣ୍ଟର |,मागे काउंटर
ପଛ କାଟିବା |,परत कटिंग
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,बॅक ड्राफ्ट डँपर
ପଛ ଡ୍ରେନ୍ |,मागे निचरा
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,बॅक ड्रॉप
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,परत भरा
ପଛ ଫିଲେଟ୍ |,बॅक फिलेट
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,बॅक फ्लॅप बिजागर
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,परत प्रवाह कनेक्शन
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,परत प्रवाह प्रतिबंधक
ବ୍ୟାକ୍ ଗେଜ୍ |,बॅक गेज
ପଛ ଗୁଟର୍ |,मागे गटार
ପଛ ଚୁଲି,मागे चूल
ସମର୍ଥନ,पाठीराखा
ବ୍ୟାକିଂ ବୋର୍ଡ |,बॅकिंग बोर्ड
ପଛ ଚାପ |,पाठीचा दाब
ପଛ ପ୍ରପ,बॅक प्रोप
ପଛ ଦୃଶ୍ୟ |,मागची दृष्टी
ପଛ ପାଣି |,परत पाणी
ବାଫଲ୍ |,गोंधळ
ବ୍ୟାଗୱାର୍କ |,बॅगवर्क
ବାଲାଷ୍ଟ,गिट्टी
ବଲ୍ ମାଟି |,बॉल क्ले
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,बॉल कोन क्लॅम्प
କଣ୍ଟା ତାର,काटेरी तार
ବାର୍ କୁକୁର |,बार कुत्रा
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,बार्ज बोर्ड
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,बेरियम सल्फेट चाचणी
