Marathi,English
ऍसिडॉइड,Acidoid
एओलियन माती,Aeolian soil
एकूण,Aggregate
एकत्रीकरण,Aggregation
कृषीशास्त्र,Agrology
कृषीशास्त्र,Agronomy
A-क्षितिज,A-horizon
Ao-क्षितिज,Ao-horizon 
Aoo-क्षितिज,Aoo-horizon
मातीची हवेची क्षमता,Air capacity of soil
मातीतील हवेचे प्रमाण,Air content of soil
एअर पिकनोमीटर,Air picnometer
ऍलिटिक माती,Allitic soil
गाळाची माती,Alluvial soil
अॅम्फोलायटॉइड,Ampholytoid
आयन,Anion
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
ऍरिस,Arris
Ashlar दंड दगडी बांधकाम,Ashlar fine masonry
Ashlar दगडी बांधकाम,Ashlar masonry
अझोनल माती,Azonal soil
मागचा अभिनेता,Back acter 
मागची कमान,Back arch
बॅक बँड,Back band
मागे ब्रश,Back brush
परत तपासणी,Back check
मागे काउंटर,Back counter
परत कटिंग,Back cutting
बॅक ड्राफ्ट डँपर,Back draft damper
मागे निचरा,Back drain
बॅक ड्रॉप,Back drop
परत भरा,Back fill
बॅक फिलेट,Back fillet
बॅक फ्लॅप बिजागर,Back flap hinge
परत प्रवाह कनेक्शन,Back flow connection
परत प्रवाह प्रतिबंधक,Back flow preventer
बॅक गेज,Back gauge 
मागे गटार,Back gutter 
मागे चूल,Back hearth
पाठीराखा,Backing
बॅकिंग बोर्ड,Backing board
पाठीचा दाब,Back pressure
बॅक प्रोप,Back prop
मागची दृष्टी,Back sight 
परत पाणी,Back water
गोंधळ,Baffle
बॅगवर्क,Bagwork 
गिट्टी,Ballast
बॉल क्ले,Ball clay
बॉल कोन क्लॅम्प,Ball cone clamp
काटेरी तार,Barbed wire
बार कुत्रा,Bar dog
बार्ज बोर्ड,Barge board
बेरियम सल्फेट चाचणी,Barium sulphate test
बॅरेज,Barrage
बॅरेट,Barrett
पाया,Base
बेस एक्सचेंज,Base exchange
बेस लाइन,Base line 
तळघर,Basement
तळघर भिंत,Basement wall
तळपट्टी,Base plate
"बेस प्लेट, समायोज्य","Base plate, adjustable"
बेस संपृक्तता,Base saturation
बेसॉइड,Basoid
वटवाघूळ,Bat
बाथ आणि WC,Bath and W.C.
पिठात पेग,Batter peg
पिठात घाट,Batter pier
पिठात नियम,Batter rule
बल्क (बाल्क),Baulk (balk)
खाडी,Bay
वाहक,Bearer
सहन करण्याची क्षमता,Bearing capacity
पत्करणे ब्लॉकला,Bearing pile
बेअरिंग स्ट्रॅटम,Bearing stratum
पलंग,Bed
बेडिंग विमान,Bedding plane
बेड संयुक्त,Bed joint
बेड रॉक,Bed rock
बेड रूम,Bed room
मेण,Beeswax
