Odiya,Hindi
ଆବାକସ୍ |,"1.एबेकस ,2. गिनतारा"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,असामान्य समापन
ପରିତ୍ୟାଗ,अवरोधन
ସଂପୂର୍ଣ୍ଣ,"1. निरपेक्ष ,2. परम"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष पता
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष पताभिगमन
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,निरपेक्ष कोडांतरक
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,निरपेक्ष समादेश
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,निरपेक्ष अनुदेश
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,निरपेक्ष विधा
ସଂପୂର୍ଣ୍ଣ ପଥ,निरपेक्ष पथ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,अमूर्त वर्ग
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,अमूर्त आंकड़ा प्रकार
ବିସ୍ତୃତ ମେସିନ୍ |,अमूर्त मशीन
ବିସ୍ତୃତ ପ୍ରତୀକ |,अमूर्त प्रतीक
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,अमूर्त वाक्य विन्यास
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृति परीक्षण
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,अभिगम प्रमाणन
ପ୍ରବେଶ କୋଡ୍,"1. अभिगम कूट ,2. अभिगम कोड"
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,अभिगम नियंत्रण
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,अभिगम क्रमवीक्षण
ଆନୁଷଙ୍ଗିକ,सहयंत्र
ଖାତା,लेखा
ଖାତା ID,"1. एकाउंट आई डी ,2. लेखा पहचान"
ଜମାକାରୀ,संचायक
ସଠିକତା,"1. विशुद्धता ,2. यर्थाथता"
acess,अभिगम
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,अभिगम नियंत्रण बाइट
acess index,अभिगम सूचक
acess କି,अभिगम कुंजी
acess matrix,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
acess ମୋଡ୍ |,अभिगम विधा
acess ଅଧିକାର,अभिगम विशेषाधिकार
acess ସୁରକ୍ଷା |,अभिगम सुरक्षा
acess ସର୍ଭର |,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
ଆକସେସ୍ ସମୟ |,अभिगम काल
ସ୍ୱୀକୃତି,अभिस्वीकृति
