Hindi,Kannada
"उपशमन, कमी",ದಾಟುವುದು
संक्षिप्‍ति,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
अपहरण,ಅಪಹರಣ
प्रास्थगन,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
योग्यता,ಸಾಮರ್ಥ್ಯ
"आदित:, आरंभ से",ಎಬಿ ಇನಿಶಿಯೋ
योग्य,ಸಮರ್ಥ
अपसामान्य,ಅಸಹಜ
"उन्मूलन, समाप्‍ति",ನಿರ್ಮೂಲನ
पद समाप्‍ति,ರದ್ದುಮಾಡುವಿಕೆ
"ऊपर उल्लिखित, उपर्युक्‍त",ಮೇಲೆ ತಿಳಿಸಿದ
ऊपर उद्‍धृत,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
उपर्युक्‍त,ಮೇಲೆ ಹೇಳಿದರು
"अनुपस्थिति, गैरहाजि़री, अभाव",ಅನುಪಸ್ಥಿತಿ
"अनुपस्थित, ग़ैरहाजि़र",ಗೈರುಹಾಜರಿ
"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता",ಗೈರುಹಾಜರಿ
अनुपस्थिति-विवरण,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
"पूर्ण, निरपेक्ष",ಸಂಪೂರ್ಣ
पूर्ण एकाधिकार,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
पूर्ण स्वामित्व,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
"आमेलन, अवशोषण",ಹೀರುವಿಕೆ
सार,ಅಮೂರ್ತ
सार-विवरण,ಅಮೂರ್ತತೆ
"अर्थहीन, बेतुका",ಅಸಂಬದ್ಧ
प्रचुरता,ಹೇರಳವಾಗಿರುವುದು
शक्‍ति का दुरुपयोग,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
गाली-गलौज,ನಿಂದಕ ಭಾಷೆ
"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय",ಶೈಕ್ಷಣಿಕ
शास्त्रीय चर्चा,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
अकादमिक छुट्टी,ಶೈಕ್ಷಣಿಕ ರಜೆ
शैक्षिणिक अर्हता,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
"शैक्षिक रिकार्ड, शैक्षिक अभिलेख",ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
"मान लेना, अधिमिलन होना",ತಪ್ಪೊಟ್ಟು
"स्वीकार करना, मानना",ಒಪ್ಪಿಕೊಳ್ಳಿ
"स्वीकृति, प्रतिग्रहण",ಸ್ವೀಕಾರಾರ್ಹತೆ
पद-स्वीकृति,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
निविदा की स्वीकृति,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
पहुंच,ಪ್ರವೇಶ
"राज्यारोहण, पदारोहण, परिग्रहण",ಪ್ರವೇಶ
"अनुषंगी, उपसाधन",ಪರಿಕರ
"दुर्घटना, संयोग",ಅಪಘಾತ
पर्यनुकूलन,ಒಗ್ಗೂಡಿಸುವಿಕೆ
"आवास, निर्वाह, समंजन",ಸೌಕರ್ಯ
संगकार,ಜೊತೆಗಾರ
"समझौता, प्रदान करना, देना",ಸ ೦ ಗೀತ
"अनुरूपता, संगति",ಪ್ರೇಕ್ಷಕ
तदनुसार,ಹಾಗೆಯೇ
"लेखा, खाता, हिसाब",ಖಾತೆ
जवाबदेही,ಹೊಣೆಗಾರಿಕೆ
"जवाबदेह, देनदार",ಹೊಣೆಗಾರ
"लेखा विधि, लेखा कार्य",ಹೊಣೆ
लेखाकार,ಲೆಕ್ಕಪರಿಶೋಧಕ
"कारण बताना, लेखा-जोखा देना",ಇದಕ್ಕೆ ಖಾತೆ
लेखा-शीर्ष,ಖಾತೆ
प्रोद्‌भूत हितलाभ,ಸಂಚಿತ ಲಾಭ
प्रोद्‌भूत पेन्शन,ಸಂಚಿತ ಪಿಂಚಣಿ
"संचय, संचयन",ಸಂಗ್ರಹಣೆ
"यथार्थता, परिशुद्‌धता",ನಿಖರತೆ
"यथार्थ, सही, परिशुद्‌ध",ನಿಖರವಾದ
अभियोग लगाना,ಆರೋಪಿಸು
अभियुक्‍त,ಆರೋಪಿ
उपलब्‍धि,ಸಾಧನೆ
"पावती, प्राप्‍ति सूचना, अभिस्वीकृति",ಸ್ವೀಕೃತಿ
"पावती पत्र, रसीदी",ಸ್ವೀಕೃತಿ ಕಾರಣ
"(व्यक्‍ति) परिचित, परिचय",ಪರಿಚಯ
"अधिग्रहण, अर्जन",ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
"भुगतान, भरपाई, निस्तारण",ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
"कार्य, कृत्य, अधिनियम",ಕಯ
कार्यकारी भत्‍ता,ನಟನಾ ಭತ್ಯೆ
"कार्रवाई, क्रिया, कार्य, संघर्ष",ಕ್ರಿಯಾಶೀಲತೆ
कार्य योजना,ಕಾರ್ಯ ತಂತ್ರ
सक्रिय,ಸಕ್ರಿಯ
"सक्रियता से, सक्रियतापूर्वक",ಸಕ್ರಿಯವಾಗಿ
"कर्मठ कार्यकता, सक्रियतावादी",ಕಾರ್ಯಕರ್ತ
दैव कृत्य,ಭಗವಂತನ ಆಟ
कदाचार,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
भूल-चूक,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
वास्तविक,ನಿಜವಾದ
