Gujarati,Malayalam
A B વર્ગ એમ્પ્લીફાયર,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
વિકૃતિ,അപഭ്രംശം
અસામાન્ય ટ્રાન્સમિશન,അസാധാരണമായ സംക്രമണം
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
ગુમ થયેલ સ્પેક્ટ્રમ,സ്പെക്ട്രം കാണുന്നില്ല
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
સંપૂર્ણ ભેજ,കേവല ഈർപ്പം
સંપૂર્ણ ગતિ,കേവല വേഗത
સંપૂર્ણ અવલોકન,സമ്പൂർണ നിരീക്ഷണം
સંપૂર્ણ તાપમાન,കേവല താപനില
સંપૂર્ણ શૂન્ય,കേവല പൂജ്യം
શોષી લેવું,ആഗിരണം ചെയ്യുക
"શોષક, શોષક","ആഗിരണം, ആഗിരണം"
શોષણ ક્ષમતા,ആഗിരണം ശേഷി
શોષણ,ആഗിരണം
શોષક,ആഗിരണം ചെയ്യാവുന്ന
શોષકતા,ആഗിരണം
ગુણાકાર ગુણોત્તર,ഗുണിത അനുപാതം
વેગ આપો,ത്വരിതപ്പെടുത്തുക
ઉતાવળ કરી,തിടുക്കപ്പെട്ടു
પ્રવેગ,ത്വരണം
ગુરુત્વાકર્ષણ પ્રવેગક,ഗുരുത്വാകർഷണ ത്വരണം
પ્રવેગક,ആക്സിലറേറ്റർ
પ્રવેગક,ആക്സിലറേറ്റർ
એક્સેલરોમીટર,ആക്സിലറോമീറ്റർ
prestresser,പ്രിസ്ട്രെസർ
સ્વીકાર્ય પરીક્ષણ,സ്വീകാര്യമായ പരിശോധന
સ્વીકારનાર,സ്വീകർത്താവ്
દાતા પરમાણુ,ദാതാവിന്റെ തന്മാത്ര
"પ્રવેશ, રાહ, સુલભતા","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
ઉપલ્બધતા,പ്രവേശനക്ഷമത
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
ઍક્સેસ સમય,പ്രവേശന സമയം
મુલાકાતી ભૂલ,സന്ദർശക പിശക്
ગોઠવણ,ക്രമീകരിക്കൽ
સંચિત,കുമിഞ്ഞുകൂടി
"સંચય, સંચય","ശേഖരണം, ശേഖരണം"
સંચયક,ശേഖരണം
ચોકસાઈ,കൃത്യത
વાસ્તવિકતા,റിയാലിറ്റി
વર્ણહીન લેન્સ,അക്രോമാറ്റിക് ലെൻസ്
વર્ણહીન,അക്രോമാറ്റിക്
વર્ણહીનતા,അക്രോമാറ്റിറ്റി
એકોસ્ટિક,അക്കോസ്റ്റിക്
સાઉન્ડપ્રૂફ,ശബ്ദപ്രതിരോധം
એકોસ્ટિક ફોનોન,അക്കോസ്റ്റിക് ഫോണോൺ
ધ્વનિ એકમ,ശബ്ദ യൂണിറ്റ്
એકોસ્ટિક,അക്കോസ്റ്റിക്
અવાજ જનરેટર,ശബ്ദ ജനറേറ്റർ
ક્રિયા અને પ્રતિક્રિયા,പ്രവർത്തനവും പ്രതികരണവും
સક્રિયકરણ,സജീവമാക്കൽ
સક્રિયકરણ ઊર્જા,സജീവമാക്കൽ ഊർജ്ജം
"એક્ટિવેટર, એક્ટિવેટર","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
સક્રિય,സജീവമാണ്
સક્રિયતા,ആക്ടിവിസം
વાસ્તવિક તણાવ,യഥാർത്ഥ സമ്മർദ്ദം
બબડાટ,മന്ത്രിക്കുന്നു
સારાંશ માટે,സംഗ്രഹിക്കാനായി
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
ઉમેરણ,സങ്കലനം
સંલગ્નતા,അഡീഷൻ
એડહેસિવ ઊર્જા,പശ ഊർജ്ജം
adiabat,അടിയാബാറ്റ്
એડિબેટિક,adiabatic
હીટ ઇન્સ્યુલેટીંગ,ചൂട് ഇൻസുലേറ്റിംഗ്
જોડાણ,ബന്ധം
એડજસ્ટેબલ,ക്രമീകരിക്കാവുന്ന
પ્રવેશ,നുഴഞ്ഞുകയറ്റം
શોષણ,ആഗിരണം
આગળ,മുന്നോട്ട്
પ્રગતિશીલ,പുരോഗമനപരമായ
"આકાશી, હવા (વિ.), હવાઈ (સં.)","ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
એન્ટેના સ્ટ્રીમ,ആന്റിന സ്ട്രീം
હવાઈ સર્વેક્ષણ,ഏരിയൽ സർവേ
હવાનો વેગ,വായു വേഗത
એરોડાયનેમિક ગુણાંક,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
એરોડાયનેમિક,എയറോഡൈനാമിക്
એરોડાયનેમિક્સ,എയറോഡൈനാമിക്സ്
એરોનોટિકલ,എയറോനോട്ടിക്കൽ
એરોનોટિક્સ,എയറോനോട്ടിക്സ്
હવા નાડી,എയർ പൾസ്
"વાતાવરણ, ગેસોસ્ફિયર","അന്തരീക്ഷം, വാതകമണ്ഡലം"
ફોકસ સિસ્ટમ,ഫോക്കസ് സിസ്റ്റം
પાછળની ઇગ્નીશન,തിരികെ ജ്വലനം
પાછળનો પ્રકાશ,ബാക്ക് ലൈറ്റ്
ઉશ્કેરાટ,ഞെട്ടൽ
"ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો","പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക"
અસરગ્રસ્ત સમય,സമയം ബാധിച്ചു
"વૃદ્ધાવસ્થા, વૃદ્ધત્વ","വാർദ്ധക്യം, വാർദ്ധക്യം"
સમયની અસર,സമയ പ്രഭാവം
સમય અસર પરીક્ષણ,സമയ ഫല പരിശോധന
ગુરુત્વાકર્ષણ રહિત,ഗുരുത്വാകർഷണമില്ലാത്ത
