Punjabi,Kannada
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
ਪੂਰਨ ਜ਼ੀਰੋ,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
ਸਮਾਈ ਗੁਣਾਂਕ,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
ਰੀਸੈਪਟਰ ਐਟਮ,ಗ್ರಾಹಕ ಪರಮಾಣು
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
ਮੋਰੀ ਸਟੋਰੇਜ਼,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
ਸਰਗਰਮੀ ਊਰਜਾ,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
ਸਰਗਰਮ diode ਸਰਕਟ,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
ਸਰਗਰਮ ਫਿਲਟਰ,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
ਸਰਗਰਮ ਲੋਡ,ಸಕ್ರಿಯ ಲೋಡ್
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
ਸਰਗਰਮ ਖੇਤਰ,ಸಕ್ರಿಯ ಪ್ರದೇಶ
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
ਜੋੜਨ ਵਾਲਾ,ಸೇರಿಸುವವನು
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
ਪ੍ਰਵੇਸ਼,ನುಗ್ಗುವಿಕೆ
ਏਰੀਅਲ,ಏರಿಯಲ್
pep ਬਾਰੰਬਾਰਤਾ,ಪೆಪ್ ಆವರ್ತನ
