ab initio,அடி முதலே
abatement,"1. குறைப்பு, தணித்தல் 2. கழிவு 3. தள்ளுபடி செய்தல்"
abbreviation,"சுருக்கம், சுருக்கக் குறியீடு"
abduction,ஆள் கடத்தல்
abeyance,நிறுத்தி வைத்தல்
ability,"திறமை, ஆற்றல், வல்லமை"
able,"ஆற்றலுடைய, திறமையுள்ள, வல்லமையுள்ள, இயலுகிற"
abnormal,இயல்பு மீறிய
abolition,"நீக்கல், ஒழித்தல்"
abolitionof post,பதவி ஒழிப்பு
above mentioned,மேற்குறிப்பிட்ட
above quoted,மேலே சொல்லப்பட்ட
above said,மேற்கூறிய
absence,1. வராதிருத்தல் 2. இல்லாதிருத்தல்
absentee,"வராதவர், இராதவர்"
absentee statement,வராதவர் விவர அறிக்கை
absenteeism,(உடமையினின்றோ கடமையினின்றோ) விலகியிருத்தல்
absolute,"முழுமையான, வரம்பற்ற, தனித்த"
absolute monopoly,முழுவணிக உரிமை
absolute ownership,"முழு உடைமை, முழு உரிமை"
absolve,1. குற்றச்சாட்டினின்றுவிடுவி2. உறிஞ்சு
absorption,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்"
abstract,"சுருக்கம், சுருக்கக் குறிப்பு"
abstractstatement,"சுருக்கப்பட்டியல், சுருக்க அறிக்கை"
absurd,"பொருந்தாத, பொருளற்ற"
abundance,"மிகுதி, நிறைவு"
abuse of power,"அதிகாரத்தைத் தவறாகப் பயன்படுத்தல், அதிகார மோசடி"
abusive language,வசைமொழி
academic,"கல்வி பற்றிய, கலை பற்றிய, அறிவு செறிந்த"
academic discussion,கல்வி பற்றிய விவாதம்
academic leave,கல்வி விடுப்பு
academic qualification,கல்வித் தகுதி
academic record,கல்விப் பதிவு
academician,கலைக்கழக உறுப்பினர்
accede,இணங்கு
accept,"ஒப்புக்கொள், ஏற்றுக்கொள்"
acceptance,"ஏற்றுக்கொள்ளுதல், ஒப்புக்கொள்ளுதல்"
acceptance of office,"பதவி ஏற்றல், பதவி ஏற்க இசைதல்"
acceptance of tender,ஒப்பந்தப்புள்ளி ஏற்பு
access,"நுழைவு, அணுகல், வழி, வாய்ப்பு"
accession,"பதவியேற்பு, இணக்கம், உடைமையின் மேல் ஈட்டம்"
accessory,"1. உடந்தையான, உடந்தையானவர் 2. துணைப்பொருள், சார்பொருள், உதவிப் பொருள்"
accident,1. விபத்து 2. எதிர்பாராத நிகழ்ச்சி
acclimatization,"நிலையொத்துப்போதல், இணக்கப்பாடு"
accommodation,"1. இடவசதி, குடியிருப்பு 2. ஒத்துப்போதல்"
accompanist,உடன் செல்பவர்
accord,"1. இசைவு, ஒப்பந்தம், பொருத்தம் 2. அளித்தல்"
accordance,"இணக்கம், பொருத்தம்"
accordingly,"அவ்வண்ணமே, அதன்படி"
account,"கணக்கு, விவரம், கணிப்பு, மதிப்பீடு"
account for,"காரணம் கூறு, கணக்குக் கொடு, பதில் சொல்"
account head,1. கணக்குக் தலைப்பு 2. கணக்கு ஒதுக்கும் பிரிவு
