Malayalam,Kannada
ആമ്പിയർ (യൂണിറ്റ്),ಆಂಪಿಯರ್ (ಘಟಕ)
ആംഗ്സ്ട്രം,ಆಂಗ್ಸ್ಟ್ರಮ್
എ-ക്ലാസ് ആംപ്ലിഫയർ,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
എഎൻ റേഡിയോ സഹായ്,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
a-സ്കാനിംഗ് അവതരണം,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
ഒരു-ദർശ്,a-ದರ್ಶ್
എ-സ്കോപ്പ് പ്രകടനം,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
രാവിലെ,ಬೆಳಗ್ಗೆ
എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
aard-vark*,aard-vark*
എബി-ആമ്പിയർ,ಅಬ್-ಆಂಪಿಯರ್
എ-ബി ക്ലാസ് ആംപ്ലിഫയർ,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
അദാ,ಅದಾ
എ-ബി ശക്തി പിടക,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
അബെ റിഫ്രാക്റ്റോമീറ്റർ,ಅಬೆ ವಕ್ರೀಕಾರಕ
അബെ സൈൻ സംസ്ഥാനം,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം,ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
abcoulom,abcoulom
"അപഭ്രംശം, അപഭ്രംശം","ವಿಪಥನ, ವಿಪಥನ"
വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
ആകാശ വ്യതിയാനം,ಆಕಾಶ ವಿಪಥನ
abfarad,abfarad
എബൻറി,ಎಬೆನ್ರಿ
എബോണി പ്രഭാവം,ಎಬೊನಿ ಎಫೆಕ್ಟ್
അസാധാരണ ധ്രുവീകരണം,ಅಸಹಜ ಧ್ರುವೀಕರಣ
അസാധാരണമായ സംക്രമണം,ಅಸಹಜ ಪ್ರಸರಣ
അസാധാരണമായ പ്രതിഫലനം,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
അസാധാരണ അപവർത്തനം*,ಅಸಹಜ ವಕ್ರೀಭವನ*
അസാധാരണമായ പ്രതിരോധം,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
ab-om,ab-om
"മുൻതൂക്കം, പരാജയം","ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
