Kannada,English
ಅಬೆಲಿಯನ್ ಗುಂಪು,Abelian group
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,abelian semigroup
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,absolute
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,absolute convergence
ಸಂಪೂರ್ಣ ದೋಷ,absolute error
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,absolute maximum
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,absolute minimum
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,absolute value
ಸಂಪೂರ್ಣ ವೇಗ,absolute velocity
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,abstract algebra
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,abstract group theory
ವೇಗವರ್ಧನೆ,acceleration
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,acceleration due to gravity
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,acceptable choice set
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,acceptable quality level
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,acceptable range
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,acceptable reliability level
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,acceptable sampling
ಸಂಚಿತ ದೋಷ,accumulated error
ನಿಖರತೆ,accuracy
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,acting force
ಕ್ರಮ,action
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,action and reaction
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,acturial science
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,acute angled triangle
ಅಸೈಕ್ಲಿಕ್,acyclic
ಸೇರಿಸಿ,add
ಸೇರಿಸುವವನು,adder
ಜೊತೆಗೆ,addition
ಸೇರ್ಪಡೆ ಸೂತ್ರ,addition formula
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,addition of complex numbers
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,addition of functions
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,addition of matrices
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,addition of polynomials
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,addition of probabilities
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,addition of vectors
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,addition theorem
ಸಂಯೋಜಕ ಗುಂಪು,additive group
ಸಂಯೋಜಕ ವಿಲೋಮ,additive inverse
ಸಂಯೋಜಕ ಆಸ್ತಿ,additive property
ಸಂಕಲನ,additivity
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,adjacency matrix
ಪಕ್ಕದ,adjacent
ಪಕ್ಕದ ಕೋನಗಳು,adjacent angles
ಪಕ್ಕದ ಶೃಂಗ,adjacent vertex
ಹೊಂದು,adjoin
ಪಕ್ಕದ,adjoining
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,adjoint determinant
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,adjoint differential equation
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,adjoint equation
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,adjoint matrix
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,adjoint of matrix
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,adjugate matrix
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,admissible decision function
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,admissible hypothesis
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,aerodynamic force
ವಾಯುಬಲವಿಜ್ಞಾನ,aerodynamics
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,affine geometry
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,affine mapping
ಅಫೈನ್ ರೂಪಾಂತರ,affine transformation
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,aggregating variables
ಬೀಜಗಣಿತ,algebra
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,algebraically closed
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,algebraic equation
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,algebraic expression
ಬೀಜಗಣಿತ ರೂಪ,algebraic form
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,algebraic function
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,algebraic geometry
ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ,algebraic multiplicity
