Assamese,Odiya
abacus,ଆବାକସ୍ |
অস্বাভাৱিক সমাপ্তি,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
abort,ପରିତ୍ୟାଗ
নিৰপেক্ষ,ସଂପୂର୍ଣ୍ଣ
নিৰপেক্ষ ঠিকনা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
নিৰপেক্ষ সম্বোধন,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
নিৰপেক্ষ এছেম্বলাৰ,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
নিৰপেক্ষ ক&#39;ড,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
নিৰপেক্ষ আদেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
নিৰপেক্ষ তথ্য,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
নিৰপেক্ষ নিৰ্দেশনা,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
নিৰপেক্ষ ধৰণ,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
নিৰপেক্ষ পথ,ସଂପୂର୍ଣ୍ଣ ପଥ
নিৰপেক্ষ প্ৰগ্ৰেমিং,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
বিমূৰ্ত শ্ৰেণী,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
বিমূৰ্ত তথ্যৰ ধৰণ,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
বিমূৰ্ত মেচিন,ବିସ୍ତୃତ ମେସିନ୍ |
বিমূৰ্ত চিহ্ন,ବିସ୍ତୃତ ପ୍ରତୀକ |
বিমূৰ্ত বাক্যবিন্যাস,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
গ্ৰহণযোগ্যতা পৰীক্ষা,ଗ୍ରହଣ ପରୀକ୍ଷା
প্ৰৱেশ প্ৰমাণীকৰণ,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
প্ৰৱেশ ক&#39;ড,ପ୍ରବେଶ କୋଡ୍
প্ৰৱেশ নিয়ন্ত্ৰণ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
