English,Bengali
Abort,গর্ভপাত
Abort timer,গর্ভপাত টাইমার
Absolute address,পরম ঠিকানা
Absolute addressing,পরম ঠিকানা
Absolute assembler,পরম এসেম্বলার
Absolute code,পরম কোড
Absolute coding,পরম কোডিং
Absolute command,পরম কমান্ড
Absolute coordinate,পরম সমন্বয়
Absolute data,পরম ডেটা
Absolute error,পরম ত্রুটি
Absolute expression,পরম অভিব্যক্তি
Absolute instruction,পরম নির্দেশ
Absolute loader,পরম লোডার
Absolute order,পরম আদেশ
Absolute programming,পরম প্রোগ্রামিং
Absolute term,পরম শব্দ
Absolute value,পরম মান
Absolute vector,পরম ভেক্টর
Abstract,বিমূর্ত
Abstracting,বিমূর্ত
Abstract symbol,বিমূর্ত প্রতীক
Acceleration period,ত্বরণ সময়কাল
Acceleration time,ত্বরণের সময়
Accent,অ্যাকসেন্ট
Acceptance test,স্বীকৃতি পরীক্ষা
Access,অ্যাক্সেস
Access arm,অ্যাক্সেস আর্ম
Access arrangement,অ্যাক্সেস ব্যবস্থা
Access authority,অ্যাক্সেস কর্তৃপক্ষ
Access charge,অ্যাক্সেস চার্জ
Access class,অ্যাক্সেস ক্লাস
Access data base management,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
Access environment,অ্যাক্সেস পরিবেশ
Access gap,অ্যাক্সেস ফাঁক
Access index,অ্যাক্সেস সূচক
Access line,অ্যাক্সেস লাইন
Access mechanism,অ্যাক্সেস প্রক্রিয়া
Access method,অ্যাক্সেস পদ্ধতি
Access method routine,অ্যাক্সেস পদ্ধতির রুটিন
Access mode,অ্যাক্সেস মোড
Access right,এক্সেস অধিকার
Access scan,অ্যাক্সেস স্ক্যান
Access time,প্রবেশাধিকার সময়
Accounting,অ্যাকাউন্টিং
Accounting finance system,অ্যাকাউন্টিং ফিনান্স সিস্টেম
Accounting machine,অ্যাকাউন্টিং মেশিন
Account number,হিসাব নাম্বার
Accumulating reproducer,প্রজননকারী জমে
Accumulator,জমে
Accumulator register,সংগ্রহকারী রেজিস্টার
Accumulator shift instruction,সংগ্রহকারী শিফট নির্দেশনা
Accuracy,সঠিকতা
Accuracy control character,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
Accuracy control system,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
Ace pilot,এস পাইলট
Acknowledge character,চরিত্র স্বীকৃতি
Acoustic coupler,অ্যাকোস্টিক কাপলার
Acoustic coupling,অ্যাকোস্টিক কাপলিং
Acoustic delay line,অ্যাকোস্টিক বিলম্ব লাইন
Acoustic memory,অ্যাকোস্টিক মেমরি
Acoustic modem,অ্যাকোস্টিক মডেম
Acoustic signal,অ্যাকোস্টিক সিগন্যাল
Acoustic storage,অ্যাকোস্টিক স্টোরেজ
Acronym,সংক্ষিপ্ত বিবরণ
Action,কর্ম
Action cycle,অ্যাকশন চক্র
Action line,অ্যাকশন লাইন
Action message,অ্যাকশন বার্তা
Action specification,ক্রিয়া স্পেসিফিকেশন
Activation,অ্যাক্টিভেশন
Active,সক্রিয়
Active file,সক্রিয় ফাইল
Active line,সক্রিয় লাইন
Active link,সক্রিয় লিঙ্ক
Active master file,সক্রিয় মাস্টার ফাইল
Active master item,সক্রিয় মাস্টার আইটেম
Active satellite,সক্রিয় স্যাটেলাইট
Active station,সক্রিয় স্টেশন
Active storage,সক্রিয় স্টোরেজ
Activity,ক্রিয়াকলাপ
Activity level,কর্মকান্ডের পর্যায়
Activity loading,ক্রিয়াকলাপ লোড হচ্ছে
Activity ratio,ক্রিয়াকলাপ অনুপাত
Actual address (=absolute address),আসল ঠিকানা (= পরম ঠিকানা)
Actual code (=absolute code),আসল কোড (= পরম কোড)
Actual data transfer rate,প্রকৃত ডেটা স্থানান্তর হার
Actual decimal point,আসল দশমিক পয়েন্ট
Actual instruction (=effective instruction),প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
Actual key,আসল কী
Actual time,প্রকৃত সময়
Actual work time,আসল কাজের সময়
Actuating signal,অ্যাকিউটিং সিগন্যাল
Adaptability,অভিযোজনযোগ্যতা
Adapter,অ্যাডাপ্টার
Adaptive channel allocation,অভিযোজিত চ্যানেল বরাদ্দ
Adaptive integration,অভিযোজিত সংহতকরণ
Adaptive transversal equalizer,অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার
Added entry,যুক্ত এন্ট্রি
Addend,সংযোজন
Adder,সংযোজন
Adder subtracter,অ্যাডার সাবট্র্যাক্টর
Add file,ফাইল যুক্ত কর
Additional character (= special character),অতিরিক্ত চরিত্র (= বিশেষ চরিত্র)
Addition recorder,সংযোজন রেকর্ডার
Addition table,সংযোজন টেবিল
Additive attribute,সংযোজন বৈশিষ্ট্য
Add mode,মোড যুক্ত করুন
Add operation,অপারেশন যুক্ত করুন
Address,ঠিকানা
Addressability measure,ঠিকানা পরিমাপ
