Marathi,Hindi
वेस्टमिन्स्टरचे मठाधीश,वैस्‍टम‍िन्‍स्‍टर मठ
निषिद्ध,मालखाना
गुलामगिरीचे उच्चाटन,दासता का उन्मूलन
आदिवासी,आदिवासी
अब्राहम युग,अब्राहम काल
अनुपस्थित जमीनदार,प्रवासी ज़मींदार
अकादमी,अकादमी; विद्वत्परिषद
अक्रा परिषद,अक्रा सम्मेलन
जमा,"प्रोद्भूत सामग्री, उपचित सामग्री"
संवर्धन,"परसंस्कृति-ग्रहण, उत्संस्करण"
एसेलडामा,एसेलडामा
आचियन (=अचियन),एकियायी
आचियन लीग (=अचियन लीग),एकीयायी लीग
एक्रोपोलिस,एक्रोपोलिस
Acta Diurna,"शाही रोज़नामचा, दैनिक समाचार"
Acta Senatus,सीनेट का कार्यवृत्त
ऍक्ट अॅडिशनल,"अपर प्रपत्र, एक्टे एडिशनेल"
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),सक्रिय रिकार्ड
प्राप्तकर्त्याची कृती,अपकीर्त्ति अधिनियम
नुकसानभरपाई आणि विस्मरणाचा कायदा,दंड विमुक्ति एवं विस्मरण अधिनियम
सेटलमेंटचा कायदा,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
जाहिरात करार सील,संविदा मुद्रा
अदुल्लामाइट्स,आडुलम गुटवादी
विरोधक,विपक्षी
विरोधक,2. शत्रु
एऑन,युग
एरेरियम,इरेरियम
हवाई युद्ध,"आकाशी युद्ध, हवाई लड़ाई"
एटोलियन लीग,"एटोलियन लीग, एटोलियायी संघ"
वय,"काल, युग"
वृद्धत्व (=वृद्धत्व),"काल-प्रभावन, जीर्णन"
वृद्धत्व प्रक्रिया,जीर्णन-प्रक्रिया
अगेलाय,एजिलायी
पराक्रमाचे वय,शौर्य युग
ज्ञानाचे वय,"प्रबोध युग, ज्ञानोदय युग"
पेरिकल्सचे वय,पेरीक्लीज़ युग
कारण वय,तर्क प्रधान युग
कृषीवाद,भूमि सुधारवाद
कृषी चळवळ,भूमि सुधारवादी आंदोलन
अल्बिओन,एलबियन
अल्बम,अलबम
अल्डरमन,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
मोहक हात,कुलांकित आयुध
मैत्री,मैत्री
एम्फेक्टियोनिक परिषद,एम्फिकटिआनी परिषद
एम्फेक्टियोनिक लीग,ऊपर देo : Amphictyonic Council
अॅम्फिथिएटर,"रंगवाट, रंगभूमि, अखाड़ा"
अमरी नल गट (मातीचा),(मृद्भांडों का) अमरीनाल वर्ग
अनाक्रोनिझम,"काल-वैषम्य, काल-दोष"
अनाक्रोनिस्टिक,काल-वैषम्ययुक्त
पूर्वज,पूर्वज
पूर्वजांची पूजा,पितृ-पूजा
वंशपरंपरा,कुल-परंपरा
वंशपरंपरा,2. वंश
वंशपरंपरा,3. वंश-क्रम
वंशपरंपरा,4. उच्च कुल
प्राचीन राजवट,"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था"
प्राचीन,"पुरातन, प्राचीन"
प्राचीन बालगीत,प्राचीन गाथा
प्राचीन श्रद्धा,प्राचीन मत
प्राचीन प्रथा,प्राचीन प्रथा
प्राचीन इतिहास,प्राचीन हतिहास
प्राचीन स्मारके,प्राचीन स्मारक
किस्सा,उपाख्यान
अँजेलोट,एन्जिलोट
एंजलस,देवदूत पूजा
अँजेविन (=अंजेविन),आन्जवै
कोन,ऐन्गल्स
अँग्लिकन,आंग्लिक
