Malayalam,Marathi
വിലക്ഷണമായ,असामान्य
ഉപേക്ഷിക്കുക,गर्भपात
വധനം,घर्षण
ആകസ്മികമായ,अचानक
കേവല ഫീൽഡ് ശക്തി,परिपूर्ण फील्ड सामर्थ्य
കേവല താപനില,परिपूर्ण तापमान
യഥാർത്ഥ മൂല്യം,परिपूर्ण मूल्य
ഉള്ക്കൊള്ളുക,शोषून घ्या
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,शोषण सह-कार्यक्षम
ആഗിരണം നഷ്ടം,शोषण तोटा
വേര്പെട്ടുനില്ക്കുന്ന,गोषवारा
ആക്സിലറോമീറ്റർ,एक्सेलरोमीटर
സ്വീകാര്യത പരിശോധന,स्वीकृती चाचणी
പ്രവേശനം,प्रवेश
പ്രവേശന നിയന്ത്രണം,प्रवेश नियंत्रण
പ്രവേശന പോയിന്റ്,प्रवेश बिंदू
ആക്സസ് സമയം,प्रवेश वेळ
പ്രവേശനക്ഷമത,प्रवेशयोग्यता
സഞ്ചിത സെൽ,संचयक सेल
കൃതത,अचूकता
സൂക്ഷ്മമായ,अचूक
അച്രോമാറ്റിക് ലെൻസ്,अ‍ॅक्रोमॅटिक लेन्स
പുളിപ്പുള്ള,आम्ल
ആസിഡ് തെളിവ്,आम्ल पुरावा
അസിഡിറ്റി,आंबटपणा
അംഗീകാര ബിറ്റ്,पावती बिट
അക്കോസ്റ്റിക്,ध्वनिक
അക്കോസ്റ്റിക് ആശയവിനിമയം,ध्वनिक संप्रेषण
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,ध्वनिक प्रसार
അക്കോസ്റ്റിക് ഇക്വൈസർ,ध्वनिक समतुल्य
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,ध्वनिक अभिप्राय
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,ध्वनिक फिल्टर
അക്കോസ്റ്റിക് ഇംപാസ്,ध्वनिक प्रतिबाधा
അക്കോസ്റ്റിക് മാസ്കിംഗ്,ध्वनिक मास्किंग
അക്കോസ്റ്റിക് പവർ,ध्वनिक शक्ती
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,ध्वनिक मालमत्ता
അക്കോട്ടിക് റിയാൻസ്,ध्वनिक प्रतिक्रिया
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,ध्वनिक प्रतिक्षेप
അക്കോസ്റ്റിക് ടൈൽ,ध्वनिक टाइल
അക്ക ou സ്റ്റിക് തരംഗം,ध्वनिक लाट
ശബ്ദ ആഗിരണം,ध्वनिक शोषण
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,ध्वनीविषयक क्षीणन स्थिर
അക്കോസ്റ്റിക്കൽ നനവ്,ध्वनिकी ओलसर
അക്കോസ്റ്റിക്കൽ കാലതാമസം,ध्वनिक विलंब रेखा
അക്കോസ്റ്റിക്കൽ വക്രമാനം,ध्वनिक विकृती
