Kannada,Odiya
ಅಬ್ಯಾಕಸ್,ଆବାକସ୍ |
ಅಸಹಜ ಮುಕ್ತಾಯ,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ಸ್ಥಗಿತಗೊಳಿಸು,ପରିତ୍ୟାଗ
ಸಂಪೂರ್ಣ,ସଂପୂର୍ଣ୍ଣ
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
ಸಂಪೂರ್ಣ ಕೋಡ್,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
ಸಂಪೂರ್ಣ ಡೇಟಾ,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
ಸಂಪೂರ್ಣ ಸೂಚನೆ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
ಸಂಪೂರ್ಣ ಮೋಡ್,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,ସଂପୂର୍ଣ୍ଣ ପଥ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
ಅಮೂರ್ತ ವರ್ಗ,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
ಅಮೂರ್ತ ಯಂತ್ರ,ବିସ୍ତୃତ ମେସିନ୍ |
ಅಮೂರ್ತ ಚಿಹ್ನೆ,ବିସ୍ତୃତ ପ୍ରତୀକ |
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ଗ୍ରହଣ ପରୀକ୍ଷା
ಪ್ರವೇಶ ದೃಢೀಕರಣ,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
ಪ್ರವೇಶ ಕೋಡ್,ପ୍ରବେଶ କୋଡ୍
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
ಪರಿಕರ,ଆନୁଷଙ୍ଗିକ
ಖಾತೆ,ଖାତା
ಖಾತೆ ID,ଖାତା ID
ಸಂಚಯಕ,ଜମାକାରୀ
ನಿಖರತೆ,ସଠିକତା
ಪ್ರವೇಶ,acess
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,acess index
ಪ್ರವೇಶ ಕೀ,acess କି
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,acess matrix
ಪ್ರವೇಶ ಮೋಡ್,acess ମୋଡ୍ |
ಪ್ರವೇಶ ಸವಲತ್ತು,acess ଅଧିକାର
ಪ್ರವೇಶ ಭದ್ರತೆ,acess ସୁରକ୍ଷା |
ಪ್ರವೇಶ ಸರ್ವರ್,acess ସର୍ଭର |
ಪ್ರವೇಶ ಸಮಯ,ଆକସେସ୍ ସମୟ |
ಸ್ವೀಕೃತಿ,ସ୍ୱୀକୃତି
ಅಕೌಸ್ಟಿಕ್ಸ್,ଆକାଶବାଣୀ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
ಕ್ರಿಯೆಯ ಸಂದೇಶ,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,ସକ୍ରିୟ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,ସକ୍ରିୟ ସଂସ୍କରଣ |
ಅಸೈಕ್ಲಿಕ್,acyclic
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,acyclic ଗ୍ରାଫ୍ |
ಅದಾ ಭಾಷೆ,ଅଦା ଭାଷା |
ಅಡಾಪ್ಟರ್,ଆଡାପ୍ଟର
ಸೇರಿಸಿ,ଯୋଡନ୍ତୁ |
ಕಡತವನ್ನು ಸೇರಿಸು,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
ಸೇರಿಸುವವನು,ଆଡର୍
ವಿಳಾಸ,ଠିକଣା
ವಿಳಾಸ ಬಸ್,ଠିକଣା ବସ୍
ವಿಳಾಸ ಫೈಲ್,ଠିକଣା ଫାଇଲ୍ |
ವಿಳಾಸ ಸ್ವರೂಪ,ଠିକଣା ଫର୍ମାଟ୍
ವಿಳಾಸ ಜನರೇಟರ್,ଠିକଣା ଜେନେରେଟର
ವಿಳಾಸ ಸಾಲು,ଠିକଣା ରେଖା
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,ଠିକଣା ମ୍ୟାପିଂ
ವಿಳಾಸ ಪಾಯಿಂಟರ್,ଠିକଣା ସୂଚକ
ವಿಳಾಸ ನೋಂದಣಿ,ଠିକଣା ରେଜିଷ୍ଟର
ವಿಳಾಸ ನಿರ್ಣಯ,ଠିକଣା ରେଜୋଲୁସନ
ವಿಳಾಸ ಅನುವಾದ,ଠିକଣା ଅନୁବାଦ
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,ଠିକଣା ସ୍ମୃତି
ಉದ್ದೇಶಿಸಿ,ଠିକଣା
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
ಪಕ್ಕದ,ଯୋଗ
ಆಡಳಿತ,ପ୍ରଶାସନ
ನಿರ್ವಾಹಕ,ପ୍ରଶାସକ
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,ଆଡୋବ ଫଟୋଶପ୍ |
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,ଉନ୍ନତ ତଥ୍ୟ
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
ಏಜೆಂಟ್,ଏଜେଣ୍ଟ
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,ଏକୀକରଣ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,ଆଲର୍ଟ ବାକ୍ସ
ಆಲ್ಗೋಲ್,ଆଲଗୋଲ୍
ಅಲ್ಗಾರಿದಮ್,ଆଲଗୋରିଦମ |
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
ಅಲಿಯಾಸ್,ଛଦ୍ମନାମ
ಜೋಡಣೆ,ଶ୍ରେଣୀବଦ୍ଧତା |
ಹಂಚಿಕೆ,ଆବଣ୍ଟନ
ವರ್ಣಮಾಲೆಯ,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,ବର୍ଣ୍ଣମାଳା
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,ଆଲଫା-ପରୀକ୍ଷା
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,ଆଲଫା-ସଂସ୍କରଣ |
ಆಲ್ಟ್ ಕೀ,alt କି
ಅಲ್ಟಾವಿಸ್ತಾ,altavista
ಅಸ್ಪಷ್ಟತೆ,ଅସ୍ପଷ୍ଟତା |
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
ಅನಲಾಗ್,analog
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
ಅನಲಾಗ್ ಸಾಧನ,analog ଉପକରଣ
ಅನಲಾಗ್ ಮೋಡೆಮ್,ଆନାଗଲ୍ ମୋଡେମ୍ |
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
ಮತ್ತು,ଏବଂ
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,ଏବଂ ସର୍କିଟ |
ಮತ್ತು ಗೇಟ್,ଏବଂ ଫାଟକ |
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
ಅನಿಮೇಷನ್,ଆନିମେସନ୍
ಟಿಪ್ಪಣಿ,ଟିପ୍ପଣୀ
ಅಸಂಗತತೆ,ଅନୋମାଲିୟା |
ಪೂರ್ವಭಾವಿ,ପ୍ରାଚୀନ
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,ଆଶାକର୍ମୀ ପେଜିଂ |
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
ಆಪ್ಲೆಟ್,ଆପଲେଟ୍
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,ପ୍ରୟୋଗ ବିକାଶକାରୀ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
ಅನ್ವಯಿಕ ಭಾಷೆ,ପ୍ରୟୋଗ ଭାଷା |
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,ଆନୁମାନିକ ତତ୍ତ୍। |
ವಾಸ್ತುಶಿಲ್ಪ,ସ୍ଥାପତ୍ୟ
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
ವಾದ,ଯୁକ୍ତି
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,ଗାଣିତିକ ଯାଞ୍ଚ |
ಅಂಕಗಣಿತ ಸ್ಥಿರ,ଗାଣିତିକ ସ୍ଥିର |
ಅಂಕಗಣಿತದ ಡೇಟಾ,ଗାଣିତିକ ତଥ୍ୟ
ಅಂಕಗಣಿತದ ಸೂಚನೆ,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
ಅರ್ಪಾನೆಟ್,ARPANET
ಶ್ರೇಣಿ,ଆରେ
ರಚನೆಯ ಸಂಗ್ರಹ,ଆରେ କ୍ୟାଚ୍
ಅರೇ ಕಂಪ್ಯೂಟರ್,ଆରେ କମ୍ପ୍ୟୁଟର |
ರಚನೆಯ ಅಂಶ,ଆରେ ଉପାଦାନ |
ರಚನೆಯ ಹೆಸರು,ଆରେ ନାମ
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,ଆରେ ସଞ୍ଚାଳକ
ಬಾಣದ ಕೀಲಿಗಳು,ତୀର କିଗୁଡ଼ିକ
ಉಚ್ಚಾರಣೆ,ଆର୍ଟିକିଲେସନ୍
ಉಚ್ಚಾರಣಾ ಬಿಂದು,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
ಕೃತಕ ಸಂಕೋಚನ,କୃତ୍ରିମ ସଙ୍କୋଚନ |
ಕೃತಕ ನಿಯಂತ್ರಣ,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,କୃତ୍ରିମ ବୁଦ୍ଧି
ಆರೋಹಣ,ଆରୋହଣ
ಆರೋಹಣ ರೀತಿಯ,ଆରୋହଣ କ୍ରମ
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII ಫೈಲ್,ASCII ଫାଇଲ୍ |
ASCII ಫಾಂಟ್,ASCII ଫଣ୍ଟ |
ASCII ವರ್ಗಾವಣೆ,ASCII ସ୍ଥାନାନ୍ତର |
ಆಕಾರ ಅನುಪಾತ,ଆନୁମାନିକ ଅନୁପାତ
ASPI,ASPI
ASR ಟೈಮರ್,ASR ଟାଇମର୍ |
ಜೋಡಿಸು,ଏକତ୍ର ହୁଅ
ಅಸೆಂಬ್ಲರ್,ଏକତ୍ରକାରୀ
ಸಭೆ,ସଭା
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,ସଭା ଭାଷା |
ಪ್ರತಿಪಾದನೆ,ଧାରଣା
