Assamese,Bengali
অজৈৱিক প্ৰজনন,অ্যাবায়োটিক প্রজনন
অস্বাভাৱিক,প্যারানরমাল
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. চতুর্থ পেট 2. Evomasome
ষ্টোমেটাল বৃদ্ধিৰ অংগ,স্টোমাটাল বৃদ্ধি অঙ্গ
স্তব্ধ বৃদ্ধিৰ বীজ,স্তব্ধ বৃদ্ধি বীজ
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
শোষিত কেটিয়ন,শোষিত ক্যাটান
শোষণ,শোষণ
এবিচিনিয়ান সৰিয়হ,আবিসিনিয়ান সরিষা
১.একেৰিচাইড,1. অ্যাক্যারিসাইড
centripetal,কেন্দ্রমুখী
বৃদ্ধি (কোষ),পরিবর্ধন (কোষ)
অনুমোদিত সহনশীলতা,অনুমোদিত সহনশীলতা
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
অভিযোজন,অভিযোজন
সঞ্চয়,সঞ্চয়
1.vaccuracy 2. নিখুঁততা,1. শূন্যতা 2. নির্ভুলতা
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
১.এচিডিকৰণ ২.এচিডিকৰণ,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
এচিডিটি,অম্লতা
এচিডোফাইল,অ্যাসিডোফাইল
এচিডিফাইড ৰক ফছফেট,অম্লীয় রক ফসফেট
এচিডিফাইড,অ্যাসিডযুক্ত
জলধাৰা,aquifer
অধিগ্ৰহণ,অধিগ্রহণ
একৰ,একর
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. এলাকা 2. এলাকা
শেষ বিন্দু ক্ৰম’জম,শেষ বিন্দু ক্রোমোজোম
আগলৈ চাই থকা,দূরদর্শী
acrosome,acrosome
actinomycetes,actinomycetes
সক্ৰিয় কোৰ,সক্রিয় কোর
1. উত্তেজিত 2. তীব্ৰ,1. উগ্র 2. তীব্র
অভিযোজন ক্ষমতা,অভিযোজনযোগ্যতা
কাষ্টমাইজেচন,কাস্টমাইজেশন
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. আনুগত্য 2. আনুগত্য
তৈলাক্ত,sebaceous
সমন্বয় সমীকৰণ,সমন্বয় সমীকরণ
এডোব মাটি,adobe মাটি
ব্যভিচাৰী,ভেজাল
এক্ট&#39;পিক,ectopic
Isidiospore Isidium বিজাণু,ইসিডিওস্পোর ইসিডিয়াম স্পোর
বায়ুগতিশীল প্ৰক্ৰিয়া,এরোডাইনামিক প্রক্রিয়া
ventral,ventral
বায়ুমণ্ডলীয় কৰা,বায়ু করা
১.বায়ু ২.আকাশী,1. বায়ু 2. আকাশী
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার
এৰ&#39;ছল,এরোসল
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা
ৰোগৰ বিজ্ঞান,রোগের বিজ্ঞান
বনানীকৰণ,বনায়ন
১.আন্দোলন ২.অস্থিৰতা,1. আন্দোলন 2. অশান্তি
আগমাৰ্ক,এগমার্ক
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. জমি সংক্রান্ত 2. কৃষি
কৃষি ক্লিনিক,কৃষি ক্লিনিক
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. কৃষি শ্রম 2. কৃষি শ্রম
কৃষি বিপণন,কৃষি বিপণন
কৃষি প্ৰযুক্তি,কৃষি প্রযুক্তি
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান
কৃষি বনজ,কৃষি বনায়ন
কৃষি জৈৱ বৈচিত্ৰ্য,কৃষি জীববৈচিত্র্য
কৃষি জৈৱিক দোষ,কৃষি জৈব ত্রুটি
কৃষি জীৱবিজ্ঞান,কৃষি জীববিজ্ঞান
কৃষি-জলবায়ু বৈচিত্ৰ্য,কৃষি-জলবায়ু বৈচিত্র্য
কৃষি জলবায়ু মণ্ডল সৃষ্টি,কৃষি জলবায়ু অঞ্চল সৃষ্টি
কৃষি বনানীকৰণ,কৃষি বনবিদ্যা
কৃষি বিজ্ঞান,কৃষিবিদ্যা
কৃষিভিত্তিক,কৃষিবিজ্ঞান
কৃষি পশুপালন,কৃষি যাজক
শস্য প্ৰক্ৰিয়াকৰণ,ফসল প্রক্রিয়াকরণ
ঘাঁহ বিজ্ঞান,ঘাস বিজ্ঞান
শস্যৰ প্ৰকাৰ,ফসলের ধরন
এপিফাইট,এপিফাইট
আইকিওচি মাটি,aikiochi মাটি
ৰঙৰ অন্ধতা,বর্ণান্ধতা
আলফিছল,আলফিসল
শেলাই,শৈবাল
শেলাইৰ ৰোগ,শেওলা রোগ
ক্ষাৰকীয় পানী,ক্ষার জল
ক্ষাৰকীয়,ক্ষারীয়
বিকল্প,বিকল্প
allelo ৰসায়ন বিজ্ঞান,অ্যালেলো রসায়ন
এলিল,অ্যালিল
এলেল&#39;পেথী,অ্যালিলোপ্যাথি
ভেঠী শস্য,ভেথি ফসল
consummation,পরিপূর্ণতা
নিষেচন কৰা,নিষিক্তকরণ
১.আপেক্ষিকতা ২.এলোমেট্ৰি,1. আপেক্ষিকতা 2. অ্যালোমেট্রি
multiploidy,multiploidy
১/ পেৰাজাইগোচিটি,1. প্যারাজিগোসিটি
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন
বিকল্প ভূমি ব্যৱহাৰ,বিকল্প ভূমি ব্যবহার
পৰিৱেশ,পরিবেশ
সংস্কাৰক,সংস্কারক
মাইট’ছিছ,মাইটোসিস
আমিনন,আমীনান
এমোনিয়ন,ammonion
amniferous,amniferous
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,1. অকার্যকর রূপ 2. অরূপী
উভচৰ মিশ্ৰণ,উভচর মিশ্রণ
এম্ফোটেৰিক,amphoteric
ষ্টকপাইলিং,মজুদ
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব
হেপ্লয়ড,হ্যাপ্লয়েড
কৌণিক ৰোপণ,কৌণিক রোপণ
পশুপালন,পশুপালন
পশুৰ মল-মূত্ৰ,প্রাণীর মলমূত্র
জীৱন্ত শক্তি,জীবন্ত শক্তি
অস্বাভাৱিক,অস্বাভাবিক
এবছৰীয়া উদ্ভিদ,এক বছর বয়সী উদ্ভিদ
বছেৰেকীয়া,বার্ষিক
1. আনন্দ 2. উজ্জ্বলতা,1. পরমানন্দ 2. উচ্ছ্বাস
এন্থ্ৰেক্স,অ্যানথ্রাক্স
মানৱজনিত কাৰকসমূহ,নৃতাত্ত্বিক কারণ
জীয়াই থকা,বেঁচে থাকা
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক
repulsive,বিকর্ষণকারী
এন্টিঅক্সিডেন্ট,অ্যান্টিঅক্সিডেন্ট
এন্টিটক্সিন,অ্যান্টিটক্সিন
ৰিং ফিংগাৰ,অনামিকা আঙুল
১.এফিড ২.মহু ৩.চেপা,1. এফিড 2. মাহু 3. চেপা
শীৰ্ষ কলি,শীর্ষ কুঁড়ি
শীৰ্ষ ফলপ্ৰসূতা,সর্বোচ্চ কার্যকারিতা
মৌমাখি ৰখা,মৌমাছি পালন
অযৌনতা,অযৌনতা
এপ&#39;প্টোছিছ,apoptosis
appendages,পরিশিষ্ট
appetizer,ক্ষুধার্ত
প্ৰয়োগ কৰা হৈছে,প্রয়োগ করা
জলজ অপতৃণ,জলজ আগাছা
১.গছ ২.গছৰ বাসিন্দা,1. গাছ 2. গাছের বাসিন্দা
শাখা-প্ৰশাখা,শাখা
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,প্রোটোবোটানিকাল রেকর্ড
জ&#39;ন নম্বৰ,জোন নম্বর
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. এলাকা 2. এলাকা
শুকান পৰিৱেশ তন্ত্ৰ,শুষ্ক বাস্তুতন্ত্র
কুটিলডন,cotyledon
সৌৰভ,সৌরভ
সুগন্ধিযুক্ত উদ্ভিদ,সুগন্ধি উদ্ভিদ
সুগন্ধি চাউল,সুগন্ধি চাল
ইক্ষু পুষ্পন,ইক্ষু পুষ্পন
বীজাণুমুক্ত,অ্যাসেপটিক
১.এচেপ্টিক ২.এচেপ্টিক,1. অ্যাসেপটিক 2. অ্যাসেপটিক
অযৌন প্ৰজনন,অস্ত্রোপচার
আকাৰ,আকার
সম্পত্তি,সম্পদ
১/ আত্মসাৎ ২. আত্মসাৎ,1. আত্তীকরণ 2. আত্তীকরণ
১.সংঘ ২.সংঘ,1. সমিতি 2. সমিতি
1. স্তম্ভ 2. astringency,1. কলাম 2. কৃপণতা
হেটেৰ&#39;জাইগোচিটি,হেটেরোজাইগোসিটি
১.পূৰ্বপুৰুষ ২.আটাভিজম,1. পূর্বপুরুষ 2. অ্যাটাভিজম
কণা,কণা
1. অনিশ্চয়তা 2. বিকলতা,1. অনিশ্চয়তা 2. দুর্বলতা
self pairing,স্ব জোড়া
অটোলাইছিছ,অটোলাইসিস
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ
self multiplexed,স্বয়ং মাল্টিপ্লেক্সড
অক্সিন,অক্সিন
১/ জোকাৰি যোৱা ২. টোড,1. কাঁপানো 2. টোড
পেনাল ভাইৰাছ,পেনাল ভাইরাস
১.বেচিলাছ ২.বেচিলাছ,1. ব্যাসিলাস 2. ব্যাসিলাস
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,ব্যাকটেরিয়াল টক্সিন
বাগাছ,ব্যাগাস
বেলেন্স শ্বীট,ব্যালেন্স শীট
সুষম সাৰৰ ব্যৱহাৰ,সুষম সার ব্যবহার
বাৰ গ্ৰাফ,বার গ্রাফ
বাকলি,বাকল
১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ,1. ব্যারোমিটার 2. ব্যারোমিটার
১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত,1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর
1. ভিত্তি 2. ভিত্তি 3. কুপাং,1. বেস 2. বেস 3. কাপং
১.তালা ২.বেচিন,1. টালা 2. বেসিন
তালাবিছাৰী,তালাবিসারি
১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী,1. বেসিস্টেরনাম 2. রুট ধারক
উপসাগৰীয় বাৰিষা,উপসাগরীয় বর্ষা
ফলৰ উদ্ভিদ,ফলের উদ্ভিদ
বিছনা,বিছানা
বিচনা উদ্ভিদ,বিছানা উদ্ভিদ
বিচনা চাদৰ,বিছানাপত্র
বুটমাহৰ গুড়,বীট গুড়
bellows,বেল
১.ষ্ট্ৰিপ ২.ভূখণ্ড,1. স্ট্রিপ 2. ভূখণ্ড
লাভ-খৰচ বিশ্লেষণ,লাভ-খরচ বিশ্লেষণ
আকাংক্ষিত (Sampling),উচ্চাকাঙ্ক্ষী (স্যাম্পলিং)
দ্বিবাৰ্ষিক উদ্ভিদ,দ্বিবার্ষিক গাছপালা
দ্বিপদ,দ্বিপদ
বায়&#39;ফেক্টৰ,বায়োফ্যাক্টর
জৈৱিক জলবায়ু,জৈবিক জলবায়ু
