Marathi,Kannada
A B वर्ग अॅम्प्लीफायर,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
विकृती,ವಿಪಥನ
असामान्य प्रसार,ಅಸಹಜ ಪ್ರಸರಣ
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
गहाळ स्पेक्ट्रम,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
परिपूर्ण आर्द्रता,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
परिपूर्ण गती,ಸಂಪೂರ್ಣ ವೇಗ
परिपूर्ण निरीक्षण,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
परिपूर्ण तापमान,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
पूर्ण शून्य,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
शोषून घेणे,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"शोषक, शोषक","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
शोषण क्षमता,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
शोषण,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
शोषक,ಹೀರಿಕೊಳ್ಳುವ
शोषकता,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
गुणोत्तर गुणोत्तर,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
गती वाढवणे,ವೇಗವನ್ನು
घाई केली,ಆತುರಪಟ್ಟರು
प्रवेग,ವೇಗವರ್ಧನೆ
गुरुत्वाकर्षणाचा प्रवेग,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
प्रवेगक,ವೇಗವರ್ಧಕ
प्रवेगक,ವೇಗವರ್ಧಕ
प्रवेगमापक,ವೇಗವರ್ಧಕ
prestresser,ಪ್ರಿಸ್ಟ್ರೆಸರ್
स्वीकार्य चाचणी,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
स्वीकारणारा,ಸ್ವೀಕರಿಸುವವರು
दाता रेणू,ದಾನಿ ಅಣು
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
प्रवेशयोग्यता,ಪ್ರವೇಶಿಸುವಿಕೆ
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
प्रवेश वेळ,ಪ್ರವೇಶ ಸಮಯ
अभ्यागत त्रुटी,ಸಂದರ್ಶಕರ ದೋಷ
समायोजन,ಹೊಂದಾಣಿಕೆ
जमा,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"जमा करणे, जमा करणे","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
संचयक,ಸಂಚಯಕ
अचूकता,ನಿಖರತೆ
वास्तव,ರಿಯಾಲಿಟಿ
अॅक्रोमॅटिक लेन्स,ವರ್ಣರಹಿತ ಮಸೂರ
अक्रोमॅटिक,ವರ್ಣರಹಿತ
अक्रोमॅटिकता,ವರ್ಣರಹಿತತೆ
ध्वनिक,ಅಕೌಸ್ಟಿಕ್
ध्वनीरोधक,ಧ್ವನಿ ನಿರೋಧಕ
ध्वनिक फोनन,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
ध्वनी युनिट,ಧ್ವನಿ ಘಟಕ
ध्वनिक,ಅಕೌಸ್ಟಿಕ್
ध्वनी जनरेटर,ಧ್ವನಿ ಜನರೇಟರ್
क्रिया आणि प्रतिक्रिया,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
सक्रियकरण,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
सक्रियता ऊर्जा,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
"सक्रिय करणारा, सक्रिय करणारा","ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
सक्रिय,ಸಕ್ರಿಯ
सक्रियता,ಕ್ರಿಯಾಶೀಲತೆ
वास्तविक ताण,ನಿಜವಾದ ಒತ್ತಡ
कुजबुजणे,ಗುಸುಗುಸು
