Punjabi,Gujarati
ਐਸਿਡੌਇਡ,એસિડોઇડ
ਏਓਲੀਅਨ ਮਿੱਟੀ,એઓલિયન માટી
ਕੁੱਲ,એકંદર
ਐਗਰੀਗੇਸ਼ਨ,એકત્રીકરણ
ਖੇਤੀ ਵਿਗਿਆਨ,કૃષિશાસ્ત્ર
ਖੇਤੀ ਵਿਗਿਆਨ,કૃષિવિજ્ઞાન
ਏ-ਹੋਰੀਜ਼ਨ,A-ક્ષિતિજ
ਆਉ-ਦਿਮਾਗ,Ao-ક્ષિતિજ
ਆਉ—ਅੰਦਾਜ਼,Aoo-ક્ષિતિજ
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,માટીની હવા ક્ષમતા
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,જમીનની હવાની સામગ્રી
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,એર પિકનોમીટર
ਐਲੀਟਿਕ ਮਿੱਟੀ,એલિટિક માટી
ਐਲਵੀਅਲ ਮਿੱਟੀ,કાંપવાળી માટી
ਐਮਫੋਲੀਟੋਇਡ,એમ્ફોલિટોઇડ
ਐਨੀਅਨ,આયન
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
ਅਰਿਸ,એરિસ
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,Ashlar દંડ ચણતર
ਐਸ਼ਲਰ ਚਿਣਾਈ,Ashlar ચણતર
ਅਜੋਨਲ ਮਿੱਟੀ,એઝોનલ માટી
ਪਿਛਲਾ ਅਦਾਕਾਰ,પાછળનો અભિનેતા
ਪਿਛਲਾ arch,પાછળની કમાન
ਬੈਕ ਬੈਂਡ,બેક બેન્ડ
ਪਿੱਛੇ ਬੁਰਸ਼,પાછળ બ્રશ
ਵਾਪਸ ਜਾਂਚ,બેક ચેક
ਪਿੱਛੇ ਕਾਊਂਟਰ,બેક કાઉન્ટર
ਵਾਪਸ ਕੱਟਣਾ,પાછળ કટીંગ
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,બેક ડ્રાફ્ટ ડેમ્પર
ਬੈਕ ਡਰੇਨ,બેક ડ્રેઇન
ਬੈਕ ਡਰਾਪ,બેક ડ્રોપ
ਵਾਪਸ ਭਰੋ,પાછળ ભરો
ਬੈਕ ਫਿਲਲੇਟ,બેક ફીલેટ
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,બેક ફ્લૅપ મિજાગરું
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,બેક ફ્લો કનેક્શન
ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ,બેક ફ્લો નિવારક
ਬੈਕ ਗੇਜ,બેક ગેજ
ਪਿਛਲਾ ਗਟਰ,પાછળ ગટર
ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ,બેક હર્થ
ਬੈਕਿੰਗ,બેકિંગ
ਬੈਕਿੰਗ ਬੋਰਡ,બેકિંગ બોર્ડ
ਪਿੱਠ ਦਾ ਦਬਾਅ,પાછળ ધકેલાતું દબાણ
ਬੈਕ ਪ੍ਰੋਪ,બેક પ્રોપ
ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ,પાછળની દૃષ્ટિ
ਵਾਪਸ ਪਾਣੀ,પાછું પાણી
ਘਬਰਾਹਟ,બેફલ
ਬੈਗਵਰਕ,બેગવર્ક
ਬੈਲਸਟ,બેલાસ્ટ
ਬਾਲ ਮਿੱਟੀ,બોલ માટી
ਬਾਲ ਕੋਨ ਕਲੈਂਪ,બોલ શંકુ ક્લેમ્બ
ਕੰਡਿਆਲੀ ਤਾਰ,કાંટાળો તાર
ਬਾਰ ਕੁੱਤਾ,બાર કૂતરો
ਬਾਰਜ ਬੋਰਡ,બાર્જ બોર્ડ
ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ,બેરિયમ સલ્ફેટ ટેસ્ટ
ਬੈਰਾਜ,બેરેજ
ਬੈਰੇਟ,બેરેટ
ਅਧਾਰ,પાયો
ਬੇਸ ਐਕਸਚੇਂਜ,આધાર વિનિમય
ਬੇਸ ਲਾਈਨ,બેઝ લાઇન
ਬੇਸਮੈਂਟ,ભોંયરું
ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ,ભોંયરું દિવાલ
ਬੇਸ ਪਲੇਟ,બેઝ પ્લેટ
"ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ","બેઝ પ્લેટ, એડજસ્ટેબલ"
ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ,આધાર સંતૃપ્તિ
ਬੇਸੌਇਡ,બેસોઇડ
ਬੱਲਾ,બેટ
ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ,સ્નાન અને WC
ਬੈਟਰ ਪੈਗ,સખત મારપીટ
ਬੈਟਰ ਪੀਅਰ,સખત મારપીટ પિયર
ਬੈਟਰ ਨਿਯਮ,સખત મારપીટનો નિયમ
ਬਾਲਕ (ਬਾਲਕ),બૉલ્ક (બાલ્ક)
ਬੇ,ખાડી
ਧਾਰਕ,ધારક
ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ,બેરિંગ ક્ષમતા
ਬੇਅਰਿੰਗ ਪਾਇਲ,બેરિંગ ખૂંટો
ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ,બેરિંગ સ્ટ્રેટમ
ਬਿਸਤਰਾ,પથારી
ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼,પથારીનું વિમાન
ਬਿਸਤਰਾ ਜੋੜ,બેડ સંયુક્ત
ਬੈੱਡ ਰੌਕ,બેડ રોક
ਬੈੱਡ ਰੂਮ,બેડ રૂમ
ਮੋਮ,મીણ
ਘੰਟੀ ਬਾਕਸ,બેલ બોક્સ
ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ,બેલિંગ ડોલ
ਬੇਲੋਫ੍ਰਾਮ,બેલોફ્રેમ
ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ,બેન્ચ્ડ ફાઉન્ડેશન
ਬੈਂਚਿੰਗ,બેન્ચિંગ
ਬੇਂਚਮਾਰਕ,બેન્ચ માર્ક
ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,લાભ ખર્ચ વિશ્લેષણ
ਬਰਮ,બેર્મ
Bevelled ਬੰਦ,બેવેલ્ડ બંધ
"ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-","B-ક્ષિતિજ,&quot;B-"
ਬਾਇਟ,બાયટ
ਬਿੰਦਰ,બાઈન્ડર
ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ,બંધનકર્તા સામગ્રી
ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ,બાયોટનો સિદ્ધાંત
ਬਿਟੂਮਨ,બીટુમેન
ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ,કાળી કપાસની માટી
ਕਾਲੀ ਧਰਤੀ,કાળી પૃથ્વી
ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ,કાળી જડિયાંવાળી જમીન
ਬਲੇਡ,બ્લેડ
ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
ਬਲਾਕੀ ਬਣਤਰ,બ્લોકી માળખું
ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ,બોગી પ્રતિકાર
ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ,બોગ-આયર્ન ઓર
ਬਾਂਡ,બોન્ડ
ਬੰਧੂਆ ਮੈਂਬਰ,બંધાયેલા સભ્ય
ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
ਬੰਧਨ ਪੱਥਰ,બોન્ડ પથ્થર
ਬੰਨ੍ਹ ਪਾਣੀ,બંધાયેલ પાણી
ਬਾਕਸ ਗਟਰ,બોક્સ ગટર
ਬ੍ਰੇਸ,તાણવું
ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ,ઈંટ પર ધાર
ਲਗਾਮ,બ્રિડલ
ਚਮਕ,તેજ
ਭੂਰੀ ਮਿੱਟੀ,બ્રાઉન માટી
ਬਿਲਡਿੰਗ,બિલ્ડીંગ
ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ,બિલ્ડીંગ સર્વેયર
ਬਫਰ,બફર
ਬਫਰ ਕਰਵ,બફર વળાંક
ਬਫਰਿੰਗ,બફરિંગ
ਬਫਰਿੰਗ ਸਮਰੱਥਾ,બફરિંગ ક્ષમતા
ਬੰਦਰ,બંદર
ਬਟਰਸ,બટ્રેસ
ਸੀ-ਹੋਰੀਜ਼ਨ,સી-ક્ષિતિજ
ਕੇਬਲ,કેબલ
ਕੇਬਲ ਮੋਲਡਿੰਗ,કેબલ મોલ્ડિંગ
ਕੇਬਲਿੰਗ,કેબલિંગ
ਕੈਬਿਨ,કેબિન
ਕੈਬਿਨ ਹੁੱਕ,કેબિન હૂક
ਕੈਬਨਿਟ,કેબિનેટ
ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ,કેબોલ્ટે છોડી દીધું
ਕੈਫੇਟੇਰੀਆ,કાફેટેરિયા
ਪਿੰਜਰਾ,કેજ
ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ,પાંજરાનું બાંધકામ
ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ,કાઈનનું સૂત્ર
ਕੈਸਨ,કેસોન
ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ,કેસોન રોગ
ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ,કેસોન ફાઉન્ડેશન
ਕੈਸਨ ਢੇਰ,Caisson ખૂંટો
ਕੈਲੇਰੀਅਸ ਇੱਟ,કેલ્કેરિયસ ઈંટ
ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ,કેલ્કેરિયસ માટી
ਛਾਲੇਦਾਰ ਛਾਲੇ,કેલ્કેરિયસ પોપડો
ਕੈਲਸੀਫਿਕੇਸ਼ਨ,કેલ્સિફિકેશન
ਕੈਲਸੀਨੇਸ਼ਨ,કેલ્સિનેશન
ਕੈਲਸੀਨ,કેલ્સિન
ਕੈਲਸਾਈਟ,કેલ્સાઇટ
ਕੈਲਸ਼ੀਅਮ-ਐਲੂਮੀਨੇਟ ਸੀਮਿੰਟ,કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ
ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਇੱਟ,કેલ્શિયમ-સિલિકેટ ઈંટ
ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਹਾਈਡਰੇਟ,કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ
