Odiya,English
ଆମ୍ପେର୍ (ୟୁନିଟ୍),A (Ampere unit of current)
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |,A (angstrom)
ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A amplifier
ଏକ ରେଡିଓ ସାହା |,A-N radio range
ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |,A-scan presentation
a-darsh,A-scope
ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |,A-scope display
A-T ବକ୍ର ସ୍ଫଟିକ୍ |,A-T Cut crystal
"ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ",A.c-d.c. gain
ମୁଁ,A.M. (ante meridiem)
AMU (ପରମାଣୁ ମାସ ଏକକ),A.m.u. (atomic mass unit)
aard-vark *,Aard-vark
ab-ampere,Ab ampere
A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,AB amplifier
ଆଦା,Ab initio
A-B ଶକ୍ତି ପିଟାକା |,AB power pack
abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |,Abac=alignment chart=nomograph
ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର),Abbe number (=Abbe constant)
abe refractometer,ABBE refractometer
ଆବେ ସାଇନ ଅବସ୍ଥା |,Abbe sine condition
ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |,Abc (automatic bias compensation)
abcoulom,Abcoulomb
"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |",Aberration
ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |,Aberration corrector lens
ଆକାଶ ଅବକ୍ଷୟ |,Aberration of light
abfarad,Abfarad
ଏବେନେରୀ |,Abhenry
ଇବୋନି ପ୍ରଭାବ |,Abney effect (=Abney law)
ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |,Abnormal polarisation
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,Abnormal propagation
ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |,Abnormal reflection
ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *,Abnormal refraction
ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |,Abnormal resistance
ab-om,Abohm
"ଅଗ୍ରାଧିକାର, ବିଫଳତା |",Abortion
"ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |",Abrupt
