Marathi,Hindi
गर्भपात,विफलन
गर्भपात टाइमर,विफलन कालद
परिपूर्ण पत्ता,निरपेक्ष पता
परिपूर्ण पत्ता,निरपेक्ष पताभिगमन
परिपूर्ण असेंबलर,निरपेक्ष कोडांतरक
परिपूर्ण कोड,निरपेक्ष कूट
परिपूर्ण कोडिंग,निरपेक्ष कूटलेखन
परिपूर्ण आज्ञा,निरपेक्ष समादेश
परिपूर्ण समन्वय,निरपेक्ष निर्देशांक
परिपूर्ण डेटा,निरपेक्ष आंकड़े
परिपूर्ण त्रुटी,निरपेक्ष त्रुटि
परिपूर्ण अभिव्यक्ती,निरपेक्ष व्यंजक
परिपूर्ण सूचना,निरपेक्ष अनुदेश
परिपूर्ण लोडर,निरपेक्ष भारक
परिपूर्ण ऑर्डर,निरपेक्ष आदेश
परिपूर्ण प्रोग्रामिंग,निरपेक्ष क्रमादेशन
परिपूर्ण संज्ञा,निरपेक्ष पद
परिपूर्ण मूल्य,निरपेक्ष मान
परिपूर्ण वेक्टर,निरपेक्ष सदिश
गोषवारा,"सारांश, अमूर्त"
अमूर्त,"सारांशन, अमूर्तकरण, साराहरण"
अमूर्त प्रतीक,अमूर्त प्रतीक
प्रवेग कालावधी,त्वरण अवधि
प्रवेग वेळ,त्वरण काल
उच्चारण,उच्चारण चिह्न
स्वीकृती चाचणी,स्वीकरण परीक्षण
प्रवेश,अभिगम
प्रवेश आर्म,अभिगम बाहु
प्रवेश व्यवस्था,अभिगम व्यवस्था
प्रवेश प्राधिकरण,अभिगम प्राधिकारक
प्रवेश शुल्क,अभिगम शुल्क
प्रवेश वर्ग,अभिगम वर्ग
प्रवेश डेटा बेस व्यवस्थापन,अभिगम आँकड़ासंचय प्रबंध
प्रवेश वातावरण,अभिगम परिवेश
प्रवेश अंतर,अभिगम अंतराल
प्रवेश निर्देशांक,अभिगम सूचक
Line क्सेस लाइन,अभिगम लाइन
प्रवेश यंत्रणा,अभिगम यांत्रिकत्व
प्रवेश पद्धत,अभिगम विधि
प्रवेश पद्धत दिनचर्या,अभिगम विधि नेमका
प्रवेश मोड,अभिगम विधा
प्रवेश बरोबर,अभिगम अधिकार
प्रवेश स्कॅन,अभिगम क्रमवीक्षण
प्रवेश वेळ,अभिगम काल
लेखा,लेखा कार्य
लेखा वित्त प्रणाली,लेखाकार्य वित्त तंत्र
लेखा मशीन,लेखा यंत्र
खाते क्रमांक,खाता संख्या
पुनरुत्पादक संचय,संचयी पुनरुत्पादक
संचयक,संचायक
संचयक नोंदणी,संचायक पंजी
संचयक शिफ्ट सूचना,संचायक विस्थापन अनुदेश
