Gujarati,Bengali
વેસ્ટમિન્સ્ટરના એબી,ওয়েস্টমিনস্টারের অ্যাবে
ત્યાગી,বর্জনীয়
ગુલામી નાબૂદી,দাসত্বের সমাপ্তি
એબોરિજિનલ,আদিবাসী
અબ્રાહમ યુગ,আব্রাহাম যুগ
ગેરહાજર મકાનમાલિકો,অনুপস্থিত জমির মালিক
એકેડમી,একাডেমী
અકરા કોન્ફરન્સ,আকরা সম্মেলন
સંસાધનો,সঞ্চয়
સંવર્ધન,সংগ্রহ
એસેલડામા,অ্যাসেলডামা
અચેઅન (=અચિયન),আচিয়ান (=আচিয়ান)
આચિયન લીગ (=એચિયન લીગ),আচিয়ান লীগ (=আচিয়ান লীগ)
એક્રોપોલિસ,অ্যাক্রোপলিস
એક્ટા દીર્ના,Acta Diurna
એક્ટા સેનાટસ,Acta Senatus
એક્ટ એડિશનલ,অ্যাক্ট অ্যাডিশনেল
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
પ્રાપ્ત કરનારનું કાર્ય,প্রাপ্তির কাজ
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,ক্ষতিপূরণ এবং বিস্মৃতির আইন
સમાધાનનો અધિનિયમ,নিষ্পত্তির আইন
જાહેરાત કરાર સીલ,বিজ্ঞাপন চুক্তি সীল
અદુલ્લામાઈટસ,আদুল্লামাইটস
વિરોધી,প্রতিপক্ষ
વિરોધી,প্রতিপক্ষ
એઓન,Aeon
એરેરિયમ,এরারিয়াম
હવાઈ યુદ્ધ,বায়বীয় যুদ্ধ
એટોલિયન લીગ,এটোলিয়ান লীগ
ઉંમર,বয়স
વૃદ્ધત્વ (=વૃદ્ધત્વ),বার্ধক্য (=বার্ধক্য)
વૃદ્ધત્વ પ્રક્રિયા,বার্ধক্য প্রক্রিয়া
અગેલાઈ,এগেলাই
શૌર્યની ઉંમર,বীরত্বের বয়স
જ્ઞાનની ઉંમર,এনলাইটমেন্টের বয়স
પેરિકલ્સની ઉંમર,পেরিক্লেসের বয়স
કારણની ઉંમર,কারণ বয়স
કૃષિવાદ,কৃষিবাদ
કૃષિ આંદોલન,কৃষি আন্দোলন
એલ્બિયન,অ্যালবিয়ন
આલ્બમ,অ্যালবাম
એલ્ડરમેન,অল্ডারম্যান
મોહક શસ્ત્રો,লোভনীয় অস্ত্র
સૌમ્યતા,বন্ধুত্ব
એમ્ફિક્ટિઓનિક કાઉન્સિલ,অ্যাম্ফিক্টোনিক কাউন্সিল
એમ્ફિક્ટિઓનિક લીગ,Amphictyonic লীগ
એમ્ફીથિયેટર,অ্যাম্ফিথিয়েটার
અમરી નલ જૂથ (માટીના વાસણો),আমরি নল দল (মৃৎপাত্রের)
અનાક્રોનિઝમ,অ্যানাক্রোনিজম
એનાક્રોનિસ્ટિક,অ্যানাক্রোনিস্টিক
પૂર્વજ,পূর্বপুরুষ
પૂર્વજની પૂજા,পূর্ব পুরুষের পুজা
વંશ,বংশ
વંશ,বংশ
વંશ,বংশ
વંશ,বংশ
પ્રાચીન શાસન,প্রাচীন শাসন
પ્રાચીન,প্রাচীন
પ્રાચીન લોકગીત,প্রাচীন গীতিনাট্য
પ્રાચીન માન્યતા,প্রাচীন বিশ্বাস
પ્રાચીન રિવાજ,প্রাচীন রীতি
પ્રાચીન ઇતિહાસ,প্রাচীন ইতিহাস
પ્રાચીન સ્મારકો,প্রাচীন স্মৃতিস্তম্ভ
ટુચકો,উপাখ্যান
એન્જેલોટ,অ্যাঞ্জেলট
એન્જલસ,এঞ্জেলাস
એન્જેવિન (=એન્જેવિન),অ্যাঞ্জেভিন (=এনজেভিন)
ખૂણો,কোণ
એંગ્લિકન,অ্যাংলিকান
એંગ્લિકન કોમ્યુનિયન,অ্যাংলিকান কমিউনিয়ন
અંગ્રેજવાદ,অ্যাংলিকানিজম
એંગ્લો-ફોબ,অ্যাংলো-ফোব
એંગ્લો-ફોબિયા,অ্যাংলো-ফোবিয়া
એંગ્લો-સેક્સન,অ্যাংলো-স্যাক্সন
એંગ્લો-સેક્સોનિઝમ,অ্যাংলো-স্যাক্সোনিজম
એનાલિસ્ટ,অ্যানালিস্ট
ઇતિહાસ,ইতিহাস
જોડાણ,সংযোজন
એન્ટિ-બેલમ,এন্টে-বেলাম
તારીખ પહેલાં,তারিখের আগে
ક્લેરિકલિઝમ વિરોધી,করণিকবাদ বিরোধী
કારકુની વિરોધી કાયદો,অ্যান্টি-ক্লারিক্যাল আইন
પ્રાચીનકાળ,প্রাচীনত্ব
વિરોધી ભાડા,ভাড়া বিরোধী
વિરોધી ભાડા,ভাড়া বিরোধী
વિરોધી સેમિટિઝમ,সেমিটিজম বিরোধী
એન્ઝેક,আনজাক
અપેલા,আপেলা
અરાલુ,আরালু
આર્ક બિશપ,আর্চ বিশপ
કમાન ડચી,আর্চ ডুচি
આર્ક ડ્યુક,আর্চ ডিউক
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),আর্কিফ (= আর্কাইভাল সংগ্রহ)
આર્કિપીસ્કોપેટ,আর্কিপিস্কোপেট
કુલીન વર્ગ,আভিজাত্য
કુલીન,অভিজাত
કુલીન સ્નોબરી,আভিজাত্য স্নোবারি
એરિસ્ટોટેલિયન,এরিস্টটলীয়
આર્માડા,আরমাডা
આર્મડા (=ધ સ્પેનિશ આર્મડા),আরমাদা (=স্প্যানিশ আরমাদা)
આર્મોરિસ્ટ (=આર્મરિસ્ટ),আর্মোরিস্ট (= আর্মারিস্ট)
બખ્તર (=બખ્તર),বর্ম (= বর্ম)
આર્મરિસ્ટ,আর্মারিস্ট
આર્યન,আরিয়ান
આર્યન,আরিয়ান
અસ્કરી,আসকারী
સોંપણી,বরাদ্দ
સહાય કરો,সহায়তা
સહાય કરો,সহায়তা
સહાય કરો,সহায়তা
આર્મ્સ એક્ટની સહાય,অস্ত্র আইনের সহায়তা
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,ড্যারিন প্রেজেন্টমেন্টের সহায়তা
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা
નવલકથા ડીસીસીનની સહાય,নভেল ডিসিসিনের অ্যাসাইজ
અત્યાચાર,নৃশংসতা
હુમલો,আক্রমণ
ઓલિક કાઉન્સિલ,অলিক কাউন্সিল
દેવીની કુહાડી (=દેવીની કુહાડી),দেবীর কুঠার (=দেহী কুঠার)
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ)
બેબીલોન,ব্যাবিলন
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব)
બચનલ ભક્ત,বাচনাল ভক্ত
બચ્ચનલિયા,বাচনালিয়া
સ્નાતક,ব্যাচেলর
બગદાદ કરાર,বাগদাদ চুক্তি
બાલ્કન લીગ,বলকান লীগ
બાલ્કન કરાર,বলকান চুক্তি
બાલ્કન યુદ્ધો,বলকান যুদ্ধ
બાલ્ટિક સંધિ,বাল্টিক চুক্তি
ડાકુ,দস্যু
બાંડુંગ કોન્ફરન્સ,বান্দুং সম্মেলন
દેશનિકાલ,নির্বাসন
બેનર,ব্যানার
અસંસ્કારી,অসভ্য
બાર્બીકન,বারবিকান
બારડોલી સત્યાગ્રહ,বারদোলী সত্যাগ্রহ
બાર્ન બર્નર્સ,শস্যাগার বার্নার্স
બેરોન,ব্যারন
બેરોનેજ,ব্যারোনেজ
બેરોન્સ મેજર,ব্যারনস মেজরস
બેરોન્સ સગીર,ব্যারোনস মাইনরস
બેરોનેસ,ব্যারনেস
બેરોનેટ,ব্যারোনেট
બેરોનેટેજ,ব্যারোনেটেজ
બેરોનેટેજ,ব্যারোনেটেজ
બેરોનેટસી,ব্যারোনেটসি
બેરોની,ব্যারনি
બેરાકૂન,ব্যারাকুন
બેરાકૂન,ব্যারাকুন
બેરિકેડ (=બેરિકેડ),ব্যারিকেড (=ব্যারিকেড)
બેરિકેડ (=બેરિકેડ),ব্যারিকেড (=ব্যারিকেড)
બેરિકેડ (=બેરિકેડ),ব্যারিকেড (=ব্যারিকেড)
મુખ્ય છાવણી,সেনাঘাঁটি
બેસિલિકા,ব্যাসিলিকা
બેસિલિકા,ব্যাসিলিকা
બેસ્ટિલા,বাস্তিলা
બેસ્ટિલ,বাস্তিল
બેસ્ટિલ,বাস্তিল
બેટરી,ব্যাটারি
યુદ્ધ,যুদ্ধ
Batlle-એરે,ব্যাটলে-অ্যারে
યુદ્ધ ક્રાય,যুদ্ধ কান্না
યુદ્ધ દિન,যুদ্ধ দিন
યુદ્ધ ક્ષેત્ર,যুদ্ধক্ষেত্র
યુદ્ધ સ્તોત્ર,যুদ্ধের স্তব
સ્પર્સનું યુદ્ધ,স্পার্সের যুদ্ধ
ધોરણનું યુદ્ધ,স্ট্যান্ডার্ড যুদ্ধ
યુદ્ધજહાજ,যুদ্ধজাহাজ
યુદ્ધજહાજ-શક્તિ,যুদ্ধজাহাজ-শক্তি
Bayeux ટેપેસ્ટ્રી,Bayeux ট্যাপেস্ট্রি
બીકન,বীকন
બીકન ટાવર,বীকন টাওয়ার
બીવર,বিভার
બીવર,বিভার
સમુદ્રના ભિખારીઓ,সমুদ্রের ভিক্ষুক
બેલીકોઝ,বেলিকোস
બેલીકોઝ,বেলিকোস
બેલીકોઝ,বেলিকোস
બેલીકોસીટી,বেলিকোসিটি
બેલોના,বেলোনা
લાભ,উপকারিতা
ધર્મગુરુઓનો લાભ,যাজকদের সুবিধা
બેનેલક્સ,বেনেলাক্স
બર્લિન હુકમનામું,বার্লিন ডিক্রি
બેર્સકર,বেসার
બેસન્ટ (=બેઝન્ટ),বেসান্ট (=বেজেন্ট)
બેથેલ,বেথেল
ગ્રંથસૂચિ,বিবিলিওলেটর
ગ્રંથસૂચિ,বিবিলিওলাট্রি
મોટા બર્થા,বিগ বার্থা
ધર્માંધ,বিগট
બિલેટિંગ,বিলেটিং
અટેન્ડરનું બિલ,অ্যাটেন্ডারের বিল
અધિકારોનું વિયેધક,অধিকার বিল
જીવનચરિત્રકાર,জীবনীকার
જન્મ કથાઓ,জন্মের গল্প
બિવૉક,বিভাক
બિવૉક,বিভাক
બિવૉક,বিভাক
બિઝોનિયા,বিজোনিয়া
બ્લેક બર્ડિંગ,কালো পাখি
કાળો ઝંડો,কালো পতাকা
બ્લેક હોલ,কৃষ্ণ গহ্বর
બ્લેક હોલ,কৃষ্ণ গহ্বর
કાળો પગ (= સ્કેબ),কালো পা (= স্ক্যাব)
કાળો શર્ટ,কালো শার্ট
બ્લેઝોન,ব্লাজন
બ્લેઝોન,ব্লাজন
બ્લેઝોનરી,ব্লাজনরি
બ્લેઝોનરી,ব্লাজনরি
બ્લિટ્ઝક્રેગ,Blitzkrieg
લોહી વગરની ક્રાંતિ (= ભવ્ય ક્રાંતિ),রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব)
બ્લડવાઈટ,ব্লাডওয়াইট
બ્લડી મેરી,ব্লাডি মেরি
વાદળી,নীল
વાદળી રક્ત,আভিজাত্য
વાદળી પુસ્તક,নীল বই
વાદળી રિબન,নীল পটি
વાદળી રિબન,নীল পটি
બ્લૂઝ (= રોયલ હોર્સ ગાર્ડ્સ),ব্লুজ (=রয়্যাল হর্স গার্ড)
વાદળી શર્ટ,নীল শার্ট
બ્લુ વોટર સ્કૂલ,ব্লু ওয়াটার স্কুল
બોર્ડ ઓફ કંટ્રોલ,নিয়ন্ত্রণ বোর্ড
શારીરિક બખ્તર,শরীরবর্ম
બોઅર,বোয়ার
લૂંટ,লুঠ
બરો,বরো
બુલ્યુટેરિયન,বুলিউটেরিয়ন
બોર્બોન,বোরবন
બોક્સર બળવો,বক্সার বিদ্রোহ
તાણવું,বন্ধনী
બ્રાસર્ડ,ব্রাসার্ড
બ્રાસર્ડ,ব্রাসার্ড
બ્રેડ વસાહતો,রুটি উপনিবেশ
સ્તન પ્લેટ,ব্রেস্ট প্লেট
સ્તન કામ,স্তনের কাজ
બ્રેટવાલ્ડા,ব্রেটওয়াল্ডা
બ્રિગન્ડ,ব্রিগ্যান্ড
બ્રિગેન્ડેજ,ব্রিগ্যান্ডেজ
