Marathi,Hindi
अबेलियन गट,आबेली समूह
अबेलियन अर्धसमूह,आबेली सामिसमूह
abscissa,भुज
निरपेक्ष,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
परिपूर्ण अभिसरण,निरपेक्ष अभिसरण
पूर्ण त्रुटी,निरपेक्ष त्रुटि
परिपूर्ण कमाल,परम उच्चिष्ठ
परिपूर्ण किमान,परम निम्निष्ठ
परिपूर्ण मूल्य,निरपेक्ष मान
परिपूर्ण वेग,निरपेक्ष वेग
अमूर्त बीजगणित,अमूर्त बीजगणित
अमूर्त गट सिद्धांत,अमूर्त समूह सिद्‌धांत
प्रवेग,त्वरण
गुरुत्वाकर्षणामुळे प्रवेग,गुरुत्वीय त्वरण
स्वीकार्य निवड संच,स्वीकार्य वरण-समुच्चय
स्वीकार्य गुणवत्ता पातळी,स्वीकार्य गुणता स्तर
स्वीकार्य श्रेणी,स्वीकार्य परिसर
स्वीकार्य विश्वसनीयता पातळी,मान्य विश्वसनीयता स्तर
स्वीकार्य नमुना,स्वीकरण-प्रतिचयन
संचित त्रुटी,संचित त्रुटि
अचूकता,यथार्थता
अभिनय शक्ती,लगा हुआ बल
क्रिया," क्रिया , कर्म"
क्रिया आणि प्रतिक्रिया,क्रिया और प्रतिक्रिया
वास्तविक विज्ञान,बीमा विज्ञान
तीव्र कोन त्रिकोण,न्यूनकोण त्रिभुज
अॅसायक्लिक,अचक्रीय
जोडा,"योग करना, जोड़ना"
जोडणारा,योजक
या व्यतिरिक्त,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
जोड सूत्र,योग का सूत्र
जटिल संख्यांची बेरीज,सम्मिश्र संख्याओं का योग
कार्ये जोडणे,फलनों का योग
मॅट्रिक्स जोडणे,आव्यूहों का योग
बहुपदी जोडणे,बहुपदों का योग
संभाव्यता जोडणे,प्रायिकताओं का योग
वेक्टर जोडणे,सदिशों का योग
अतिरिक्त प्रमेय,"योग प्रमेय बेरीज सिद्‌धांत,"
मिश्रित गट,योज्य समूह
additive inverse,योज्य व्युत्क्रम
अतिरिक्त गुणधर्म,"योज्यता, योगशीलता"
जोड,योज्यता
संलग्नता मॅट्रिक्स,आसन्नता आव्यूह
समीप," संलग्न, निकटवर्ती , आसन्न"
समीप कोन,आसन्न कोण
समीप शिरोबिंदू,आसन्न शीर्ष
संलग्न,सहबद्‌ध करना
शेजारील,"संलग्न संलग्नीत,"
संलग्न निर्धारक,सहखंडज सारणिक
संलग्न विभेदक समीकरण,संलग्न अवकल समीकरण
संलग्न समीकरण,संलग्न समीकरण
संलग्न मॅट्रिक्स,सहखंडज आव्यूह
मॅट्रिक्सचा संलग्न,आव्यूह सहखंडज
मॅट्रिक्स समायोजित करा,सहखंडज आव्यूह
स्वीकार्य निर्णय कार्य,ग्राह्य निर्णय फलन
स्वीकार्य गृहीतक,ग्राह्य परिकल्पना
वायुगतिकीय शक्ती,वायुगतिक बल
वायुगतिकी,वायु गतिकी
affine भूमिती,सजातीय ज्यामिति
affine मॅपिंग,सजातीय प्रतिचित्रण
affine परिवर्तन,सजातीय रूपांतरण
एकत्रित व्हेरिएबल्स,समुच्चयी चर
बीजगणित," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
बीजगणितानुसार बंद,"बीजतः संवृत, बीजतः"
बीजगणितीय समीकरण,बीजीय समीकरण
बीजगणितीय अभिव्यक्ती,बीजीय व्यंजक
बीजगणितीय फॉर्म,बीजीय समघात
बीजगणितीय कार्य,बीजीय फलन
बीजगणितीय भूमिती,बीजीय ज्यामिति
बीजगणितीय गुणाकार,बीजीय बहुकता
बीजगणित प्रणाली,बीजीय निकाय
सर्व-पूर्णांक समस्या,सर्व-पूर्णांक समस्या
