Kannada,Punjabi
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,ਅਧੂਰਾ
ಗರ್ಭಪಾತ,ਗਰਭਪਾਤ
ಸಂಪೂರ್ಣ ಕಳೆ,ਸੰਪੂਰਨ ਬੂਟੀ
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,ਸਮਾਈ
ಹೀರುವಿಕೆ,ਸਮਾਈ
ಪ್ರಪಾತದ ಸಾಸಿವೆ,ਅਬੀਸਨੀਅਨ ਰਾਈ
ಉಜ್ಜೆ,ਅਚੰਭੇ
ಉಪನಾಮದ,ਰਾਜਕੁਮਾਰੀ
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
ಪರಿಕರ,ਸਹਾਇਕ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ਅਨੁਕੂਲਤਾ
ಸಂಗ್ರಹಣೆ,ਇਕੱਠਾ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ಕಸಚೂಕು,ਏਸਰਵੂਲਸ
ಸಮಗ್ರೀಕರಣ,ਐਸੀਟਿਫਿਕੇਸ਼ਨ
ಆಮ್ಲೀಕರಣ,ਐਸਿਡਿਫਿਕੇਸ਼ਨ
ಆಚಿಮೀಟರ್ ಚೀಟಿ,ਐਸਿਡਮੀਟਰ
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ਐਸਿਡਿਟੀ
ಸಿಹಿನೀರಿನ,ਐਸਿਡੋਫਿਲਿਕ
ಆಮ್ಲೀಯ,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
ಸಂಚೇಮದ,ਐਸਿਡੁਰਿਕ
ಜಲಚರಗಳು,ਐਕੁਇਫਰ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,ਗ੍ਰਹਿਣ
ಎಕರೆ,ਏਕੜ
ಎಕರೆ,ਰਕਬੇ
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
ಖುಷಿಯ,ਐਕਰੋਪੇਟਲ
ಸುಣ್ಣ,ਐਸ਼੍ਰੋਸੋਮ
ಅಂಧ,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
