Hindi,Malayalam
विफलन,ഉപേക്ഷിക്കുക
विफलन कालद,ടൈമർ നിർത്തുക
निरपेक्ष पता,കേവല വിലാസം
निरपेक्ष पताभिगमन,കേവല വിലാസം
निरपेक्ष कोडांतरक,കേവല അസംബന്ധം
निरपेक्ष कूट,കേവല കോഡ്
निरपेक्ष कूटलेखन,കേവല കോഡിംഗ്
निरपेक्ष समादेश,കേവല കമാൻഡ്
निरपेक्ष निर्देशांक,കേവല കോർഡിനേറ്റ്
निरपेक्ष आंकड़े,കേവല ഡാറ്റ
निरपेक्ष त्रुटि,കേവല പിശക്
निरपेक्ष व्यंजक,കേവല പദപ്രയോഗം
निरपेक्ष अनुदेश,കേവല പ്രബോധനം
निरपेक्ष भारक,കേവല ലോഡർ
निरपेक्ष आदेश,കേവല ക്രമം
निरपेक्ष क्रमादेशन,കേവല പ്രോഗ്രാമിംഗ്
निरपेक्ष पद,കേവല പദം
निरपेक्ष मान,യഥാർത്ഥ മൂല്യം
निरपेक्ष सदिश,കേവല വെക്റ്റർ
"सारांश, अमूर्त",വേര്പെട്ടുനില്ക്കുന്ന
"सारांशन, अमूर्तकरण, साराहरण",അമൃതിയുള്ള
अमूर्त प्रतीक,അമൂർത്ത ചിഹ്നം
त्वरण अवधि,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
त्वरण काल,ത്വരണം സമയം
उच्चारण चिह्न,സരഭാരം
स्वीकरण परीक्षण,സ്വീകാര്യത പരിശോധന
अभिगम,പ്രവേശനം
अभिगम बाहु,കൈ
अभिगम व्यवस्था,ആക്സസ് ക്രമീകരണം
अभिगम प्राधिकारक,അതോറിറ്റി ആക്സസ് ചെയ്യുക
अभिगम शुल्क,ആക്സസ് ചാർജ്
अभिगम वर्ग,ആക്സസ് ക്ലാസ്
अभिगम आँकड़ासंचय प्रबंध,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
अभिगम परिवेश,പ്രവേശന അന്തരീക്ഷം
अभिगम अंतराल,വിടവ് ആക്സസ് ചെയ്യുക
अभिगम सूचक,ആക്സസ് സൂചിക
अभिगम लाइन,ആക്സസ് ലൈൻ
अभिगम यांत्रिकत्व,ആക്സസ് സംവിധാനം
अभिगम विधि,ആക്സസ് രീതി
अभिगम विधि नेमका,ആക്സസ് രീതി പതിവ്
अभिगम विधा,ആക്സസ് മോഡ്
अभिगम अधिकार,വലത് ആക്സസ്
अभिगम क्रमवीक्षण,ആക്സസ് സ്കാൻ
अभिगम काल,ആക്സസ് സമയം
लेखा कार्य,അക്കൌണ്ടിംഗ്
लेखाकार्य वित्त तंत्र,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
लेखा यंत्र,അക്ക ing ണ്ടിംഗ് മെഷീൻ
खाता संख्या,അക്കൗണ്ട് നമ്പർ
संचयी पुनरुत्पादक,അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം
संचायक,സഞ്ചിതം
संचायक पंजी,സഞ്ചിത രജിസ്റ്റർ
संचायक विस्थापन अनुदेश,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
परिशुद्धता,കൃതത
परिशुद्धता नियंत्रण संप्रतीक,കൃത്യത നിയന്ത്രണ പ്രതീകം
परिशुद्धता नियंत्रण तंत्र,കൃത്യത നിയന്ത്രണ സംവിധാനം
उत्कृष्ठ मार्गदर्शी,എയ്സ് പൈലറ്റ്
पावती संप्रतीक,പ്രതീകം അംഗീകരിക്കുക
ध्वनिक युग्मक,അക്കോസ്റ്റിക് കപ്ലർ
ध्वनिक युग्मन,അക്കോസ്റ്റിക് കപ്ലിംഗ്
ध्वनिक विलंब लाइन,അക്ക ou സ്റ്റിക് കാലതാമസം
ध्वनिक स्मृति,അക്കോസ്റ്റിക് മെമ്മറി
ध्वनिक मोडेम,അക്കോസ്റ്റിക് മോഡം
ध्वनिक संकेत,അക്കോസ്റ്റിക് സിഗ്നൽ
ध्वनिक भंडारण,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
परिवर्णी शब्द,സംക്ഷേപം
क्रिया,പവര്ത്തി
क्रिया चक्र,പ്രവർത്തന ചക്രം
क्रिया लाइन,ആക്ഷൻ ലൈൻ
क्रिया संदेश,ആക്ഷൻ സന്ദേശം
क्रिया विनिर्देश,പ്രവർത്തന സവിശേഷത
सक्रियण,സജീവമാക്കല്
सक्रिय,സജീവമായ
सक्रिय संचिका,സജീവ ഫയൽ
सक्रिय लाइन,സജീവ ലൈൻ
सक्रिय कड़ी,സജീവ ലിങ്ക്
सक्रिय प्रधान संचिका,സജീവ മാസ്റ്റർ ഫയൽ
सक्रिय प्रधान मद,സജീവ മാസ്റ്റർ ഇനം
सक्रिय उपग्रह,സജീവ ഉപഗ്രഹം
सक्रिय केन्द्र,സജീവ സ്റ്റേഷൻ
सक्रिय भंडारण,സജീവ സംഭരണം
सक्रियता,പ്രവർത്തനം
सक्रियता स्तर,പ്രവർത്തന നില
सक्रियता भारण,പ്രവർത്തന ലോഡിംഗ്
सक्रियता अनुपात,പ്രവർത്തന അനുപാതം
निरपेक्ष पता,യഥാർത്ഥ വിലാസം (= കേവല വിലാസം)
निरपेक्ष कूट,യഥാർത്ഥ കോഡ് (= കേവല കോഡ്)
वास्तविक आँकडा स्थानांतरण दर,യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്
