Assamese,Telugu
ৱেষ্টমিনিষ্টাৰৰ এবে,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
এবডিটৰী,పదవీ విరమణ
দাসত্ব বিলুপ্ত কৰা,బానిసత్వ నిర్మూలన
আদিবাসী,ఆదివాసి
আব্ৰাহাম যুগ,అబ్రహం యుగం
অনুপস্থিত ঘৰৰ মালিক,గైర్హాజరు భూస్వాములు
একাডেমী,అకాడమీ
আক্ৰা সন্মিলন,అక్ర సమావేశం
এক্ৰুৱেল,సంపాదన
সংস্কৃতিকৰণ,సంస్కారము
এচেলডামা,అసెల్డామా
আখিয়ান (=আচিয়ান),అచెయన్ (=అచియన్)
আচায়ান লীগ (=আচিয়ান লীগ),అచీయన్ లీగ్ (=అచియన్ లీగ్)
এক্ৰ&#39;পলিছ,అక్రోపోలిస్
এক্টা ডিউৰ্না,ఆక్టా డియుర్నా
এক্টা চেনেটাছ,ఆక్టా సెనాటస్
এক্টে এডিচনেল,యాక్టే అడిషనల్
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
প্ৰাপ্তিৰ কাৰ্য্য,సాధించేవారి చర్య
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
বন্দোবস্তৰ আইন,సెటిల్మెంట్ చట్టం
এড কন্ট্ৰেক্টাছ ছীল,ప్రకటన ఒప్పంద ముద్ర
এডুলামাইটছ,అడుల్లామైట్స్
বিৰোধী,విరోధి
বিৰোধী,విరోధి
ইয়ন,అయాన్
এৰেৰিয়াম,ఏరోరియం
আকাশী যুদ্ধ,వైమానిక యుద్ధం
এটলিয়ান লীগ,ఏటోలియన్ లీగ్
বয়স,వయస్సు
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),వృద్ధాప్యం (=వృద్ధాప్యం)
