Kannada,English
ಆಸಿಡಾಯ್ಡ್,Acidoid
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,Aeolian soil
ಒಟ್ಟು,Aggregate
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,Aggregation
ಕೃಷಿಶಾಸ್ತ್ರ,Agrology
ಕೃಷಿಶಾಸ್ತ್ರ,Agronomy
ಎ-ಹಾರಿಜಾನ್,A-horizon
Ao-ಹಾರಿಜಾನ್,Ao-horizon 
Aoo-ಹಾರಿಜಾನ್,Aoo-horizon
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,Air capacity of soil
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,Air content of soil
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,Air picnometer
ಆಲಿಟಿಕ್ ಮಣ್ಣು,Allitic soil
ಮೆಕ್ಕಲು ಮಣ್ಣು,Alluvial soil
ಆಂಫೋಲಿಟಾಯ್ಡ್,Ampholytoid
ಅಯಾನ್,Anion
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
ಅರ್ರಿಸ್,Arris
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,Ashlar fine masonry
ಆಶ್ಲರ್ ಕಲ್ಲು,Ashlar masonry
ಅಜೋನಲ್ ಮಣ್ಣು,Azonal soil
ಹಿಂದೆ ನಟ,Back acter 
ಹಿಂದಿನ ಕಮಾನು,Back arch
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,Back band
ಬ್ಯಾಕ್ ಬ್ರಷ್,Back brush
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,Back check
ಹಿಂದಿನ ಕೌಂಟರ್,Back counter
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,Back cutting
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,Back draft damper
ಬ್ಯಾಕ್ ಡ್ರೈನ್,Back drain
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,Back drop
ಹಿಂದೆ ಭರ್ತಿ,Back fill
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,Back fillet
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,Back flap hinge
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,Back flow connection
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,Back flow preventer
ಬ್ಯಾಕ್ ಗೇಜ್,Back gauge 
ಹಿಂಭಾಗದ ಗಟಾರ,Back gutter 
ಹಿಂಬದಿ ಒಲೆ,Back hearth
ಹಿಮ್ಮೇಳ,Backing
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,Backing board
ಬೆನ್ನಿನ ಒತ್ತಡ,Back pressure
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,Back prop
ಹಿಂದಿನ ದೃಷ್ಟಿ,Back sight 
ಹಿಂಬದಿ ನೀರು,Back water
ಅಡ್ಡಿಪಡಿಸು,Baffle
ಬ್ಯಾಗ್ವರ್ಕ್,Bagwork 
ನಿಲುಭಾರ,Ballast
ಬಾಲ್ ಕ್ಲೇ,Ball clay
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,Ball cone clamp
ಮುಳ್ಳುತಂತಿ,Barbed wire
ಬಾರ್ ನಾಯಿ,Bar dog
ಬಾರ್ಜ್ ಬೋರ್ಡ್,Barge board
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,Barium sulphate test
ಬ್ಯಾರೇಜ್,Barrage
ಬ್ಯಾರೆಟ್,Barrett
ಬೇಸ್,Base
ಮೂಲ ವಿನಿಮಯ,Base exchange
ಬೇಸ್ ಲೈನ್,Base line 
ನೆಲಮಾಳಿಗೆ,Basement
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,Basement wall
ಬೇಸ್ ಪ್ಲೇಟ್,Base plate
"ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ","Base plate, adjustable"
ಮೂಲ ಶುದ್ಧತ್ವ,Base saturation
ಬಸಾಯಿಡ್,Basoid
ಬ್ಯಾಟ್,Bat
ಬಾತ್ ಮತ್ತು WC,Bath and W.C.
ಬ್ಯಾಟರ್ ಪೆಗ್,Batter peg
ಬ್ಯಾಟರ್ ಪಿಯರ್,Batter pier
ಬ್ಯಾಟರ್ ನಿಯಮ,Batter rule
ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್),Baulk (balk)
ಕೊಲ್ಲಿ,Bay
ಬೇರರ್,Bearer
ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,Bearing capacity
ಬೇರಿಂಗ್ ಪೈಲ್,Bearing pile
ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್,Bearing stratum
ಹಾಸಿಗೆ,Bed
ಹಾಸಿಗೆ ವಿಮಾನ,Bedding plane
ಬೆಡ್ ಜಂಟಿ,Bed joint
ಬೆಡ್ ರಾಕ್,Bed rock
ಮಲಗುವ ಕೋಣೆ,Bed room
ಜೇನುಮೇಣ,Beeswax
ಬೆಲ್ ಬಾಕ್ಸ್,Bell box
ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್,Belling bucket
ಬೆಲ್ಲೋಫ್ರಾಮ್,Bellofram
ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ,Benched foundation
ಬೆಂಚಿಂಗ್,Benching
ಮಾನದಂಡ,Bench mark
ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,Benefit cost analysis
ಬೆರ್ಮ್,Berm
ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ,Bevelled closure
"ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-","B-horizon,""B-"
ಬಿಯಾಟ್,Biat
ಬೈಂಡರ್,Binder
ಬೈಂಡಿಂಗ್ ವಸ್ತು,Binding material
ಬಯೋಟ್ ಸಿದ್ಧಾಂತ,Biot's theory
ಬಿಟುಮೆನ್,Bitumen
ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು,Black cotton soil
ಕಪ್ಪು ಭೂಮಿ,Black earth 
ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು,Black turf soil
ಬ್ಲೇಡ್,Blade
ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್,Blast furnace slag cement
ಬ್ಲಾಕ್ ರಚನೆ,Blocky structure
ಬೋಗಿ ಪ್ರತಿರೋಧ,Bogie resistance
ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು,Bog-iron ore
ಕರಾರುಪತ್ರ,Bond
ಬಂಧಿತ ಸದಸ್ಯ,Bonded member
