Punjabi,Odiya
ਅਬੇਲੀਅਨ ਸਮੂਹ,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
abscissa,abscissa
ਅਸੀਮ,ସଂପୂର୍ଣ୍ଣ
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
ਪੂਰਨ ਗਲਤੀ,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
ਪੂਰਨ ਅਧਿਕਤਮ,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
ਸਹੀ ਮੁੱਲ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ਪੂਰਨ ਗਤੀ,ସଂପୂର୍ଣ୍ଣ ବେଗ
ਸਾਰ ਅਲਜਬਰਾ,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
ਪ੍ਰਵੇਗ,ତ୍ୱରଣ
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,ଗ୍ରହଣୀୟ ପରିସର |
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,ଗ୍ରହଣୀୟ ନମୁନା
ਸੰਚਿਤ ਗਲਤੀ,ସଂଗୃହିତ ତ୍ରୁଟି |
ਸ਼ੁੱਧਤਾ,ସଠିକତା
ਐਕਟਿੰਗ ਫੋਰਸ,ଅଭିନୟ ଶକ୍ତି
ਕਾਰਵਾਈ,କାର୍ଯ୍ୟ
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
ਅਸਲ ਵਿਗਿਆਨ,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
acyclic,acyclic
ਸ਼ਾਮਲ ਕਰੋ,ଯୋଡନ୍ତୁ |
ਜੋੜਨ ਵਾਲਾ,ଆଡର୍
ਇਸ ਤੋਂ ਇਲਾਵਾ,ଯୋଗ
ਜੋੜ ਫਾਰਮੂਲਾ,ଯୋଗ ସୂତ୍ର
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,ମାଟ୍ରିକ୍ସର ଯୋଗ
ਬਹੁਪਦ ਦਾ ਜੋੜ,ବହୁଭାଷୀ ଯୋଗ |
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
ਵੈਕਟਰ ਦਾ ਜੋੜ,ଭେକ୍ଟର ଯୋଗ
ਵਾਧੂ ਪ੍ਰਮੇਯ,ଯୋଗ ତତ୍ତ୍ୱ
additive ਗਰੁੱਪ,ଯୋଗୀ ଗୋଷ୍ଠୀ |
additive ਉਲਟ,ଯୋଗୀ ଓଲଟା |
additive ਸੰਪਤੀ,ଯୋଗୀ ସମ୍ପତ୍ତି |
additivity,ଯୋଗୀତା |
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
ਨੇੜੇ,ସଂଲଗ୍ନ
ਨੇੜੇ ਦੇ ਕੋਣ,ସଂଲଗ୍ନ କୋଣ
ਨੇੜੇ ਦਾ ਸਿਰਾ,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
ਨਾਲ ਜੁੜੋ,ସଂଲଗ୍ନ
ਨਾਲ ਲੱਗਦੇ,ସଂଲଗ୍ନ
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,ନିର୍ଣ୍ଣୟକାରୀ
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ
ਸੰਜੋਗ ਸਮੀਕਰਨ,ସମୀକରଣ
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,ମାଟ୍ରିକ୍ସର ଯୋଗ
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,ଗ୍ରହଣୀୟ ଅନୁମାନ
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
ਐਰੋਡਾਇਨਾਮਿਕਸ,ଏରୋଡାଇନାମିକ୍ସ |
affine ਜਿਓਮੈਟਰੀ,ଆଫାଇନ୍ ଜ୍ୟାମିତି |
