English,Assamese
Acidoid,এচিড’ইড
Aeolian soil,ইঅ’লিয়ান মাটি
Aggregate,গোট খোৱা
Aggregation,সংগ্ৰহ
Agrology,কৃষি বিজ্ঞান
Agronomy,কৃষি বিজ্ঞান
A-horizon,এ-দিগন্ত
Ao-horizon ,আও-দিগন্ত
Aoo-horizon,আও-দিগন্ত
Air capacity of soil,মাটিৰ বায়ু ক্ষমতা
Air content of soil,মাটিৰ বায়ুৰ পৰিমাণ
Air picnometer,এয়াৰ পিকনোমিটাৰ
Allitic soil,এলিটিক মাটি
Alluvial soil,জলজ মাটি
Ampholytoid,এম্ফোলাইট’ইড
Anion,এনিয়ন
"Apparent specific gravity volume weight or bulk specific gravity,""","আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
Arris,আৰিছ
Ashlar fine masonry,আছলাৰ মিহি শিলৰ কাম
Ashlar masonry,আছলাৰ শিলৰ কাম
Azonal soil,এজ’নেল মাটি
Back acter ,পিঠিৰ অভিনেতা
Back arch,পিছফালৰ খোলা
Back band,বেক বেণ্ড
Back brush,পিছফালৰ ব্ৰাছ
Back check,বেক চেক
Back counter,বেক কাউণ্টাৰ
Back cutting,পিঠি কাটি থকা
Back draft damper,বেক ড্ৰাফ্ট ডেম্পাৰ
Back drain,বেক ড্ৰেইন
Back drop,বেক ড্ৰপ
Back fill,বেক ফিল
Back fillet,পিছফালৰ ফিলেট
Back flap hinge,বেক ফ্লেপ হিঞ্জ
Back flow connection,বেক ফ্ল&#39; সংযোগ
Back flow preventer,বেক ফ্ল’ প্ৰিভেণ্টাৰ
Back gauge ,বেক গেজ
Back gutter ,পিছফালৰ নালা
Back hearth,পিছফালৰ অগ্নিকুণ্ড
Backing,বেকিং
Backing board,বেকিং বৰ্ড
Back pressure,পিঠিৰ চাপ
Back prop,বেক প্ৰপ
Back sight ,পিছফালৰ দৃষ্টি
Back water,পিছফালৰ পানী
Baffle,বেফেল
Bagwork ,বেগৱৰ্ক
Ballast,বেলেষ্ট
Ball clay,বল মাটি
Ball cone clamp,বল কন ক্লেম্প
Barbed wire,কাঁইটীয়া তাঁৰ
Bar dog,বাৰ কুকুৰ
Barge board,বাৰ্জ বৰ্ড
Barium sulphate test,বেৰিয়াম ছালফেট পৰীক্ষা
Barrage,বেৰেজ
Barrett,বেৰেট
Base,ভেঁটি
Base exchange,ভিত্তি বিনিময়
Base line ,ভিত্তি লাইন
Basement,বেছমেণ্ট
Basement wall,বেছমেণ্টৰ দেৱাল
Base plate,বেচ প্লেট
"Base plate, adjustable","বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
Base saturation,ভিত্তি পৰিপূৰকতা
Basoid,বেছ’ইড
Bat,বেট
Bath and W.C.,বাথ আৰু ডব্লিউ চি
Batter peg,বেটাৰ পেগ
Batter pier,বেটাৰ ঘাট
Batter rule,বেটাৰৰ নিয়ম
Baulk (balk),Baulk (বালক)
Bay,উপসাগৰ
Bearer,বাহক
Bearing capacity,বহন ক্ষমতা
Bearing pile,বেয়াৰিং পাইল
Bearing stratum,বহন স্তৰ
Bed,বিছনা
Bedding plane,বিচনাৰ বিমান
Bed joint,বিচনাৰ সংযোগ
Bed rock,বিচনাৰ শিল
Bed room,শোৱনি কোঠা
Beeswax,মৌমাখিৰ মোম
Bell box,বেল বাকচ
Belling bucket,বেলিং বাল্টি
Bellofram,বেলোফ্ৰেম
Benched foundation,বেঞ্চযুক্ত ভেটি
Benching,বেঞ্চিং কৰা
Bench mark,বেঞ্চ মাৰ্ক
Benefit cost analysis,লাভৰ খৰচ বিশ্লেষণ
Berm,বাৰ্ম
Bevelled closure,বেভেলড বন্ধ
"B-horizon,""B-","খ-দিগন্ত,&quot;খ-"
Biat,বিয়াত
Binder,বাইণ্ডাৰ
Binding material,বান্ধি ৰখা সামগ্ৰী
Biot's theory,বায়টৰ তত্ত্ব
Bitumen,বিটুমিন
Black cotton soil,ক’লা কপাহী মাটি
Black earth ,ক&#39;লা পৃথিৱী
Black turf soil,ক’লা টাৰ্ফ মাটি
Blade,ব্লেড
Blast furnace slag cement,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
