Marathi,Punjabi
Uptement,ਪਰੇਸ਼ਾਨੀ
संक्षेप,ਸੰਖੇਪ
अपहरण,ਅਗਵਾ
अबाधित,ਧਾਰਨਾ
क्षमता,ਯੋਗਤਾ
अब इनिशिओ,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
सक्षम,ਯੋਗ
असामान्य,ਅਸਧਾਰਨ
निर्मूलन,ਖਤਮ
रद्दबातल पोस्ट,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
वर दिल्याप्रमाणे,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
वर उद्धृत,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
वरील म्हणाले,ਉਪਰੋਕਤ ਕਿਹਾ
अनुपस्थिती,ਗੈਰਹਾਜ਼ਰੀ
अनुपस्थित,ਗੈਰਹਾਜ਼ਰ
अनुपस्थिति,ਗੈਰਹਾਜ਼ਰ
अनुपस्थित विधान,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
परिपूर्ण,ਅਸੀਮ
परिपूर्ण मक्तेदारी,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
परिपूर्ण मालकी,ਸੰਪੂਰਨ ਮਾਲਕੀ
शोषण,ਸਮਾਈ
गोषवारा,ਸਾਰ
अमूर्त स्टेटमेंट,ਸੰਖੇਪ
बेशुद्ध,ਬੇਹੂਦਾ
विपुलता,ਬਹੁਤਾਤ
शक्तीचा गैरवापर,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
अपमानास्पद भाषा,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
शैक्षणिक,ਅਕਾਦਮਿਕ
शैक्षणिक चर्चा,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
शैक्षणिक रजा,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
शैक्षणिक पात्रता,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
शैक्षणिक नोंद,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
प्रवेश,ਐੱਸ
स्वीकारा,ਸਵੀਕਾਰ ਕਰੋ
स्वीकृती,ਮਨਜ਼ੂਰ
कार्यालय स्वीकारणे,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
निविदा स्वीकारणे,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
प्रवेश,ਪਹੁੰਚ
