Malayalam,Marathi
അജിയോട്ടിക് പുനരുൽപാദനം,अजैविक पुनरुत्पादन
അസാധാരണമായ,अलौकिक
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,1. चौथे पोट 2. इवोमासोम
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,रंध्र वाढीचा अवयव
വളർച്ച മുരടിച്ച വിത്ത്,वाढ खुंटलेले बीज
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,1. अवांछित तण 2. पूर्ण तण
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,शोषलेले केशन
ആഗിരണം,शोषण
അബിസീനിയൻ കടുക്,Abyssinian मोहरी
1. acaricide,1. ऍकेरिसाइड
കേന്ദ്രാഭിമുഖം,केंद्राभिमुख
ആംപ്ലിഫിക്കേഷൻ (സെൽ),प्रवर्धन (सेल)
അനുവദിച്ച സഹിഷ്ണുത,मंजूर सहिष्णुता
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
പൊരുത്തപ്പെടുത്തൽ,रुपांतर
ശേഖരണം,जमा
1. vaccuracy 2. കൃത്യത,1. अचूकता 2. अचूकता
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,1. एसरव्हुलस 2. स्पोरोफाइट
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,1. आम्लीकरण 2. आम्लीकरण
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,1. ऍसिडोमीटर 2. ऍसिडीमीटर
അസിഡിറ്റി,आंबटपणा
അസിഡോഫൈൽ,ऍसिडोफाइल
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,ऍसिडिफाइड रॉक फॉस्फेट
അസിഡിഫൈഡ്,आम्लीकृत
ജലാശയം,जलचर
കൈവശപ്പെടുത്തൽ,संपादन
ഏക്കർ,एकर
1. ഏരിയ 2. ഏരിയ,1. क्षेत्रफळ 2. क्षेत्रफळ
അവസാന പോയിന്റ് ക്രോമസോം,अंतिम बिंदू गुणसूत्र
മുന്നോട്ട് നോക്കുന്ന,पुढे दिसणारा
അക്രോസോം,acrosome
ആക്റ്റിനോമൈസെറ്റുകൾ,actinomycetes
