Kannada,Telugu
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,గర్భస్రావం చేసిన అవయవం
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,గర్భస్రావం చేసిన విత్తనం
ಗರ್ಭಪಾತ,గర్భస్రావం
ಸಂಪೂರ್ಣ ಕಳೆ,సంపూర్ణ కలుపు
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,గ్రహించిన కేషన్
ಹೀರುವಿಕೆ,శోషణ
ಪ್ರಪಾತದ ಸಾಸಿವೆ,అబిస్సినియన్ ఆవాలు
ಉಜ್ಜೆ,అకారిసైడ్
ಉಪನಾಮದ,యాక్సెంట్రిక్
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),ఉచ్ఛారణ (సెల్)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,అంగీకరించబడిన సహనం
ಪರಿಕರ,అనుబంధ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,అలవాటు
ಸಂಗ್ರಹಣೆ,చేరడం
ನಿಖರತೆ,ఖచ్చితత్వం
ಕಸಚೂಕು,అసర్వులస్
ಸಮಗ್ರೀಕರಣ,ఎసిటిఫికేషన్
ಆಮ್ಲೀಕರಣ,ఆమ్లీకరణ
ಆಚಿಮೀಟರ್ ಚೀಟಿ,అసిడిమీటర్
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ఆమ్లత్వం
ಸಿಹಿನೀರಿನ,అసిడోఫిలిక్
ಆಮ್ಲೀಯ,ఆమ్లీకృత రాక్ ఫాస్ఫేట్
ಸಂಚೇಮದ,యాసిడ్యూరిక్
ಜಲಚರಗಳು,జలాశయం
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,సముపార్జన
ಎಕರೆ,ఎకరాలు
ಎಕರೆ,ఎకరాల
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,అక్రోసెంట్రిక్ క్రోమోజోమ్
ಖುಷಿಯ,అక్రోపెటల్
ಸುಣ್ಣ,అక్రోసోమ్
ಅಂಧ,ఆక్టినోమైసెట్స్
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,యాక్టివ్ రూట్ జోన్
ತೀವ್ರ,తీవ్రమైన
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,అనుకూలత
ರೂಪಾಂತರ,అనుసరణ
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,సంశ్లేషణ
ಅಡಿ,కొవ్వు
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,సర్దుబాటు సమీకరణం
ಮಣ್ಣು,అడోబ్ నేల
ವ್ಯಭಿಚಾರಮಾಡುವ,కల్తీ
ಸಾಹಸದ,సాహసోపేతమైనది
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,Aecidiospore
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,అయోలియన్ ప్రక్రియ
ಅಯೋಲಿಯನ್,అయోలియన్
ಗಾಳಿಗೊಡ್ಡು,ఎఫరేట్
ವೈಮಾನಿಕ,ఆకాశయాన
ವಾಯುಮಾಪಕ,ఏరోమీటర్
ವಾಯುಪಾವತಿ,ఏరోసోల్
ಅಸ್ವಸ್ಥತೆ,ఎస్టివేషన్
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),పశ్చాత్తాప విజ్ఞానము
ಸಂಯಮ,అటవీ నిర్మూలన
ಆಂದೋಲನ,ఆందోళన
ಅಣಕೇಡು,అగ్మార్క్
ಕೃಷಿ,వ్యవసాయం
ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ,వ్యవసాయ క్లినిక్
ಕೃಷಿ ದುಡಿಮೆ,వ్యవసాయ శ్రమ
ಕೃಷಿ ಮಾರಾಟ,వ్యవసాయ మార్కెటింగ్
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,వ్యవసాయ సాంకేతిక పరిజ్ఞానం
ಕೃಷಿ,వ్యవసాయం
ಕೃಪಣಸಾಮರಿ,అగ్రిసిల్వికల్చర్
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,అగ్రోబియోడివైవర్సిటీ
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು,అగ్రోబయోలాజికల్ లోపాలు
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ,అగ్రోబయాలజీ
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,అగ్రోక్లిమాటిక్ వైవిధ్యం
ಕೃಷಿ ವಲಯ,అగ్రోక్లిమాటిక్ జోనింగ్
ಕೃಚಾರಕ,అగ్రోఫారెస్ట్రీ
ಕೃಷಿ ಶಾಸ್ತ್ರ,వ్యవసాయ శాస్త్రం
ಕೃಷಿ ವಿಜ್ಞಾನ,వ్యవసాయ శాస్త్రం
ಅಬ್ವಿಶರ,అగ్రోపాస్టోరల్
ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್,అగ్రోప్రాసెసింగ్
Agrostology,అగ్రోస్టాలజీ
ಕೃಪೆ,అగ్రోటైప్
ಗಾಳಿ ಸಸ್ಯ,ఎయిర్ ప్లాంట్
ಅಕೋಚಿ ಮಣ್ಣು,అకియోచి నేల
ಆಲ್ಬೋ,అల్బినిజం
ಆಲ್ಫಿಸೋಲ್ಸ್,ఆల్ఫిసోల్స్
ಪಾಚಿ,ఆల్గే
ಪಾಚಿಯ ಕಾಯಿಲೆ,ఆల్గల్ వ్యాధి
ಕ್ಷಾರ ನೀರು,క్షార నీరు
ಕ್ಷಾರೀಯ,ఆల్కలీన్
ಇಳಿಜಾರು,యుగ్మ వికల్పం
ಆಲಿನೋಕೆಮಿಕಲ್ಸ್,అల్లెలోకెమికల్స్
ಅನನುಕಣ,అల్లెలోమోర్ఫ్
ಅಲಲೋಪತಿ,అల్లెలోపతి
ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್,అల్లే క్రాపింగ్
ನಿಯೋಜಕ,కేటాయింపు
ಅಲೋಗಮಿ,అయోగాగమి
ಮಾಪಕ,అలోమెట్రీ
ಸೂತ್ರ,అల్లోపాలిప్లోయిడ్
ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್),(అలోసిన్సిస్ఐలు
ಪರ್ಯಾಯ ಬೇರಿಂಗ್,ప్రత్యామ్నాయ బేరింగ్
ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ,ప్రత్యామ్నాయ భూ వినియోగం
ಸುತ್ತುವರಿಯುವ,పరిసర
ಅಚಲ,అమేలియోరెంట్
ಅಮೀಟಾಸಿ,అమిటోసిస్
ಕಸಚುಗಾರ,అమినైజేషన్
ಅಮೋನೀಕರಣ,అమ్మోనిఫికేషన్
ಅಮೋನಿಗೆ ಮಾಡುವವ,అమ్మోనిఫైయర్
ಅಬ್ಬರಿಸು,AMORFH
ಉಭಯಮತ್ರ,యాంఫిమిక్సిస్
ಉದ್ದವಾದ,యాంఫోటెరిక్
ಅನಾಬಾಲಿಸಂ,అనాబాలిజం
ಬಯೆರೋಲೆ,Anaerobe
ಅನೆಲಾಯ್ಡ್,అనూప్లోయిడ్
ಕೋನ ನೆಡುವುದು,యాంగిల్ నాటడం
