English,Kannada
Aborted organ,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
Aborted seed,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
Abortion,ಗರ್ಭಪಾತ
Absolute weed,ಸಂಪೂರ್ಣ ಕಳೆ
Absorbed cation,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
Absorption,ಹೀರುವಿಕೆ
Abyssinian mustard,ಪ್ರಪಾತದ ಸಾಸಿವೆ
Acaricide,ಉಜ್ಜೆ
Accentric,ಉಪನಾಮದ
Accentuate (cell),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
Accepted tolerance,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
Accessory,ಪರಿಕರ
Acclimatization,ಒಗ್ಗೂಡಿಸುವಿಕೆ
Accumulation,ಸಂಗ್ರಹಣೆ
Accuracy,ನಿಖರತೆ
Acervulus,ಕಸಚೂಕು
Acetification,ಸಮಗ್ರೀಕರಣ
Acidification,ಆಮ್ಲೀಕರಣ
Acidimeter,ಆಚಿಮೀಟರ್ ಚೀಟಿ
Acidity,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
Acidophilic,ಸಿಹಿನೀರಿನ
Acidulated rock phosphate,ಆಮ್ಲೀಯ
Aciduric,ಸಂಚೇಮದ
Aquifer,ಜಲಚರಗಳು
Acquisition,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
Acre,ಎಕರೆ
Acreage,ಎಕರೆ
Acrocentric chromosome,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
Acropetal,ಖುಷಿಯ
Acrosome,ಸುಣ್ಣ
Actinomycetes,ಅಂಧ
Active root zone,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
Acute,ತೀವ್ರ
Adaptability,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
Adaptation,ರೂಪಾಂತರ
Adhesion,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
Adipose,ಅಡಿ
Adjustment equation,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
Adobe soil,ಮಣ್ಣು
Adulterant,ವ್ಯಭಿಚಾರಮಾಡುವ
Adventitious,ಸಾಹಸದ
Aecidiospore,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
Aeolian process,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
Aeolian,ಅಯೋಲಿಯನ್
Aerate,ಗಾಳಿಗೊಡ್ಡು
Aerial,ವೈಮಾನಿಕ
Aerometer,ವಾಯುಮಾಪಕ
Aerosol,ವಾಯುಪಾವತಿ
Aestivation,ಅಸ್ವಸ್ಥತೆ
Aetiology (etiology),ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
Afforestation,ಸಂಯಮ
Agitation,ಆಂದೋಲನ
Agmark,ಅಣಕೇಡು
Agrarian,ಕೃಷಿ
Agricultural clinic,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
