Tamil,English
குறைப்பு,Abatement
சுருக்கம்,Abbreviation
கடத்தல்,Abduction
நிறுத்துதல்,Abeyance
திறன்,Ability
Ab initio,Ab initio
முடியும்,Able
அசாதாரணமானது,Abnormal
ஒழிப்பு,Abolition
இடுகை ஒழிப்பு,Abolitionof post
மேலே குறிப்பிட்டுள்ள,Above mentioned
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,Above quoted
மேலே கூறினார்,Above said
இல்லாதது,Absence
வராதவர்,Absentee
இல்லாதது,Absenteeism
இல்லாத அறிக்கை,Absentee statement
அறுதி,Absolute
முழுமையான ஏகபோகம்,Absolute monopoly
முழுமையான உரிமை,Absolute ownership
உறிஞ்சுதல்,Absorption
சுருக்கம்,Abstract
சுருக்கம்,Abstractstatement
அபத்தமான,Absurd
ஏராளமாக,Abundance
அதிகார துஷ்பிரயோகம்,Abuse of power
தவறான மொழி,Abusive language
கல்வி,Academic
கல்வி விவாதம்,Academic discussion
கல்வி விடுப்பு,Academic leave
கல்வி தகுதி,Academic qualification
கல்வி சாதனையை,Academic record
ஏற்றுக்கொள்ளுங்கள்,Accede
ஏற்றுக்கொள்,Accept
ஏற்றுக்கொள்ளல்,Acceptance
பதவியை ஏற்றுக்கொள்வது,Acceptance of office
டெண்டரை ஏற்றுக்கொள்வது,Acceptance of tender
அணுகல்,Access
அணுகல்,Accession
துணை,Accessory
விபத்து,Accident
பழக்கவழக்கமயமாக்கல்,Acclimatization
தங்குமிடம்,Accommodation
துணையுடன்,Accompanist
உடன்பாடு,Accord
ஒப்புதல்,Accordance
அதன்படி,Accordingly
கணக்கு,Account
பொறுப்புக்கூறல்,Accountability
பொறுப்பு,Accountable
கணக்கியல்,Accountancy
கணக்காளர்,Accountant
கணக்கு,Account for
கணக்கு தலை,Account head
திரட்டப்பட்ட நன்மை,Accrued benefit
திரட்டப்பட்ட ஓய்வூதியம்,Accrued pension
குவிப்பு,Accumulation
துல்லியம்,Accuracy
துல்லியமானது,Accurate
குற்றம்,Accuse
குற்றம் சாட்டப்பட்டவர்,Accused
சாதனை,Achievement
ஒப்புதல்,Acknowledgement
ஒப்புதல் காரணமாக,Acknowledgement due
அறிமுகம்,Acquaintance
கையகப்படுத்தல்,Acquisition
விடுவித்தல்,Acquittance
நாடகம்,Act
நடிப்பு கொடுப்பனவு,Acting allowance
செயல்,Action
செயல் திட்டம்,Action plan
செயலில்,Active
சுறுசுறுப்பாக,Actively
ஆர்வலர்,Activist
கடவுளின் செயல்,Act of God
தவறான நடத்தை செயல்,Act of misconduct
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,Act of commission and omission
உண்மையான,Actual
உண்மையான,Actuals
தழுவல்,Adaptation
கூடுதலாக,Addition
கூடுதல் கட்டணம்,Additional charge
கூடுதல் நிதி,Additional fund
கூடுதல் மானியம்,Additional grant
கூடுதல் தகவல்,Additional information
கூடுதல் ஊதியம்,Additional pay
கூட்டல் மற்றும் மாற்றம்,Addition and alteration
முகவரி,Address
முகவரி,Addressee
வரவேற்பின் முகவரி,Address of welcome
போதுமானது,Adequate
பின்பற்றவும்,Adhere to
தற்காலிக,Ad hoc
தற்காலிக உரிமைகோரல்,Ad hoc claim
தற்காலிக குழு,Ad hoc committee
தற்காலிக அதிகரிப்பு,Ad hoc increase
தற்காலிக கட்டணம்,Ad hoc payment
அருகில்,Adjacent
அருகிலுள்ள (= தொடர்ச்சியான),Adjoining (=contiguous)
ஒத்திவைப்பு,Adjournment
ஒத்திவைப்பு இயக்கம்,Adjournment motion
தீர்ப்பளிக்கவும்,Adjudge
தீர்ப்பளிக்கவும்,Adjudicate
தீர்ப்பு,Adjudication
தீர்ப்பாளர்,Adjudicator
சரிசெய்தல்,Adjustment
நிர்வாகி,Administer
சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்,Administer oath
நிர்வாகம்,Administration
நீதி நிர்வாகம்,Administration of justice
நிர்வாக,Administrative
நிர்வாக நடவடிக்கை,Administrative action
நிர்வாக மதிப்பீடு,Administrative appraisal
நிர்வாக ஒப்புதல்,Administrative approval
நிர்வாக அதிகாரம்,Administrative authority
நிர்வாக கட்டுப்பாடு,Administrative control
நிர்வாக முடிவு,Administrative decision
நிர்வாகத் துறை,Administrative department
நிர்வாகத் தலைவர்,Administrative head
நிர்வாக தலைமையகம்,Administrative headquarters
நிர்வாக நடவடிக்கைகள்,Administrative measures
நிர்வாக சக்தி,Administrative power
நிர்வாக அனுமதி,Administrative sanction
நிர்வாக நுட்பம்,Administrative technique
நிர்வாக தீர்ப்பாயம்,Administrative tribunal
ஒப்புதல்,Admissibility
ஏற்றுக்கொள்ளக்கூடிய செலவு,Admissible expenditure
அனுமதிக்கவும்,Admit
அட்டை சேர்க்கவும்,Admit card
ஒப்புக்கொள்ளப்பட்டது,Admitted
அறிவுறுத்துங்கள்,Admonish
தத்தெடுப்பவர்,Adoptee
தத்தெடுப்பவர்,Adoptor
தத்தெடுப்பு,Adoption
வயது வந்தோர்,Adult
கலப்படம்,Adulteration
