Marathi,Telugu
गर्भपात केलेला अवयव,గర్భస్రావం చేసిన అవయవం
गर्भपात बियाणे,గర్భస్రావం చేసిన విత్తనం
गर्भपात,గర్భస్రావం
परिपूर्ण तण,సంపూర్ణ కలుపు
शोषून घेतलेले केशन,గ్రహించిన కేషన్
शोषण,శోషణ
अ‍ॅबिसिनियन मोहरी,అబిస్సినియన్ ఆవాలు
एकरिसाइड,అకారిసైడ్
उच्चारण,యాక్సెంట్రిక్
उच्चारण (सेल),ఉచ్ఛారణ (సెల్)
स्वीकारलेले सहिष्णुता,అంగీకరించబడిన సహనం
Ory क्सेसरी,అనుబంధ
सहनशीलता,అలవాటు
संचय,చేరడం
अचूकता,ఖచ్చితత్వం
अ‍ॅसर्व्हुलस,అసర్వులస్
एसीटिफिकेशन,ఎసిటిఫికేషన్
आम्लता,ఆమ్లీకరణ
अ‍ॅसिडिमीटर,అసిడిమీటర్
आंबटपणा,ఆమ్లత్వం
अ‍ॅसिडोफिलिक,అసిడోఫిలిక్
अ‍ॅसिड्युलेटेड रॉक फॉस्फेट,ఆమ్లీకృత రాక్ ఫాస్ఫేట్
अ‍ॅसिड्यूरिक,యాసిడ్యూరిక్
जलचर,జలాశయం
संपादन,సముపార్జన
एकर,ఎకరాలు
एकर क्षेत्र,ఎకరాల
अ‍ॅक्रोसेन्ट्रिक गुणसूत्र,అక్రోసెంట్రిక్ క్రోమోజోమ్
अ‍ॅक्रोपेटल,అక్రోపెటల్
अ‍ॅक्रोसोम,అక్రోసోమ్
अ‍ॅक्टिनोमाइसेट्स,ఆక్టినోమైసెట్స్
सक्रिय रूट झोन,యాక్టివ్ రూట్ జోన్
तीव्र,తీవ్రమైన
अनुकूलता,అనుకూలత
रुपांतर,అనుసరణ
आसंजन,సంశ్లేషణ
Ip डिपोज,కొవ్వు
समायोजन समीकरण,సర్దుబాటు సమీకరణం
अ‍ॅडोब माती,అడోబ్ నేల
व्यभिचारी,కల్తీ
साहसी,సాహసోపేతమైనది
एसीडिओस्पोर,Aecidiospore
आयओलियन प्रक्रिया,అయోలియన్ ప్రక్రియ
आयओलियन,అయోలియన్
वायुवीजन,ఎఫరేట్
हवाई,ఆకాశయాన
एरोमीटर,ఏరోమీటర్
एरोसोल,ఏరోసోల్
एस्टिवेशन,ఎస్టివేషన్
एटिओलॉजी (एटिओलॉजी),పశ్చాత్తాప విజ్ఞానము
वनीकरण,అటవీ నిర్మూలన
आंदोलन,ఆందోళన
अ‍ॅगमार्क,అగ్మార్క్
कृषी,వ్యవసాయం
कृषी क्लिनिक,వ్యవసాయ క్లినిక్
कृषी कामगार,వ్యవసాయ శ్రమ
कृषी विपणन,వ్యవసాయ మార్కెటింగ్
कृषी तंत्रज्ञान,వ్యవసాయ సాంకేతిక పరిజ్ఞానం
शेती,వ్యవసాయం
कृषी सांस्कृतिक,అగ్రిసిల్వికల్చర్
अ‍ॅग्रोबायोडिव्हर्सिटी,అగ్రోబియోడివైవర్సిటీ
अ‍ॅग्रोबायोलॉजिकल दोष,అగ్రోబయోలాజికల్ లోపాలు
कृषीशास्त्र,అగ్రోబయాలజీ
अ‍ॅग्रोक्लिमॅटिक विविधता,అగ్రోక్లిమాటిక్ వైవిధ్యం
अ‍ॅग्रोक्लिमॅटिक झोनिंग,అగ్రోక్లిమాటిక్ జోనింగ్
अ‍ॅग्रोफोरेस्ट्री,అగ్రోఫారెస్ట్రీ
कृषीशास्त्र,వ్యవసాయ శాస్త్రం
अ‍ॅग्रोनॉमी,వ్యవసాయ శాస్త్రం
अ‍ॅग्रोपास्टोरल,అగ్రోపాస్టోరల్
अ‍ॅग्रोप्रोसेसिंग,అగ్రోప్రాసెసింగ్
अ‍ॅग्रोस्टोलॉजी,అగ్రోస్టాలజీ
अ‍ॅग्रोटाइप,అగ్రోటైప్
एअर प्लांट,ఎయిర్ ప్లాంట్
अकिओची माती,అకియోచి నేల
अल्बिनिझम,అల్బినిజం
अल्फिसोल,ఆల్ఫిసోల్స్
एकपेशीय वनस्पती,ఆల్గే
अल्गल रोग,ఆల్గల్ వ్యాధి
अल्कली पाणी,క్షార నీరు
अल्कधर्मी,ఆల్కలీన్
अ‍ॅलेल,యుగ్మ వికల్పం
Lel लोकेमिकल्स,అల్లెలోకెమికల్స్
Lel लोमॉर्फ,అల్లెలోమోర్ఫ్
Lel लेलोपॅथी,అల్లెలోపతి
गल्ली पीक,అల్లే క్రాపింగ్
वाटप,కేటాయింపు
