Kannada,Assamese
ಆಸಿಡಾಯ್ಡ್,এচিড’ইড
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,ইঅ’লিয়ান মাটি
ಒಟ್ಟು,গোট খোৱা
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,সংগ্ৰহ
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষি বিজ্ঞান
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষি বিজ্ঞান
ಎ-ಹಾರಿಜಾನ್,এ-দিগন্ত
Ao-ಹಾರಿಜಾನ್,আও-দিগন্ত
Aoo-ಹಾರಿಜಾನ್,আও-দিগন্ত
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,মাটিৰ বায়ু ক্ষমতা
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,মাটিৰ বায়ুৰ পৰিমাণ
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,এয়াৰ পিকনোমিটাৰ
ಆಲಿಟಿಕ್ ಮಣ್ಣು,এলিটিক মাটি
ಮೆಕ್ಕಲು ಮಣ್ಣು,জলজ মাটি
ಆಂಫೋಲಿಟಾಯ್ಡ್,এম্ফোলাইট’ইড
ಅಯಾನ್,এনিয়ন
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
ಅರ್ರಿಸ್,আৰিছ
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,আছলাৰ মিহি শিলৰ কাম
ಆಶ್ಲರ್ ಕಲ್ಲು,আছলাৰ শিলৰ কাম
ಅಜೋನಲ್ ಮಣ್ಣು,এজ’নেল মাটি
ಹಿಂದೆ ನಟ,পিঠিৰ অভিনেতা
ಹಿಂದಿನ ಕಮಾನು,পিছফালৰ খোলা
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,বেক বেণ্ড
ಬ್ಯಾಕ್ ಬ್ರಷ್,পিছফালৰ ব্ৰাছ
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,বেক চেক
ಹಿಂದಿನ ಕೌಂಟರ್,বেক কাউণ্টাৰ
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,পিঠি কাটি থকা
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,বেক ড্ৰাফ্ট ডেম্পাৰ
ಬ್ಯಾಕ್ ಡ್ರೈನ್,বেক ড্ৰেইন
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,বেক ড্ৰপ
ಹಿಂದೆ ಭರ್ತಿ,বেক ফিল
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,পিছফালৰ ফিলেট
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,বেক ফ্লেপ হিঞ্জ
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,বেক ফ্ল&#39; সংযোগ
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,বেক ফ্ল’ প্ৰিভেণ্টাৰ
ಬ್ಯಾಕ್ ಗೇಜ್,বেক গেজ
ಹಿಂಭಾಗದ ಗಟಾರ,পিছফালৰ নালা
ಹಿಂಬದಿ ಒಲೆ,পিছফালৰ অগ্নিকুণ্ড
ಹಿಮ್ಮೇಳ,বেকিং
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,বেকিং বৰ্ড
ಬೆನ್ನಿನ ಒತ್ತಡ,পিঠিৰ চাপ
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,বেক প্ৰপ
ಹಿಂದಿನ ದೃಷ್ಟಿ,পিছফালৰ দৃষ্টি
ಹಿಂಬದಿ ನೀರು,পিছফালৰ পানী
ಅಡ್ಡಿಪಡಿಸು,বেফেল
ಬ್ಯಾಗ್ವರ್ಕ್,বেগৱৰ্ক
ನಿಲುಭಾರ,বেলেষ্ট
ಬಾಲ್ ಕ್ಲೇ,বল মাটি
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,বল কন ক্লেম্প
ಮುಳ್ಳುತಂತಿ,কাঁইটীয়া তাঁৰ
ಬಾರ್ ನಾಯಿ,বাৰ কুকুৰ
ಬಾರ್ಜ್ ಬೋರ್ಡ್,বাৰ্জ বৰ্ড
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,বেৰিয়াম ছালফেট পৰীক্ষা
ಬ್ಯಾರೇಜ್,বেৰেজ
ಬ್ಯಾರೆಟ್,বেৰেট
ಬೇಸ್,ভেঁটি
ಮೂಲ ವಿನಿಮಯ,ভিত্তি বিনিময়
ಬೇಸ್ ಲೈನ್,ভিত্তি লাইন
ನೆಲಮಾಳಿಗೆ,বেছমেণ্ট
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,বেছমেণ্টৰ দেৱাল
ಬೇಸ್ ಪ್ಲೇಟ್,বেচ প্লেট
"ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ","বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
ಮೂಲ ಶುದ್ಧತ್ವ,ভিত্তি পৰিপূৰকতা
ಬಸಾಯಿಡ್,বেছ’ইড
ಬ್ಯಾಟ್,বেট
ಬಾತ್ ಮತ್ತು WC,বাথ আৰু ডব্লিউ চি
ಬ್ಯಾಟರ್ ಪೆಗ್,বেটাৰ পেগ
ಬ್ಯಾಟರ್ ಪಿಯರ್,বেটাৰ ঘাট
ಬ್ಯಾಟರ್ ನಿಯಮ,বেটাৰৰ নিয়ম
ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್),Baulk (বালক)
ಕೊಲ್ಲಿ,উপসাগৰ
ಬೇರರ್,বাহক
ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,বহন ক্ষমতা
ಬೇರಿಂಗ್ ಪೈಲ್,বেয়াৰিং পাইল
ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್,বহন স্তৰ
ಹಾಸಿಗೆ,বিছনা
ಹಾಸಿಗೆ ವಿಮಾನ,বিচনাৰ বিমান
ಬೆಡ್ ಜಂಟಿ,বিচনাৰ সংযোগ
