Tamil,Assamese
அபெலியன் குழு,এবেলিয়ান গোট
அபிலியன் அரைகுழு,abelian অৰ্ধগোট
abscissa,abscissa
அறுதி,নিৰপেক্ষ
முழுமையான ஒருங்கிணைப்பு,নিৰপেক্ষ অভিসৰণ
முழுமையான பிழை,নিৰপেক্ষ ভুল
முழுமையான அதிகபட்சம்,নিৰপেক্ষ সৰ্বোচ্চ
முழுமையான குறைந்தபட்சம்,নিৰপেক্ষ নূন্যতম
துல்லியமான மதிப்பு,নিৰপেক্ষ মূল্য
முழுமையான வேகம்,নিৰপেক্ষ বেগ
சுருக்க இயற்கணிதம்,বিমূৰ্ত বীজগণিত
சுருக்க குழு கோட்பாடு,বিমূৰ্ত গোট তত্ত্ব
முடுக்கம்,বেগ বৃদ্ধি
புவியீர்ப்பு காரணமாக முடுக்கம்,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,গ্ৰহণযোগ্য পছন্দৰ ছেট
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,গ্ৰহণযোগ্য পৰিসৰ
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
திரட்டப்பட்ட பிழை,সঞ্চিত ভুল
துல்லியம்,শুদ্ধতা
செயல்படும் சக்தி,ক্ৰিয়াশীল শক্তি
நடவடிக்கை,কাৰ্য কৰা
செயல் மற்றும் எதிர்வினை,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
உண்மையான அறிவியல்,কৃষি বিজ্ঞান
கடுமையான கோண முக்கோணம்,তীব্ৰ কোণীয়া ত্ৰিভুজ
அசைக்ளிக்,অচক্ৰীয়
கூட்டு,যোগ কৰা
சேர்ப்பான்,adder
கூடுதலாக,যোগ
கூட்டல் சூத்திரம்,যোগ সূত্ৰ
சிக்கலான எண்களைச் சேர்த்தல்,জটিল সংখ্যাৰ সংযোজন
செயல்பாடுகளைச் சேர்த்தல்,ফলনসমূহৰ সংযোজন
மெட்ரிக்குகள் சேர்த்தல்,মেট্ৰিক্সৰ সংযোজন
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,বহুপদ যোগ কৰা
நிகழ்தகவுகளைச் சேர்த்தல்,সম্ভাৱনাৰ সংযোজন
திசையன்கள் சேர்த்தல்,ভেক্টৰৰ সংযোজন
கூட்டல் தேற்றம்,যোগ উপপাদ্য
சேர்க்கை குழு,যোগকৰণ গোট
தலைகீழ் சேர்க்கை,যোগকৰণৰ বিপৰীত
சேர்க்கை சொத்து,যোগসূত্ৰৰ বৈশিষ্ট্য
சேர்க்கை,যোগকৰণ
அருகாமை அணி,সংলগ্নতা মেট্ৰিক্স
அருகில்,পাৰ্শ্বৱৰ্তী
அருகில் உள்ள கோணங்கள்,কাষৰীয়া কোণ
அருகில் உள்ள உச்சி,কাষৰীয়া শিখৰ
இணை,adjoin
அருகில்,সংলগ্ন
இணைந்த தீர்மானிப்பான்,সংযুক্ত নিৰ্ণায়ক
இணை வேறுபாடு சமன்பாடு,সংযুক্ত অৱভেদ্য সমীকৰণ
இணைந்த சமன்பாடு,সংযুক্ত সমীকৰণ
இணை அணி,সংলগ্ন মেট্ৰিক্স
மேட்ரிக்ஸின் இணைப்பு,মেট্ৰিক্সৰ সংযুক্ত
adjugate matrix,এডজুগেট মেট্ৰিক্স
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,গ্ৰহণযোগ্য অনুমান
காற்றியக்க விசை,বায়ুগতিবিদ্যা বল
காற்றியக்கவியல்,বায়ুগতিবিদ্যা
இணைப்பு வடிவியல்,affine জ্যামিতি
இணைப்பு மேப்பிங்,affine মেপিং
இணைப்பு மாற்றம்,affine ৰূপান্তৰ
ஒருங்கிணைக்கும் மாறிகள்,চলকসমূহ একত্ৰিত কৰা
இயற்கணிதம்,বীজগণিত
இயற்கணிதப்படி மூடப்பட்டது,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
இயற்கணித சமன்பாடு,বীজগণিতীয় সমীকৰণ
இயற்கணித வெளிப்பாடு,বীজগণিতীয় প্ৰকাশ
இயற்கணித வடிவம்,বীজগণিতীয় ৰূপ
இயற்கணித செயல்பாடு,বীজগণিতীয় ফলন
இயற்கணித வடிவியல்,বীজগণিতীয় জ্যামিতি
இயற்கணிதப் பெருக்கம்,বীজগণিতীয় বহুগুণতা
இயற்கணித அமைப்பு,বীজগণিতীয় ব্যৱস্থা
அனைத்து முழு எண் பிரச்சனை,সকলো-পূৰ্ণসংখ্যা সমস্যা
ஒதுக்கீடு பிரச்சனை,আবণ্টনৰ সমস্যা
அகரவரிசைக் குறியீடு,বৰ্ণানুক্ৰমিক সংকেত
அகரவரிசை எழுத்து,বৰ্ণানুক্ৰমিক আখৰ
மாற்று கோணம்,বিকল্প কোণ
மாற்று வடிவம்,বিকল্প ৰূপ
மாற்று குழு,বিকল্প গোট
மாற்று அணி,বিকল্প মেট্ৰিক্স
மாற்று தொடர்,বিকল্প শৃংখলা
மாற்று கருதுகோள்,বিকল্প অনুমান
மாற்று ஆப்டிமா,বিকল্প optima
மாற்று விளைவு,বিকল্প ফলাফল
அனலாக்-டு-டிஜிட்டல் மாற்றி,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
அனலாக் கணினி,এনালগ কম্পিউটাৰ
பகுப்பாய்வு,বিশ্লেষণ
இணையான பகுப்பாய்வு,সহাৱস্থানৰ বিশ্লেষণ
கணக்கியல் தரவு பகுப்பாய்வு,গণনা তথ্যৰ বিশ্লেষণ
மாறுபாட்டின் பகுப்பாய்வு,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
பகுப்பாய்வு வடிவியல்,বিশ্লেষণাত্মক জ্যামিতি
பகுப்பாய்வு செயல்பாடு,বিশ্লেষণাত্মক কাৰ্য্য
கோணம்,কোণ
தொடர்பு கோணம்,সংস্পৰ্শৰ কোণ
விலகல் கோணம்,বিচ্যুতিৰ কোণ
மனச்சோர்வின் கோணம்,বিষণ্ণতাৰ কোণ
விலகல் கோணம்,বিচ্যুতিৰ কোণ
விலகல் கோணம்,বিবৰ্তনৰ কোণ
உயரத்தின் கோணம்,উচ্চতাৰ কোণ
நிகழ்வு கோணம்,প্ৰাদুৰ্ভাৱৰ কোণ
திட்ட கோணம்,প্ৰক্ষেপণৰ কোণ
பிரதிபலிப்பு கோணம்,প্ৰতিফলনৰ কোণ
ஒளிவிலகல் கோணம்,বিবৰ্তনৰ কোণ
சுழற்சி கோணம்,ঘূৰ্ণনৰ কোণ
மொத்த பிரதிபலிப்பு கோணம்,মুঠ প্ৰতিফলনৰ কোণ
கோண முடுக்கம்,কৌণিক ত্বৰণ
கோண இயக்கம்,কৌণিক গতি
கோண வேகம்,কৌণিক গতি
கோண வேகம்,কৌণিক বেগ
வளையம்,annulus
பதில்,উত্তৰ
எதிர்ப்பு வழித்தோன்றல்,এন্টি – ডেৰাইভেটিভ
சமச்சீரற்ற செயல்பாடு,এন্টিচিমেট্ৰিক ফাংচন
பொருந்தும்,প্ৰযোজ্য
விண்ணப்பம்,দৰ্খাস্ত
பயன்பாட்டு டைனமிக் நிரலாக்கம்,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
பயன்படுத்தப்படும் வடிவியல்,প্ৰয়োগ কৰা জ্যামিতি
பயன்பாட்டு கணிதம்,প্ৰয়োগ কৰা গণিত
பயன்பாட்டு புள்ளிவிவரங்கள்,প্ৰয়োগ কৰা পৰিসংখ্যা
தோராயமாக,অনুমানিক
தோராயமாக தொடர்ச்சியான செயல்பாடு,প্ৰায় অবিৰত ফলন
தோராயமான முறை,আনুমানিক পদ্ধতি
தோராயமான தீர்வு,আনুমানিক সমাধান
தோராயமான பிரச்சனை,আনুমানিক সমস্যা
தோராயமான சொத்து,আনুমানিক বৈশিষ্ট্য
திறன் சோதனை பேட்டரி,aptitude পৰীক্ষাৰ বেটাৰী
