Kannada,Marathi
ಅಬ್ಯಾಕಸ್,अॅबॅकस
ಅಸಹಜ ಮುಕ್ತಾಯ,असामान्य समाप्ती
ಸ್ಥಗಿತಗೊಳಿಸು,गर्भपात
ಸಂಪೂರ್ಣ,निरपेक्ष
ಸಂಪೂರ್ಣ ವಿಳಾಸ,परिपूर्ण पत्ता
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष संबोधन
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,परिपूर्ण असेंबलर
ಸಂಪೂರ್ಣ ಕೋಡ್,परिपूर्ण कोड
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,निरपेक्ष आज्ञा
ಸಂಪೂರ್ಣ ಡೇಟಾ,परिपूर्ण डेटा
ಸಂಪೂರ್ಣ ಸೂಚನೆ,परिपूर्ण सूचना
ಸಂಪೂರ್ಣ ಮೋಡ್,परिपूर्ण मोड
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,परिपूर्ण मार्ग
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,परिपूर्ण प्रोग्रामिंग
ಅಮೂರ್ತ ವರ್ಗ,अमूर्त वर्ग
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,अमूर्त डेटा प्रकार
ಅಮೂರ್ತ ಯಂತ್ರ,अमूर्त मशीन
ಅಮೂರ್ತ ಚಿಹ್ನೆ,अमूर्त चिन्ह
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,अमूर्त वाक्यरचना
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृती चाचणी
ಪ್ರವೇಶ ದೃಢೀಕರಣ,प्रवेश प्रमाणीकरण
ಪ್ರವೇಶ ಕೋಡ್,प्रवेश कोड
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,प्रवेश नियंत्रण
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,प्रवेश स्कॅन
ಪರಿಕರ,ऍक्सेसरी
ಖಾತೆ,खाते
ಖಾತೆ ID,खाते आयडी
ಸಂಚಯಕ,संचयक
ನಿಖರತೆ,अचूकता
ಪ್ರವೇಶ,प्रवेश
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,ऍक्सेस कंट्रोल बाइट
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,प्रवेश निर्देशांक
ಪ್ರವೇಶ ಕೀ,प्रवेश की
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ऍक्सेस मॅट्रिक्स
ಪ್ರವೇಶ ಮೋಡ್,प्रवेश मोड
ಪ್ರವೇಶ ಸವಲತ್ತು,प्रवेश विशेषाधिकार
ಪ್ರವೇಶ ಭದ್ರತೆ,प्रवेश सुरक्षा
ಪ್ರವೇಶ ಸರ್ವರ್,ऍक्सेस सर्व्हर
ಪ್ರವೇಶ ಸಮಯ,प्रवेश वेळ
ಸ್ವೀಕೃತಿ,पोचपावती
ಅಕೌಸ್ಟಿಕ್ಸ್,ध्वनीशास्त्र
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,परिवर्णी शब्द
ಕ್ರಿಯೆಯ ಸಂದೇಶ,क्रिया संदेश
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,सक्रियकरण
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),सक्रिय सर्व्हर पृष्ठ (एएसपी)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,सक्रिय आवृत्ती
ಅಸೈಕ್ಲಿಕ್,अॅसायक्लिक
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,अॅसायक्लिक आलेख
ಅದಾ ಭಾಷೆ,अडा भाषा
ಅಡಾಪ್ಟರ್,अडॅप्टर
ಸೇರಿಸಿ,जोडा
ಕಡತವನ್ನು ಸೇರಿಸು,फाइल जोडा
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,ऑपरेशन जोडा
ಸೇರಿಸುವವನು,जोडणारा
ವಿಳಾಸ,पत्ता
ವಿಳಾಸ ಬಸ್,पत्ता बस
ವಿಳಾಸ ಫೈಲ್,पत्ता फाइल
ವಿಳಾಸ ಸ್ವರೂಪ,पत्त्याचे स्वरूप
ವಿಳಾಸ ಜನರೇಟರ್,पत्ता जनरेटर
ವಿಳಾಸ ಸಾಲು,पत्ता ओळ
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,पत्ता मॅपिंग
ವಿಳಾಸ ಪಾಯಿಂಟರ್,पत्ता सूचक
ವಿಳಾಸ ನೋಂದಣಿ,पत्ता नोंदवही
ವಿಳಾಸ ನಿರ್ಣಯ,पत्ता ठराव
ವಿಳಾಸ ಅನುವಾದ,पत्ता अनुवाद
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,संबोधित मेमरी
ಉದ್ದೇಶಿಸಿ,संबोधित करणे
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,पर्याप्तता निकष
ಪಕ್ಕದ,संलग्न
ಆಡಳಿತ,प्रशासन
ನಿರ್ವಾಹಕ,प्रशासक
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,adobe acrobat
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,अडोब फोटोशाॅप
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,प्रगत डेटा
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,प्रगत माहिती प्रणाली
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),प्रगत तंत्रज्ञान (AT)
ಏಜೆಂಟ್,एजंट
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,एकत्रीकरण
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,एअरबोर्न संगणक प्रणाली
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus पृष्ठ निर्माता
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,इशारा बॉक्स
ಆಲ್ಗೋಲ್,अल्गोल
ಅಲ್ಗಾರಿದಮ್,अल्गोरिदम
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,अल्गोरिदम विश्लेषण
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,अल्गोरिदम कार्यक्षमता
ಅಲಿಯಾಸ್,उर्फ
ಜೋಡಣೆ,संरेखन
ಹಂಚಿಕೆ,वाटप
ವರ್ಣಮಾಲೆಯ,वर्णमाला
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,अल्फान्यूमेरिक
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,अल्फान्यूमेरिक की बोर्ड
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,अल्फा-चाचणी
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,अल्फा आवृत्ती
ಆಲ್ಟ್ ಕೀ,alt की
ಅಲ್ಟಾವಿಸ್ತಾ,altavista
ಅಸ್ಪಷ್ಟತೆ,अस्पष्टता
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,अस्पष्ट व्याकरण
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),अमेरिकन राष्ट्रीय मानक संस्था (ANSI)
ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII),अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII)
ಅನಲಾಗ್,अॅनालॉग
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,अॅनालॉग संगणक
ಅನಲಾಗ್ ಸಾಧನ,अॅनालॉग डिव्हाइस
ಅನಲಾಗ್ ಮೋಡೆಮ್,अॅनालॉग मॉडेम
ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC),अॅनालॉग ते डिजिटल कनव्हर्टर (ADC)
ಮತ್ತು,आणि
ಮತ್ತು ಸರ್ಕ್ಯೂಟ್,आणि सर्किट
ಮತ್ತು ಗೇಟ್,आणि गेट
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),आणि ऑपरेशन नाही (अपवर्जन)
ಅನಿಮೇಷನ್,अॅनिमेशन
ಟಿಪ್ಪಣಿ,भाष्य
ಅಸಂಗತತೆ,विसंगती
ಪೂರ್ವಭಾವಿ,पूर्ववर्ती
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,आगाऊ पेजिंग
ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ,विरोधी सममित
ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ,अँटीव्हायरस प्रोग्राम
ಆಪ್ಲೆಟ್,ऍपलेट
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,अनुप्रयोग विकासक
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,अनुप्रयोग प्रोग्रामिंग
ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API),ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)
ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್,अनुप्रयोग सॉफ्टवेअर
ಅನ್ವಯಿಕ ಭಾಷೆ,उपयोजक भाषा
ಅಂದಾಜು ಸಿದ್ಧಾಂತ,अंदाजे सिद्धांत
ವಾಸ್ತುಶಿಲ್ಪ,आर्किटेक्चर
ಪ್ರದೇಶ ವರ್ಗಾವಣೆ,क्षेत्र हस्तांतरण
ವಾದ,युक्तिवाद
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ,अंकगणित आणि तर्कशास्त्र एकक
ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ,अंकगणित तपासणी
ಅಂಕಗಣಿತ ಸ್ಥಿರ,अंकगणित स्थिरांक
ಅಂಕಗಣಿತದ ಡೇಟಾ,अंकगणित डेटा
ಅಂಕಗಣಿತದ ಸೂಚನೆ,अंकगणित सूचना
ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU),अंकगणित आणि तर्कशास्त्र एकक (ALU)
ಅರ್ಪಾನೆಟ್,अर्पानेट
ಶ್ರೇಣಿ,रचना
ರಚನೆಯ ಸಂಗ್ರಹ,अॅरे कॅशे
ಅರೇ ಕಂಪ್ಯೂಟರ್,अॅरे संगणक
ರಚನೆಯ ಅಂಶ,अॅरे घटक
ರಚನೆಯ ಹೆಸರು,अॅरे नाव
ರಚನೆಯ ಪ್ರೊಸೆಸರ್,अॅरे प्रोसेसर
ಬಾಣದ ಕೀಲಿಗಳು,बाण दर्शक बटणे
ಉಚ್ಚಾರಣೆ,उच्चार
ಉಚ್ಚಾರಣಾ ಬಿಂದು,उच्चार बिंदू
ಕೃತಕ ಸಂಕೋಚನ,कृत्रिम कॉम्पॅक्शन
ಕೃತಕ ನಿಯಂತ್ರಣ,कृत्रिम नियंत्रण
ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ,कृत्रिम बुद्धिमत्ता
ಆರೋಹಣ,चढणारा
ಆರೋಹಣ ರೀತಿಯ,चढत्या क्रमवारी
ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್,ASCII बेटिकल ऑर्डर
ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ,ASCII नियंत्रण वर्ण
ASCII ಫೈಲ್,ASCII फाइल
ASCII ಫಾಂಟ್,ASCII फॉन्ट
ASCII ವರ್ಗಾವಣೆ,ASCII हस्तांतरण
ಆಕಾರ ಅನುಪಾತ,प्रसर गुणोत्तर
ASPI,एएसपीआय
ASR ಟೈಮರ್,ASR टाइमर
ಜೋಡಿಸು,एकत्र करणे
ಅಸೆಂಬ್ಲರ್,असेंबलर
ಸಭೆ,विधानसभा
ಅಸೆಂಬ್ಲಿ ಭಾಷೆ,विधानसभा भाषा
ಪ್ರತಿಪಾದನೆ,प्रतिपादन
