Malayalam,Assamese
എ.സി തുല്യമായ സർക്യൂട്ട്,এ চি সমতুল্য বৰ্তনী
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,এনালগ টু সংখ্যাগত ৰূপান্তৰক
കേവല പൂജ്യം,নিৰপেক্ষ শূন্য
ആഗിരണം ഗുണകം,শোষণ সহগ
ആഗിരണം സ്പെക്ട്രം,শোষণ বৰ্ণালী
റിസപ്റ്റർ ആറ്റം,ৰিচেপ্টৰ পৰমাণু
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
ഇലക്ട്രോൺ വിളവെടുപ്പ്,ইলেক্ট্ৰন সংগ্ৰহ কৰা
ദ്വാര സംഭരണം,ফুটা সংৰক্ষণ
സജീവമാക്കൽ ഊർജ്ജം,সক্ৰিয়কৰণ শক্তি
സജീവ ആംപ്ലിഫയർ,সক্ৰিয় পৰিবৰ্ধক
സജീവ ഡയോഡ് സർക്യൂട്ട്,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
സജീവ ഫിൽട്ടർ,সক্ৰিয় ফিল্টাৰ
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
സജീവ ലോഡ്,সক্ৰিয় লোড
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
സജീവമായ പ്രദേശം,সক্ৰিয় অঞ্চল
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,অভিযোজিত ইলেক্ট্ৰনিক্স
ചേർക്കുന്നയാൾ,adder
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,এডজাষ্টেবল বেণ্ড এক্সটেনচন
നുഴഞ്ഞുകയറ്റം,ভেদ
ഏരിയൽ,এৰিয়েল
പെപ് ആവൃത്തി,pep কম্পাঙ্ক
എയർ കണ്ടീഷണർ,এয়াৰ কণ্ডিচনাৰ
വിന്യാസം,প্ৰান্তিককৰণ
അൽഗോരിതം,এলগৰিদম
എല്ലാ പാസ് ഫിൽട്ടറും,সকলো পাছ ফিল্টাৰ
അലോയ് ജംഗ്ഷൻ,মিশ্ৰণ সংযোগ
ശോഷണം,ক্ষীণকৰণ
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,বিকল্প বিদ্যুৎ প্ৰবাহ
അന്തരീക്ഷ ഊഷ്മാവ്,পৰিৱেশৰ উষ্ণতা
ബൈപോളാർ,বাইপোলাৰ
ആംപ്ലിഫിക്കേഷൻ,এম্প্লিফিকেশন
ആംപ്ലിഫയർ,এম্প্লিফায়াৰ
ആംപ്ലിഫയർ കാര്യക്ഷമത,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
അളവുകൾ,মাত্ৰাসমূহ
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,প্ৰসাৰণ ক্ষীণকৰণ
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,প্ৰসাৰণ মডুলেটেড AM দোলক
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,প্ৰসাৰণ মডুলেচন
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,প্ৰসাৰণ মডুলেটৰ
angstrom യൂണിറ്റ്,angstrom একক
അനലോഗ് സർക്യൂട്ട്,এনালগ বৰ্তনী
അനലോഗ് കമ്പ്യൂട്ടർ,এনালগ কম্পিউটাৰ
അനലോഗ് ഫിൽട്ടർ,এনালগ ফিল্টাৰ
അനലോഗ് മൾട്ടിമീറ്റർ,এনালগ মাল্টিমিটাৰ
അനലോഗ് സ്വിച്ച്,এনালগ চুইচ
ഒപ്പം ഗേറ്റും,AND গেট
കോണീയ ആവൃത്തി,কৌণিক কম্পাঙ্ক
"അയോൺ, അയോൺ","এনিয়ন, এনিয়ন"
അനീലിംഗ് താപനില,এনিয়েলিং উষ্ণতা
ആനോഡ്,এনোড
ആനോഡ് ആംപ്ലിഫയർ,এনোড এম্প্লিফায়াৰ
അനോഡൈൻ,এনোডাইন
ആന്റിന,এন্টেনা
ആന്റിന ഘടകം,এন্টেনা উপাদান
ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
ആന്റിലോഗിൻ ആംപ്ലിഫയർ,এন্টিলগিন এম্প্লিফায়াৰ
antiresonant സർക്യൂട്ട്,এন্টিৰেজোনেণ্ট চাৰ্কিট
