Kannada,Bengali
ಅಬೆಲಿಯನ್ ಗುಂಪು,আবেলিয়ান গ্রুপ
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,আবেলিয়ান সেমিগ্রুপ
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,পরম
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,পরম মিলন
ಸಂಪೂರ್ಣ ದೋಷ,পরম ত্রুটি
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,পরম সর্বোচ্চ
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,পরম সর্বনিম্ন
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,পরম মান
ಸಂಪೂರ್ಣ ವೇಗ,পরম বেগ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,বিমূর্ত বীজগণিত
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,বিমূর্ত গ্রুপ তত্ত্ব
ವೇಗವರ್ಧನೆ,ত্বরণ
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,গ্রহণযোগ্য পছন্দ সেট
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,গ্রহণযোগ্য মানের স্তর
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,গ্রহণযোগ্য পরিসীমা
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,গ্রহণযোগ্য নমুনা
ಸಂಚಿತ ದೋಷ,সঞ্চিত ত্রুটি
ನಿಖರತೆ,সঠিকতা
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,অভিনয় শক্তি
ಕ್ರಮ,কর্ম
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,কর্ম এবং প্রতিক্রিয়া
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,বাস্তব বিজ্ঞান
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,তীব্র কোণযুক্ত ত্রিভুজ
ಅಸೈಕ್ಲಿಕ್,অ্যাসাইক্লিক
ಸೇರಿಸಿ,যোগ করুন
ಸೇರಿಸುವವನು,যোগকারী
ಜೊತೆಗೆ,সংযোজন
ಸೇರ್ಪಡೆ ಸೂತ್ರ,সংযোজন সূত্র
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,জটিল সংখ্যার সংযোজন
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,ফাংশন সংযোজন
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,ম্যাট্রিক্সের সংযোজন
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,বহুপদ সংযোজন
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,সম্ভাবনার সংযোজন
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,ভেক্টর সংযোজন
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,সংযোজন উপপাদ্য
ಸಂಯೋಜಕ ಗುಂಪು,সংযোজনকারী গ্রুপ
ಸಂಯೋಜಕ ವಿಲೋಮ,সংযোজন বিপরীত
ಸಂಯೋಜಕ ಆಸ್ತಿ,সংযোজক সম্পত্তি
ಸಂಕಲನ,সংযোজন
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,অন্তিক ম্যাট্রিক্স
ಪಕ್ಕದ,সংলগ্ন
ಪಕ್ಕದ ಕೋನಗಳು,সন্নিহিত কোণ
ಪಕ್ಕದ ಶೃಂಗ,সংলগ্ন শীর্ষবিন্দু
ಹೊಂದು,সংলগ্ন
ಪಕ್ಕದ,সংলগ্ন
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,সংলগ্ন নির্ধারক
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,সংলগ্ন সমীকরণ
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সংলগ্ন ম্যাট্রিক্স
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,ম্যাট্রিক্সের সংলগ্ন
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,গ্রহণযোগ্য অনুমান
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,এরোডাইনামিক বল
