Gujarati,English
ગર્ભપાત,Abort
ગર્ભપાત સમય,Abort timer
અબાધિત સંબોધન,Absolute address
પૂર્ણ સંબોધન,Absolute addressing
સંપૂર્ણ સંમેલન,Absolute assembler
પૂર્ણ સંહિતા,Absolute code
પૂર્ણ સંહિતા,Absolute coding
પૂર્ણ આદેશ,Absolute command
સંપૂર્ણ સંકલન,Absolute coordinate
અબાધિત આંકડા,Absolute data
નિરપેક્ષ ભૂલ,Absolute error
પૂર્ણ અભિવ્યક્તિ,Absolute expression
અબાધિત સૂચના,Absolute instruction
અબાધિત લોડર,Absolute loader
સંપૂર્ણ,Absolute order
પૂર્ણ કાર્યક્રમ,Absolute programming
અબાધિત મુદત,Absolute term
અબાધિત મૂલ્ય,Absolute value
અબાધિત વેક્ટર,Absolute vector
નિષ્ક્રિય,Abstract
યોગ્યતા,Abstracting
સાર -સારાંશ,Abstract symbol
પ્રવેગશ ગાળો,Acceleration period
પ્રવેગકોનો સમય,Acceleration time
ઉચ્ચારણ,Accent
સ્વીકૃતિ કસોટી,Acceptance test
પ્રવેશ,Access
પ્રવેશ હાથ,Access arm
પ્રવેશ -વ્યવસ્થા,Access arrangement
પ્રવેશ સત્તાવાર,Access authority
પ્રવેશ -ખર્ચ,Access charge
પ્રવેશ -વર્ગ,Access class
પ્રવેશ -આધાર વ્યવસ્થાપન,Access data base management
પર્યાવરણ,Access environment
પ્રવેશ અંતર,Access gap
પ્રવેશ -સૂચિ,Access index
પ્રવેશ -રેખા,Access line
પ્રવેશ -પદ્ધતિ,Access mechanism
પ્રવેશ પદ્ધતિ,Access method
પ્રવેશ -પદ્ધતિ,Access method routine
પ્રવેશ -પદ્ધતિ,Access mode
પ્રવેશ -હક,Access right
પ્રવેશ -સ્કેન,Access scan
પ્રવેશ સમય,Access time
નામું,Accounting
હિસાબ -પદ્ધતિ પદ્ધતિ,Accounting finance system
હિસાબ -વ્યવસ્થા,Accounting machine
ખાતા નંબર,Account number
સંચયી પ્રજનનકર્તા,Accumulating reproducer
એકઠા કરનાર,Accumulator
સંચિત રજિસ્ટર,Accumulator register
સંચય -પાળી સૂચના,Accumulator shift instruction
ચોકસાઈ,Accuracy
ચોકસાઈ નિયંત્રણ,Accuracy control character
ચોકસાઈ નિયંત્રણ પદ્ધતિ,Accuracy control system
પાસાનો પાસાનો પો,Ace pilot
પાત્ર સ્વીકારવું,Acknowledge character
ધ્વનિકર્તા,Acoustic coupler
ધ્વનિ -જોડાણ,Acoustic coupling
ધ્વનિ વિલંબ રેખા,Acoustic delay line
ધ્વનિમૂર્તિ,Acoustic memory
ધ્વનિ -મોડેમ,Acoustic modem
ધ્વનિ સંકેત,Acoustic signal
ધ્વનિ સંગ્રહ,Acoustic storage
ટૂંકાક્ષર,Acronym
ક્રિયા,Action
કાર્ય -ચક્ર,Action cycle
ક્રિયા -રેખ,Action line
ક્રિયા,Action message
કાર્ય -સ્પષ્ટીકરણ,Action specification
સક્રિય,Activation
સક્રિય,Active
સક્રિય ફાઈલ,Active file
સક્રિય રેખા,Active line
સક્રિય કડી,Active link
સક્રિય માસ્ટર ફાઇલ,Active master file
સક્રિય મુખ્ય વસ્તુ,Active master item
સક્રિય ઉપગ્રહ,Active satellite
સક્રિય કેન્દ્ર,Active station
સક્રિય સંગ્રહ,Active storage
પ્રવૃત્તિ,Activity
પ્રવૃત્તિ સ્તરે,Activity level
પ્રવૃત્તિ લોડિંગ,Activity loading
પ્રવૃત્તિ ગુણોત્તર,Activity ratio
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),Actual address (=absolute address)
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),Actual code (=absolute code)
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,Actual data transfer rate
વાસ્તવિક દશાંશ બિંદુ,Actual decimal point
વાસ્તવિક સૂચના (= અસરકારક સૂચના),Actual instruction (=effective instruction)
ખરેખર ચા,Actual key
વાસ્તવિક સમય,Actual time
વાસ્તવિક કામનો સમય,Actual work time
કાર્યકારી સંકેત,Actuating signal
અનુકૂલનક્ષમતા,Adaptability
અનુકૂલન,Adapter
અનુકૂલનશીલ ચેનલ ફાળવણી,Adaptive channel allocation
અનુકૂલનશીલ એકીકરણ,Adaptive integration
અનુકૂલનશીલ બરાબરી,Adaptive transversal equalizer
ઉમેરાયેલ નોંધ,Added entry
પરિવર્તન,Addend
પ્રહાર,Adder
ઉપદેશક,Adder subtracter
ફાઇલ ઉમેરો,Add file
વધારાના પાત્ર (= વિશેષ પાત્ર),Additional character (= special character)
વધારાની રેકોર્ડર,Addition recorder
વધારાનો કોઠો,Addition table
ઉમેરણ લક્ષણ,Additive attribute
મોડમાં ઉમેરો,Add mode
કામગીરી ઉમેરો,Add operation
સંબોધન,Address
સરનામા -માપદંડ,Addressability measure
સરનામું આડી સ્થિતિ,Addressable horizontal position
સંબોધન - બિંદુ,Addressable point
પ્રતિયોગી સ્થિતિ,Addressable position
સરનામું રજિસ્ટર,Addressable register
પ્રત્યુત્તરપાત્ર સંગ્રહ,Addressable storage
સરનાક verભી સ્થિતિ,Addressable vertical position
સરનાવ બસ,Address bus
સરનામું,Address code
સરખામણી કરનાર,Address comparator
સરનામું,Address computation
નિવારણ,Address constant
ધર્મપરિવર્તન,Address conversion
માહિતી,Address data
