Punjabi,Hindi
abacus,"1.एबेकस ,2. गिनतारा"
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,असामान्य समापन
ਅਧੂਰਾ ਛੱਡੋ,अवरोधन
ਅਸੀਮ,"1. निरपेक्ष ,2. परम"
ਪੂਰਾ ਪਤਾ,निरपेक्ष पता
ਪੂਰਨ ਸੰਬੋਧਨ,निरपेक्ष पताभिगमन
ਪੂਰਨ ਅਸੈਂਬਲਰ,निरपेक्ष कोडांतरक
ਪੂਰਨ ਕੋਡ,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
ਪੂਰਨ ਹੁਕਮ,निरपेक्ष समादेश
ਪੂਰਨ ਡਾਟਾ,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
ਪੂਰਨ ਹਿਦਾਇਤ,निरपेक्ष अनुदेश
ਪੂਰਨ ਮੋਡ,निरपेक्ष विधा
ਪੂਰਨ ਮਾਰਗ,निरपेक्ष पथ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,अमूर्त वर्ग
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,अमूर्त आंकड़ा प्रकार
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,अमूर्त मशीन
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,अमूर्त प्रतीक
ਸੰਖੇਪ ਸੰਟੈਕਸ,अमूर्त वाक्य विन्यास
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,स्वीकृति परीक्षण
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,अभिगम प्रमाणन
ਐਕਸੈਸ ਕੋਡ,"1. अभिगम कूट ,2. अभिगम कोड"
ਪਹੁੰਚ ਕੰਟਰੋਲ,अभिगम नियंत्रण
ਐਕਸੈਸ ਸਕੈਨ,अभिगम क्रमवीक्षण
ਸਹਾਇਕ,सहयंत्र
ਖਾਤਾ,लेखा
ਖਾਤਾ ID,"1. एकाउंट आई डी ,2. लेखा पहचान"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,संचायक
ਸ਼ੁੱਧਤਾ,"1. विशुद्धता ,2. यर्थाथता"
ਪਹੁੰਚ,अभिगम
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,अभिगम नियंत्रण बाइट
ਐਕਸੈਸ ਇੰਡੈਕਸ,अभिगम सूचक
ਪਹੁੰਚ ਕੁੰਜੀ,अभिगम कुंजी
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
ਪਹੁੰਚ ਮੋਡ,अभिगम विधा
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,अभिगम विशेषाधिकार
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,अभिगम सुरक्षा
ਪਹੁੰਚ ਸਰਵਰ,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,अभिगम काल
ਮਾਨਤਾ,अभिस्वीकृति
ਧੁਨੀ ਵਿਗਿਆਨ,ध्वनिकी
ਸੰਖੇਪ ਸ਼ਬਦ,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,क्रिया संदेश
ਸਰਗਰਮੀ,सक्रियण
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),सक्रिय सर्वर पृष्ठ
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,सक्रिय वर्जन
acyclic,अचक्रीय
acyclic ਗ੍ਰਾਫ਼,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
ਅਦਾ ਭਾਸ਼ਾ,एडा कंप्यूटर भाषा
ਅਡਾਪਟਰ,"1. अनुकूलक ,2. अनुकूलित्र"
ਸ਼ਾਮਲ ਕਰੋ,योग (करना)
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,योग संचिका
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,"1. जोड़ संक्रिया ,2. योग संक्रिया"
ਜੋੜਨ ਵਾਲਾ,योजक
ਪਤਾ,पता
ਪਤਾ ਬੱਸ,पता बस
ਐਡਰੈੱਸ ਫਾਈਲ,पता संचिका
ਪਤਾ ਫਾਰਮੈਟ,पता आरूप
ਪਤਾ ਜਨਰੇਟਰ,पता जनक
ਐਡਰੈੱਸ ਲਾਈਨ,पता पंक्ति
