Marathi,Gujarati
अजैविक पुनरुत्पादन,અજૈવિક પ્રજનન
अलौकिक,પેરાનોર્મલ
1. चौथे पोट 2. इवोमासोम,1. ચોથું પેટ 2. Evomasome
रंध्र वाढीचा अवयव,સ્ટોમેટલ વૃદ્ધિ અંગ
वाढ खुंटलेले बीज,રૂંધાયેલ વૃદ્ધિ બીજ
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર
1. अवांछित तण 2. पूर्ण तण,1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ
शोषलेले केशन,શોષિત કેશન
शोषण,શોષણ
Abyssinian मोहरी,એબિસિનિયન મસ્ટર્ડ
1. ऍकेरिसाइड,1. એકેરિસાઇડ
केंद्राभिमुख,કેન્દ્રબિંદુ
प्रवर्धन (सेल),એમ્પ્લીફિકેશન (કોષ)
मंजूर सहिष्णुता,મંજૂર સહનશીલતા
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1. વધારાની 2. સહાયક 3. સહાયક
रुपांतर,અનુકૂલન
जमा,સંચય
1. अचूकता 2. अचूकता,1. શુષ્કતા 2. ચોકસાઇ
1. एसरव्हुलस 2. स्पोरोफाइट,1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન
1. आम्लीकरण 2. आम्लीकरण,1. એસિડીકરણ 2. એસિડીકરણ
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. એસિડિમીટર 2. એસિડિમીટર
आंबटपणा,એસિડિટી
ऍसिडोफाइल,એસિડોફાઇલ
ऍसिडिफाइड रॉक फॉस्फेट,એસિડિફાઇડ રોક ફોસ્ફેટ
आम्लीकृत,એસિડિફાઇડ
जलचर,જલભર
संपादन,સંપાદન
एकर,એકર
1. क्षेत्रफळ 2. क्षेत्रफळ,1. વિસ્તાર 2. વિસ્તાર
अंतिम बिंदू गुणसूत्र,અંતિમ બિંદુ રંગસૂત્ર
पुढे दिसणारा,આગળ દેખાતું
acrosome,એક્રોસમ
actinomycetes,એક્ટિનોમીસેટ્સ
सक्रिय कोर,સક્રિય કોર
1. उग्र 2. तीव्र,1. ગુસ્સે 2. તીવ્ર
अनुकूलता,અનુકૂલનક્ષમતા
सानुकूलन,કસ્ટમાઇઝેશન
1. आसंजन 2. आसंजन,1. સંલગ્નતા 2. સંલગ્નતા
सेबेशियस,સેબેસીયસ
समायोजन समीकरण,ગોઠવણ સમીકરણ
adobe माती,એડોબ માટી
भेसळ करणारा,ભેળસેળ કરનાર
एक्टोपिक,એક્ટોપિક
Isidiospore Isidium बीजाणू,ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ
वायुगतिकीय प्रक्रिया,એરોડાયનેમિક પ્રક્રિયા
वेंट्रल,વેન્ટ્રલ
वायुवीजन करणे,વાયુયુક્ત કરવું
1. हवा 2. आकाशी,1. હવા 2. આકાશી
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,1. એરોમીટર 2. એરોમીટર 3. એરોમીટર
एरोसोल,એરોસોલ
1. फुलणे 2. उन्हाळी सुप्तता,1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા
रोग विज्ञान,રોગનું વિજ્ઞાન
वनीकरण,વનીકરણ
1. आंदोलन 2. अशांतता,1. આંદોલન 2. અશાંતિ
Agmark,એગમાર્ક
1. जमिनीशी संबंधित 2. कृषी,1. જમીન સંબંધિત 2. કૃષિ
कृषी चिकित्सालय,કૃષિ ક્લિનિક
1. शेतमजूर 2. शेतमजूर,1. ખેત મજૂરી 2. ખેત મજૂરી
कृषी विपणन,કૃષિ માર્કેટિંગ
कृषी तंत्रज्ञान,કૃષિ ટેકનોલોજી
1. शेती 2. शेती 3. कृषी विज्ञान,1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન
कृषी वनीकरण,કૃષિ વનસંવર્ધન
कृषी जैवविविधता,કૃષિ જૈવવિવિધતા
कृषी सेंद्रिय दोष,કૃષિ કાર્બનિક ખામીઓ
कृषी जीवशास्त्र,કૃષિ જીવવિજ્ઞાન
कृषी-हवामान विविधता,કૃષિ-આબોહવાની વિવિધતા
कृषी हवामान क्षेत्र निर्मिती,એગ્રોક્લાઇમેટિક ઝોનની રચના
कृषी वनीकरण,કૃષિ વનીકરણ
कृषीशास्त्र,કૃષિ વિજ્ઞાન
कृषीविषयक,કૃષિવિજ્ઞાન
कृषी खेडूत,કૃષિ પશુપાલન
पीक प्रक्रिया,પાક પ્રક્રિયા
गवत विज्ञान,ઘાસ વિજ્ઞાન
पीक प्रकार,પાકનો પ્રકાર
epiphyte,એપિફાઇટ
aikiochi माती,aikiochi માટી
रंगाधळेपण,રંગ અંધત્વ
अल्फिसोल,આલ્ફીસોલ
एकपेशीय वनस्पती,શેવાળ
एकपेशीय वनस्पती रोग,શેવાળ રોગ
अल्कली पाणी,આલ્કલી પાણી
अल्कधर्मी,આલ્કલાઇન
पर्यायी,વૈકલ્પિક
allelo रसायनशास्त्र,એલેલો રસાયણશાસ્ત્ર
एलील,એલીલ
ऍलेलोपॅथी,એલોપથી
वेठी पीक,વેથી પાક
पूर्णता,પૂર્ણતા
गर्भाधान,ગર્ભાધાન
1. सापेक्षता 2. अॅलोमेट्री,1. સાપેક્ષતા 2. એલોમેટ્રી
मल्टिप्लॉइडी,મલ્ટીપ્લોઇડી
1. पॅराझिगोसिटी,1. પેરાઝીગોસિટી
1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य,1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય
पर्यायी जमिनीचा वापर,વૈકલ્પિક જમીનનો ઉપયોગ
वातावरण,પર્યાવરણ
सुधारक,સુધારક
मायटोसिस,મિટોસિસ
आमीनान,આમીન
अमोनियन,એમોનિયન
amniferous,એમ્નિફરસ
1. अप्रभावी रूप 2. अरुपी,1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી
उभयचर मिश्रण,ઉભયજીવી મિશ્રણ
एम्फोटेरिक,એમ્ફોટેરિક
साठा करणे,સંગ્રહ
1. ऍनेरोबिक 2. ऍनेरोबिक जीव,1. એનારોબિક 2. એનારોબિક સજીવો
हॅप्लॉइड,હેપ્લોઇડ
टोकदार लागवड,કોણીય વાવેતર
पशुसंवर्धन,પશુપાલન
प्राण्यांचे मलमूत्र,પ્રાણીના મળમૂત્ર
जिवंत ऊर्जा,જીવંત ઊર્જા
विसंगत,વિસંગત
एक वर्ष जुनी वनस्पती,એક વર્ષ જૂનો છોડ
वार्षिक,વાર્ષિક
1. परमानंद 2. तेज,1. પરમાનંદ 2. ઉજાસ
ऍन्थ्रॅक्स,એન્થ્રેક્સ
मानववंशजन्य घटक,એન્થ્રોપોજેનિક પરિબળો
जगणे,અસ્તિત્વ
1. प्रतिजैविक 2. प्रतिजैविक,1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક
तिरस्करणीय,પ્રતિકૂળ
अँटिऑक्सिडंट,એન્ટીઑકિસડન્ટ
अँटीटॉक्सिन,એન્ટિટોક્સિન
अनामिका,રિંગ આંગળી
1. ऍफिड 2. महू 3. चेपा,1. એફિડ 2. મહુ 3. ચેપા
शीर्ष अंकुर,ટોચની કળી
शिखर प्रभावीता,ટોચની અસરકારકતા
मधमाशी पालन,મધમાખી ઉછેર
लैंगिकता,અજાતીયતા
apoptosis,એપોપ્ટોસિસ
परिशिष्ट,પરિશિષ્ટ
भूक वाढवणारे,ભૂખ લગાડનાર
लागू,લાગુ
जलीय तण,જળચર નીંદણ
1. झाड 2. वृक्षवासी,1. વૃક્ષ 2. વૃક્ષ નિવાસી
शाखा,શાખાઓ
प्रोटोबोटॅनिकल रेकॉर्ड,પ્રોટોબોટનિકલ રેકોર્ડ્સ
झोन क्रमांक,ઝોન નંબર
1. क्षेत्रफळ 2. क्षेत्रफळ,1. વિસ્તાર 2. વિસ્તાર
कोरडे इकोसिस्टम,શુષ્ક ઇકોસિસ્ટમ
cotyledon,કોટિલેડોન
सौरभ,સૌરભ
सुगंधी वनस्पती,સુગંધિત છોડ
सुवासिक तांदूळ,સુગંધિત ચોખા
इक्षु पुष्पन,ઇક્ષુ પુષ્પન
ऍसेप्टिक,એસેપ્ટિક
1. ऍसेप्टिक 2. ऍसेप्टिक,1. એસેપ્ટિક 2. એસેપ્ટિક
अलैंगिक पुनरुत्पादन,અજાતીય પ્રજનન
आकार,કદ
मालमत्ता,સંપત્તિ
1. आत्मसात करणे 2. आत्मसात करणे,1. એસિમિલેશન 2. એસિમિલેશન
1. संघटना 2. संघटना,1. એસોસિએશન 2. એસોસિએશન
1. स्तंभ 2. तुरटपणा,1. કૉલમ 2. અસ્પષ્ટતા
heterozygosity,હેટરોઝાયગોસિટી
1. पूर्वज 2. Atavism,1. પૂર્વજ 2. એટાવિઝમ
कण,કણ
1. पुष्टीकरण 2. कमजोरी,1. પુષ્ટિ 2. ક્ષતિ
स्वत: ची जोडणी,સ્વ જોડી
ऑटोलिसिस,ઓટોલિસિસ
1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण,1. સ્વયંસ્ફુરિત ઓક્સિડેશન 2. સ્વયંસ્ફુરિત ઓક્સિડેશન
स्वत: मल्टिप्लेक्स,સ્વ મલ્ટિપ્લેક્સ્ડ
ऑक्सिन,ઓક્સિન
1. हादरले 2. टॉड,1. હચમચી 2. દેડકો
दंडात्मक व्हायरस,દંડ વાયરસ
1. बॅसिलस 2. बॅसिलस,1. બેસિલસ 2. બેસિલસ
1. जीवाणू 2. जीवाणू,1. બેક્ટેરિયા 2. બેક્ટેરિયા
जिवाणू विष,બેક્ટેરિયલ ઝેર
बॅगासे,બગાસ
ताळेबंद,સરવૈયા
संतुलित खतांचा वापर,સંતુલિત ખાતરનો ઉપયોગ
