Assamese,Hindi
অজৈৱিক প্ৰজনন,अजीवात् जनन
অস্বাভাৱিক,अपसामान्य
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. चतुर्थ आमाशय 2. ऐवोमैसम
ষ্টোমেটাল বৃদ্ধিৰ অংগ,रुद्ध-वृद्धि अंग
স্তব্ধ বৃদ্ধিৰ বীজ,रुद्ध वृद्धि बीज
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. अवांछित अपतृण 2. पूर्ण खरपतवार
শোষিত কেটিয়ন,अवशोषित धनायन
শোষণ,अवशोषण
এবিচিনিয়ান সৰিয়হ,ऐबिसिनी सरसों
১.একেৰিচাইড,1.एकेरेसनाशी 2. चिचड़ीनाशी
centripetal,अकेंद्री
বৃদ্ধি (কোষ),प्रवर्धन (कोशिका)
অনুমোদিত সহনশীলতা,स्वीकृत सह्यता
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1.अतिरिक्त 2. सहायक 3. गौण
অভিযোজন,पर्यनुकूलन
সঞ্চয়,संचय
1.vaccuracy 2. নিখুঁততা,1.vयथार्थता 2. परिशुद्धता
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. एसर्वुलस 2. बीजाणुपात्र
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
১.এচিডিকৰণ ২.এচিডিকৰণ,1. अम्लीकरण 2. अम्लन
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1.अम्लतामापी 2. एसिडीमीटर
এচিডিটি,अम्लता
এচিডোফাইল,अम्लरागी
এচিডিফাইড ৰক ফছফেট,अम्लीकृत रॉक फॉस्फेट
এচিডিফাইড,अम्लसह
জলধাৰা,जलभृत
অধিগ্ৰহণ,अधिग्रहण
একৰ,एकड़
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1.क्षेत्रफल 2. रकबा
শেষ বিন্দু ক্ৰম’জম,उपांत बिंदु क्रोमोसोम
আগলৈ চাই থকা,अग्राभिसारी
acrosome,ऐक्रोसोम
actinomycetes,एक्टिनोमाइसिटीज
সক্ৰিয় কোৰ,सक्रिय मूलक्षेत्र
1. উত্তেজিত 2. তীব্ৰ,1.उग्र 2. तीव्र
অভিযোজন ক্ষমতা,अनुकूलनशीलता
কাষ্টমাইজেচন,अनुकूलन
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. आसंजन 2. अभिलाग
তৈলাক্ত,वसामय
সমন্বয় সমীকৰণ,समायोजन समीकरण
এডোব মাটি,ऐडोब मृदा
ব্যভিচাৰী,अपमिश्रक
এক্ট&#39;পিক,अपस्थानिक
Isidiospore Isidium বিজাণু,इसीडियोस्पोर इसीडियम बीजाणु
বায়ুগতিশীল প্ৰক্ৰিয়া,वातोढ़ प्रक्रिया
ventral,वातोढ़
বায়ুমণ্ডলীয় কৰা,वातन करना
১.বায়ু ২.আকাশী,1. वायव 2. आकाशी
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
এৰ&#39;ছল,ऐरोसोल
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
ৰোগৰ বিজ্ঞান,रोग हेतु विज्ञान
বনানীকৰণ,वनरोपण
১.আন্দোলন ২.অস্থিৰতা,1. विलोडन 2. प्रक्षोभन
আগমাৰ্ক,ऐगमार्क
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. भूमि संबंधी 2. कृषि संबंधी
কৃষি ক্লিনিক,कृषि निदानालय
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. कृषि श्रम 2. खेतिहर मजदूर
কৃষি বিপণন,कृषि विपणन
কৃষি প্ৰযুক্তি,कृषि प्रद्योगिकी
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
কৃষি বনজ,कृषि वनवर्धन
কৃষি জৈৱ বৈচিত্ৰ্য,कृषि जैविक विविधता
কৃষি জৈৱিক দোষ,कृषि जैविक दोष
কৃষি জীৱবিজ্ঞান,कृषि जैविकी
কৃষি-জলবায়ু বৈচিত্ৰ্য,कृषि जलवायुवीय विविधता
কৃষি জলবায়ু মণ্ডল সৃষ্টি,कृषिजलवायुवीय जोन निर्माण
কৃষি বনানীকৰণ,कृषिवानिकी
কৃষি বিজ্ঞান,सस्य मृदा विज्ञान
কৃষিভিত্তিক,सस्य विज्ञान
কৃষি পশুপালন,कृषि पशुचारणिक
শস্য প্ৰক্ৰিয়াকৰণ,फसल प्रसंस्करण
ঘাঁহ বিজ্ঞান,घास विज्ञान
শস্যৰ প্ৰকাৰ,सस्य प्ररूप
এপিফাইট,अधिपादप
আইকিওচি মাটি,ऐकिओची मृदा
ৰঙৰ অন্ধতা,वर्णकहीनता
আলফিছল,एल्फिसॉल
শেলাই,शैवाल
শেলাইৰ ৰোগ,शैवाल रोग
ক্ষাৰকীয় পানী,क्षार जल
ক্ষাৰকীয়,क्षारीय
বিকল্প,विकल्पी
allelo ৰসায়ন বিজ্ঞান,एलीलो रसायन
এলিল,युग्मविकल्पी
এলেল&#39;পেথী,एलीलोपैथी
ভেঠী শস্য,वीथी सस्यन
consummation,परनिषेक-फलता
নিষেচন কৰা,परनिषेचन
১.আপেক্ষিকতা ২.এলোমেট্ৰি,1. सापेक्षमिति 2. ऐलोमैट्री
multiploidy,परबहुगुणित
১/ পেৰাজাইগোচিটি,1. परयुग्मन 2. अपायुग्लन
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,1. एकातंर वर्ष फलन 2. एकांतरित फलन
বিকল্প ভূমি ব্যৱহাৰ,वैकल्पिक भूमि उपयोग
পৰিৱেশ,परिवेश
সংস্কাৰক,सुधारक
মাইট’ছিছ,असूत्रीविभाजन
আমিনন,ऐमीनन
এমোনিয়ন,अमोनियन
amniferous,अमोनीकारक
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,1.अप्रभावी रूप  2.अरूपी
উভচৰ মিশ্ৰণ,उभय मिश्रण
এম্ফোটেৰিক,उभयधर्मी
ষ্টকপাইলিং,उपचय
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,1. अवायुजीव 2. अनाक्सी जीव
হেপ্লয়ড,असुगुणित
কৌণিক ৰোপণ,कोणीय रोपण
পশুপালন,पशुपालन
পশুৰ মল-মূত্ৰ,पशु उच्छिष्ट
জীৱন্ত শক্তি,सजीव ऊर्जा
অস্বাভাৱিক,असमगुणित
এবছৰীয়া উদ্ভিদ,एकवर्षीय पादप
বছেৰেকীয়া,वार्षिक
1. আনন্দ 2. উজ্জ্বলতা,1. परागोद्भव 2. प्रफुल्लन
এন্থ্ৰেক্স,ऐन्थ्रेक्स
মানৱজনিত কাৰকসমূহ,मानवजनिक कारक
জীয়াই থকা,प्रतिजीविता
১/ এন্টিবায়টিক ২। এন্টিবায়টিক,1.प्रतिजैविक2.  ऐन्टीबायोटिक
repulsive,प्रतिकारक
এন্টিঅক্সিডেন্ট,प्रतिऑक्सीकारक
এন্টিটক্সিন,प्रतिआविष
ৰিং ফিংগাৰ,वलयिका
১.এফিড ২.মহু ৩.চেপা,1. ऐफिड 2. माहू 3. चेपा
শীৰ্ষ কলি,शीर्ष कलिका
শীৰ্ষ ফলপ্ৰসূতা,शिखाग्र प्रभाविता
মৌমাখি ৰখা,मधुमक्खी पालन
অযৌনতা,असंगजनन
এপ&#39;প্টোছিছ,एपोप्टोसिस
appendages,उपांग
appetizer,क्षुधावर्धक
প্ৰয়োগ কৰা হৈছে,अनुप्रयुक्त
জলজ অপতৃণ,जलीय खरपतवार
১.গছ ২.গছৰ বাসিন্দা,1. वृक्षीय 2. वृक्षवासी
শাখা-প্ৰশাখা,शाखायन
প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড,आद्य वानस्पतिक अभिलेख
জ&#39;ন নম্বৰ,क्षेत्रांकड़
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. क्षेत्र 2. क्षेत्रफल
শুকান পৰিৱেশ তন্ত্ৰ,शुष्क पारितंत्र
কুটিলডন,बीजचोल
সৌৰভ,सौरभ
সুগন্ধিযুক্ত উদ্ভিদ,सुगंधी पादप
সুগন্ধি চাউল,सुगंधित चावल
ইক্ষু পুষ্পন,इक्षु पुष्पन
বীজাণুমুক্ত,अपूति
১.এচেপ্টিক ২.এচেপ্টিক,1.अपूतित 2. अजर्म
অযৌন প্ৰজনন,अलैंगिक प्रवर्धन
আকাৰ,आमाप
সম্পত্তি,परिसंपत्ति
১/ আত্মসাৎ ২. আত্মসাৎ,1. स्वांगीकरण 2. आत्मसात्करण
১.সংঘ ২.সংঘ,1. साहचर्य 2. संघ
1. স্তম্ভ 2. astringency,1. स्तंभक 2. कषाय
হেটেৰ&#39;জাইগোচিটি,असूत्रयुग्मन
১.পূৰ্বপুৰুষ ২.আটাভিজম,1. पूर्वजता 2. ऐटाविज्म
কণা,कणित्र
1. অনিশ্চয়তা 2. বিকলতা,1.अपुष्टि 2. क्षीणता
self pairing,स्वयुग्मन
অটোলাইছিছ,स्वलयन
1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন,1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन
self multiplexed,स्वबहुगुणित
অক্সিন,ऑक्सिन
১/ জোকাৰি যোৱা ২. টোড,1. शूक 2. तूड़
পেনাল ভাইৰাছ,दंड विषाणु
১.বেচিলাছ ২.বেচিলাছ,1. दंडाणु 2. बैसिलस
১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া,1. जीवाणु 2. बैक्टीरिया
বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ,जीवाणु आविष
বাগাছ,खोई
বেলেন্স শ্বীট,तुलन-पत्र
সুষম সাৰৰ ব্যৱহাৰ,संतुलित उर्वरक उपयोग
