Assamese,Odiya
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
বিচ্যুতি,ଘୃଣ୍ୟତା |
অস্বাভাৱিক সংক্ৰমণ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
অনুপস্থিত বৰ্ণালী,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
নিৰপেক্ষ আৰ্দ্ৰতা,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
নিৰপেক্ষ গতি,ସଂପୂର୍ଣ୍ଣ ଗତି
নিৰপেক্ষ পৰ্যবেক্ষণ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
নিৰপেক্ষ উষ্ণতা,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
নিৰপেক্ষ শূন্য,ସଂପୂର୍ଣ୍ଣ ଶୂନ
শুহি লোৱা,ଶୋଷଣ
"শোষক, শোষক","ଶୋଷକ, ଶୋଷକ"
শোষণ ক্ষমতা,ଅବଶୋଷଣ କ୍ଷମତା |
শোষণ ক্ষমতা,ଅବସାଦ |
শোষক,ଶୋଷକ
শোষণ ক্ষমতা,ଶୋଷଣ
বহুগুণতা অনুপাত,ବହୁଗୁଣ ଅନୁପାତ |
ত্বৰান্বিত কৰক,ତ୍ୱରାନ୍ୱିତ କର |
খৰধৰকৈ উঠিল,ଶୀଘ୍ର ଶୀଘ୍ର
বেগ বৃদ্ধি,ତ୍ୱରଣ
মাধ্যাকৰ্ষণৰ ত্বৰণ,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
ত্বৰণকাৰী,ତ୍ୱରକ
ত্বৰণকাৰী,ତ୍ୱରକ
এক্সিলেৰমিটাৰ,ଆକ୍ସିଲେରୋମିଟର
প্ৰিষ্ট্ৰেছাৰ,ସମ୍ମାନ
গ্ৰহণযোগ্য পৰীক্ষা,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
গ্ৰহণকাৰী,ଗ୍ରହଣକାରୀ
দাতা অণু,ଦାତା ଅଣୁ
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
অভিগম্যতা,ଅଭିଗମ୍ୟତା
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
প্ৰৱেশ সময়,ପ୍ରବେଶ ସମୟ
দৰ্শকৰ ভুল,ପରିଦର୍ଶକ ତ୍ରୁଟି |
সমন্বয়,ଆଡଜଷ୍ଟେସନ୍
সঞ্চিত কৰা হৈছে,ସଂଗୃହିତ
"সঞ্চয়, সঞ্চয়","ଜମା, ଜମା"
এক্যুলেটৰ,ଜମାକାରୀ
শুদ্ধতা,ସଠିକତା
বাস্তৱতা,ବାସ୍ତବତା
ৰঙীন লেন্স,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
achromatic,ଆକ୍ରୋମାଟିକ୍ |
achromaticity,ଆକ୍ରୋମାଟିଟି
একাউষ্টিক,ଶବ୍ଦ
শব্দ নিবাৰণ,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
