Hindi,English
वैस्‍टम‍िन्‍स्‍टर मठ,Abbey of Westminster
मालखाना,Abditory
दासता का उन्मूलन,Abolition of slavery
आदिवासी,Aboriginal
अब्राहम काल,Abraham Era
प्रवासी ज़मींदार,Absentee landlords
अकादमी; विद्वत्परिषद,Academy
अक्रा सम्मेलन,Accra conference
"प्रोद्भूत सामग्री, उपचित सामग्री",Accruals
"परसंस्कृति-ग्रहण, उत्संस्करण",Acculturation
एसेलडामा,Aceldama
एकियायी,Achaean (=Achian)
एकीयायी लीग,Achaean League (=Achian League)
एक्रोपोलिस,Acropolis
"शाही रोज़नामचा, दैनिक समाचार",Acta Diurna
सीनेट का कार्यवृत्त,Acta Senatus
"अपर प्रपत्र, एक्टे एडिशनेल",Acte Additionel
सक्रिय रिकार्ड,Active record (=current record)
अपकीर्त्ति अधिनियम,Act of attainder
दंड विमुक्ति एवं विस्मरण अधिनियम,Act of Indemnity and oblivion
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",Act of Settlement
संविदा मुद्रा,Ad contractus seal
आडुलम गुटवादी,Adullamites
विपक्षी,Adversary
2. शत्रु,Adversary
युग,Aeon
इरेरियम,Aerarium
"आकाशी युद्ध, हवाई लड़ाई",Aerial warfare
"एटोलियन लीग, एटोलियायी संघ",Aetolian League
"काल, युग",Age
"काल-प्रभावन, जीर्णन",Ageing (=aging)
जीर्णन-प्रक्रिया,Ageing process
एजिलायी,Agelai
शौर्य युग,Age of chivalry
"प्रबोध युग, ज्ञानोदय युग",Age of Englightment
पेरीक्लीज़ युग,Age of Pericles
तर्क प्रधान युग,Age of reason
भूमि सुधारवाद,Agrarianism
भूमि सुधारवादी आंदोलन,Agrarian movement
एलबियन,Albion
अलबम,Album
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",Alderman
कुलांकित आयुध,Allusive arms
मैत्री,Amity
एम्फिकटिआनी परिषद,Amphictyonic Council
ऊपर देo : Amphictyonic Council,Amphictyonic League
"रंगवाट, रंगभूमि, अखाड़ा",Amphitheatre
(मृद्भांडों का) अमरीनाल वर्ग,Amri Nal group (of pottery)
"काल-वैषम्य, काल-दोष",Anachronism
काल-वैषम्ययुक्त,Anachronistic
पूर्वज,Ancestor
पितृ-पूजा,Ancestor Worship
कुल-परंपरा,Ancestry
2. वंश,Ancestry
3. वंश-क्रम,Ancestry
4. उच्च कुल,Ancestry
"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था",Ancien regime
"पुरातन, प्राचीन",Ancient
प्राचीन गाथा,Ancient ballad
प्राचीन मत,Ancient belief
प्राचीन प्रथा,Ancient custom
प्राचीन हतिहास,Ancient history
प्राचीन स्मारक,Ancient monuments
उपाख्यान,Anecdote
एन्जिलोट,Angelot
देवदूत पूजा,Angelus
आन्जवै,Angevin (=anjevin)
ऐन्गल्स,Angles
आंग्लिक,Anglican
आंग्ल चर्च,Anglican Communion
आंग्ल चर्चवाद,Anglicanism
आंग्ल विरोधी,Anglo-phobe
आंग्ल-दुर्भीति,Anglo-phobia
आंग्ल सैक्सन,Anglo-Saxon
आंग्ल-सैक्सनवाद,Anglo-Saxonism
"आख्यान-लेखक, आख्यानकार",Annalist
"वर्षवृत्त, आख्यान, ख्यात",Annals
"अधिनहन, मिला देना",Annexation
युद्ध पूर्व (स्थिति),Ante-bellum
"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण",Ante date
पादरी प्रथा विरोधी,Anti-clericalism
पादरी प्रथा विरोधी विधान,Anti-clerical legislation
"पुरावशेष, पुरावस्तु",Antiquity
लगान-विरोधी,Anti-rent
2. एन्टी रैन्ट पार्टी,Anti-rent
"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद",Anti Semitism
ऐन्ज़ेक,Anzac
नागरिक सभा,Apella
अरालू,Aralu
आर्च बिशप,Arch bishop
आर्च डची,Arch duchy
आर्च ड्यूक,Arch duke
पुरालेख संग्रह,Archief (=archival collection)
महाधर्माध्यक्ष का पद,Archiepiscopate
अभिजाततंत्र,Aristocracy
अभिजात,Aristocrat
अभिजातीय दंभ,Aristocratic snobbery
अरस्तूवादी,Aristotelian
आर्मेडा,Armada
स्पेन का आर्मेडा,Armada (=The Spanish Armada)
कवच-विशारद,Armorist (=armourist)
"कवच, बख्तर, वर्म",Armour (=armor)
अo देo armorist,Armourist
आर्य,Aryan
2. कुलीन,Aryan
अस्कारी,Askari
"आसिग्ना, भू-प्रतिभृत मुद्रा",Assignat
अभिसत्र,Assize
2. विधिपृच्छा,Assize
3. अभिसत्राधिनियम,Assize
आयुध अभिसत्राधिनियम,Assize of Arms Act
