Hindi,Assamese
वैस्‍टम‍िन्‍स्‍टर मठ,ৱেষ্টমিনিষ্টাৰৰ এবে
मालखाना,এবডিটৰী
दासता का उन्मूलन,দাসত্ব বিলুপ্ত কৰা
आदिवासी,আদিবাসী
अब्राहम काल,আব্ৰাহাম যুগ
प्रवासी ज़मींदार,অনুপস্থিত ঘৰৰ মালিক
अकादमी; विद्वत्परिषद,একাডেমী
अक्रा सम्मेलन,আক্ৰা সন্মিলন
"प्रोद्भूत सामग्री, उपचित सामग्री",এক্ৰুৱেল
"परसंस्कृति-ग्रहण, उत्संस्करण",সংস্কৃতিকৰণ
एसेलडामा,এচেলডামা
एकियायी,আখিয়ান (=আচিয়ান)
एकीयायी लीग,আচায়ান লীগ (=আচিয়ান লীগ)
एक्रोपोलिस,এক্ৰ&#39;পলিছ
"शाही रोज़नामचा, दैनिक समाचार",এক্টা ডিউৰ্না
सीनेट का कार्यवृत्त,এক্টা চেনেটাছ
"अपर प्रपत्र, एक्टे एडिशनेल",এক্টে এডিচনেল
सक्रिय रिकार्ड,সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
अपकीर्त्ति अधिनियम,প্ৰাপ্তিৰ কাৰ্য্য
दंड विमुक्ति एवं विस्मरण अधिनियम,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",বন্দোবস্তৰ আইন
संविदा मुद्रा,এড কন্ট্ৰেক্টাছ ছীল
आडुलम गुटवादी,এডুলামাইটছ
विपक्षी,বিৰোধী
2. शत्रु,বিৰোধী
युग,ইয়ন
इरेरियम,এৰেৰিয়াম
"आकाशी युद्ध, हवाई लड़ाई",আকাশী যুদ্ধ
"एटोलियन लीग, एटोलियायी संघ",এটলিয়ান লীগ
"काल, युग",বয়স
"काल-प्रभावन, जीर्णन",বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
जीर्णन-प्रक्रिया,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
एजिलायी,আগেলাই
शौर्य युग,অশ্বাৰোহীৰ যুগ
"प्रबोध युग, ज्ञानोदय युग",এজ অৱ ইংলাইটমেণ্ট
पेरीक्लीज़ युग,পেৰিক্লিছৰ বয়স
तर्क प्रधान युग,যুক্তিৰ বয়স
भूमि सुधारवाद,কৃষিবাদ
भूमि सुधारवादी आंदोलन,কৃষি আন্দোলন
एलबियन,এলবিয়ন
अलबम,এলবাম
