Punjabi,Odiya
ਅਸਧਾਰਨ,ଅସ୍ୱାଭାବିକ |
ਅਧੂਰਾ ਛੱਡਣਾ,ପରିତ୍ୟାଗ
ਘ੍ਰਿਣਾ,ଅଳିଆ ଆବେଗ
ਅਚਾਨਕ,ଆକସ୍ମିକ
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
ਪੂਰਨ ਤਾਪਮਾਨ,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
ਸਹੀ ਮੁੱਲ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ਸੋਖਣਾ,ଶୋଷଣ
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
ਸਮਾਈ ਨੁਕਸਾਨ,ଶୋଷଣୀୟ କ୍ଷତି |
ਸਾਰ,ବିସ୍ତୃତ
ਐਕਸੀਲਾਮੀਟਰ,ଆକ୍ସଲେରୋମିଟର |
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,ଗ୍ରହଣ ପରୀକ୍ଷା
ਪਹੁੰਚ,ପ୍ରବେଶ
ਐਕਸੈਸ ਕੰਟਰੋਲ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ਐਕਸੈਸ ਪੁਆਇੰਟ,ପ୍ରବେଶ ବିନ୍ଦୁ
ਐਕਸੈਸ ਟਾਈਮ,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
ਪਹੁੰਚਯੋਗਤਾ,ଅଭିଗମ୍ୟତା |
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
ਸ਼ੁੱਧਤਾ,ସଠିକତା
ਸਹੀ,ସଠିକ୍
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
ਐਸਿਡ,ଏସିଡ୍ |
ਐਸਿਡ ਦਾ ਸਬੂਤ,ଏସିଡ୍ ପ୍ରମାଣ |
ਐਸਿਡਿਟੀ,ଅମ୍ଳତା
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,ସ୍ୱୀକୃତି ବିଟ୍
ਧੁਨੀ,ଆକାଶବାଣୀ |
ਧੁਨੀ ਸੰਚਾਰ,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
ਧੁਨੀ ਫੈਲਾਉਣ,ଆକାଶବାଣୀ ବିସ୍ତାର
ਧੁਨੀ ਬਰਾਬਰੀ,ଆକାଶବାଣୀ ସମାନତା |
ਧੁਨੀ ਫੀਡਬੈਕ,ଆକାଶବାଣୀ ମତାମତ |
ਧੁਨੀ ਫਿਲਟਰ,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ਧੁਨੀ ਰੁਕਾਵਟ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ਧੁਨੀ ਮਾਸਕਿੰਗ,ଆକାଶବାଣୀ ମାସ୍କିଂ |
ਧੁਨੀ ਸ਼ਕਤੀ,ଆକାଶବାଣୀ ଶକ୍ତି |
ਧੁਨੀ ਸੰਪਤੀ,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ਧੁਨੀ ਟਾਈਲ,ଆକାଶବାଣୀ ଟାଇଲ୍ |
ਧੁਨੀ ਲਹਿਰ,ଆକାଶବାଣୀ ତରଙ୍ଗ |
ਧੁਨੀ ਸਮਾਈ,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
ਧੁਨੀ ਗਿੱਲੀ,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ਧੁਨੀ ਵਿਗਾੜ,ଆକାଶବାଣୀ ବିକୃତି |
ਧੁਨੀ ਨਲੀ,ଆକାଶବାଣୀ ନଳୀ |
