Gujarati,Tamil
અબેકસ,அபாகஸ்
અસામાન્ય સમાપ્તિ,அசாதாரண நிறுத்தம்
ગર્ભપાત,கருக்கலைப்பு
સંપૂર્ણ,அறுதி
સંપૂર્ણ સરનામું,முழுமையான முகவரி
સંપૂર્ણ સંબોધન,முழுமையான முகவரி
સંપૂર્ણ એસેમ્બલર,முழுமையான அசெம்பிளர்
સંપૂર્ણ કોડ,முழுமையான குறியீடு
સંપૂર્ણ આદેશ,முழுமையான கட்டளை
સંપૂર્ણ ડેટા,முழுமையான தரவு
સંપૂર્ણ સૂચના,முழுமையான அறிவுறுத்தல்
સંપૂર્ણ મોડ,முழுமையான பயன்முறை
સંપૂર્ણ માર્ગ,முழுமையான பாதை
સંપૂર્ણ પ્રોગ્રામિંગ,முழுமையான நிரலாக்கம்
અમૂર્ત વર્ગ,சுருக்க வர்க்கம்
અમૂર્ત ડેટા પ્રકાર,சுருக்க தரவு வகை
અમૂર્ત મશીન,சுருக்க இயந்திரம்
અમૂર્ત પ્રતીક,சுருக்க சின்னம்
અમૂર્ત વાક્યરચના,சுருக்க தொடரியல்
સ્વીકૃતિ પરીક્ષણ,ஏற்றுக்கொள்ளும் சோதனை
ઍક્સેસ પ્રમાણીકરણ,அணுகல் அங்கீகாரம்
ઍક્સેસ કોડ,அணுகல் குறியீடு
વપરાશ નિયંત્રણ,நுழைவு கட்டுப்பாடு
એક્સેસ સ્કેન,அணுகல் ஸ்கேன்
સહાયક,துணை
એકાઉન્ટ,கணக்கு
એકાઉન્ટ ID,கணக்கு ஐடி
સંચયક,திரட்டி
ચોકસાઈ,துல்லியம்
ઍક્સેસ,அணுகல்
એક્સેસ કંટ્રોલ બાઈટ,அணுகல் கட்டுப்பாட்டு பைட்
એક્સેસ ઇન્ડેક્સ,அணுகல் குறியீடு
ઍક્સેસ કી,அணுகல் விசை
એક્સેસ મેટ્રિક્સ,அணுகல் அணி
ઍક્સેસ મોડ,அணுகல் முறை
એક્સેસ વિશેષાધિકાર,அணுகல் சலுகை
ઍક્સેસ સુરક્ષા,அணுகல் பாதுகாப்பு
ઍક્સેસ સર્વર,அணுகல் சேவையகம்
ઍક્સેસ સમય,அணுகல் நேரம்
સ્વીકૃતિ,ஒப்புகை
ધ્વનિશાસ્ત્ર,ஒலியியல்
ટૂંકાક્ષર,சுருக்கம்
ક્રિયા સંદેશ,செயல் செய்தி
સક્રિયકરણ,செயல்படுத்துதல்
સક્રિય સર્વર પૃષ્ઠ (ASP),செயலில் உள்ள சர்வர் பக்கம் (ASP)
સક્રિય સંસ્કરણ,செயலில் உள்ள பதிப்பு
એસાયક્લિક,அசைக்ளிக்
એસાયક્લિક ગ્રાફ,அசைக்ளிக் வரைபடம்
અદા ભાષા,அட மொழி
એડેપ્ટર,அடாப்டர்
ઉમેરો,கூட்டு
ફાઇલ ઉમેરો,கோப்பை சேர்க்க
કામગીરી ઉમેરો,செயல்பாட்டைச் சேர்க்கவும்
ઉમેરનાર,சேர்ப்பான்
સરનામું,முகவரி
સરનામું બસ,முகவரி பேருந்து
સરનામું ફાઇલ,முகவரி கோப்பு
સરનામું ફોર્મેટ,முகவரி வடிவம்
સરનામું જનરેટર,முகவரி ஜெனரேட்டர்
એડ્રેસ લાઇન,முகவரி வரி
સરનામું મેપિંગ,முகவரி மேப்பிங்
સરનામું નિર્દેશક,முகவரி சுட்டி
સરનામું રજીસ્ટર,முகவரி பதிவு
સરનામું રિઝોલ્યુશન,முகவரி தீர்மானம்
સરનામા અનુવાદ,முகவரி மொழிபெயர்ப்பு
સંબોધિત મેમરી,நினைவாற்றலை உரையாற்றினார்
સંબોધન,உரையாற்றுவது
પર્યાપ્તતા માપદંડ,போதுமான அளவுகோல்கள்
સંલગ્ન,இணைந்த
વહીવટ,நிர்வாகம்
સંચાલક,நிர்வாகி
એડોબ એક્રોબેટ,அடோப் அக்ரோபேட்
એડોબ ફોટોશોપ,அடோ போட்டோஷாப்
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி)
અદ્યતન ડેટા,மேம்பட்ட தரவு
અદ્યતન માહિતી સિસ્ટમ,மேம்பட்ட தகவல் அமைப்பு
અદ્યતન ટેકનોલોજી (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
એજન્ટ,முகவர்
એકત્રીકરણ,திரட்டுதல்
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,வான்வழி கணினி அமைப்பு
aldus પૃષ્ઠ નિર્માતા,அல்டஸ் பக்க தயாரிப்பாளர்
ચેતવણી બોક્સ,எச்சரிக்கை பெட்டி
algol,அல்கோல்
અલ્ગોરિધમ,அல்காரிதம்
અલ્ગોરિધમ વિશ્લેષણ,அல்காரிதம் பகுப்பாய்வு
અલ્ગોરિધમ કાર્યક્ષમતા,அல்காரிதம் திறன்
ઉપનામ,மாற்றுப்பெயர்
ગોઠવણી,சீரமைப்பு
ફાળવણી,ஒதுக்கீடு
આલ્ફાબેટીક,அகரவரிசை
આલ્ફાન્યૂમેરિક,எண்ணெழுத்து
આલ્ફાન્યૂમેરિક કી બોર્ડ,எண்ணெழுத்து விசைப்பலகை
આલ્ફા-પરીક્ષણ,ஆல்பா-சோதனை
આલ્ફા-સંસ્કરણ,ஆல்பா பதிப்பு
alt કી,alt விசை
અલ્ટાવિસ્ટા,அல்டாவிஸ்டா
અસ્પષ્ટતા,தெளிவின்மை
અસ્પષ્ટ વ્યાકરણ,தெளிவற்ற இலக்கணம்
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII)
એનાલોગ,அனலாக்
એનાલોગ કમ્પ્યુટર,அனலாக் கணினி
એનાલોગ ઉપકરણ,அனலாக் சாதனம்
એનાલોગ મોડેમ,அனலாக் மோடம்
એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC),அனலாக் டு டிஜிட்டல் மாற்றி (ADC)
અને,மற்றும்
અને સર્કિટ,மற்றும் சுற்று
અને દરવાજો,மற்றும் வாயில்
અને ઓપરેશન નહીં (બાકાત),மற்றும் செயல்பாடு அல்ல (விலக்கு)
એનિમેશન,இயங்குபடம்
ટીકા,சிறுகுறிப்பு
વિસંગતતા,ஒழுங்கின்மை
પૂર્વવર્તી,முன்னோடி
આગોતરી પેજીંગ,முன்கூட்டிய பேஜிங்
વિરોધી સપ્રમાણ,எதிர்ப்பு சமச்சீர்
એન્ટિવાયરસ પ્રોગ્રામ,வைரஸ் தடுப்பு நிரல்
એપ્લેટ,ஆப்லெட்
એપ્લિકેશન ડેવલપર,பயன்பாட்டு டெவலப்பர்
એપ્લિકેશન પ્રોગ્રામિંગ,பயன்பாட்டு நிரலாக்கம்
એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API),பயன்பாட்டு நிரலாக்க இடைமுகம் (API)
એપ્લિકેશન સોફ્ટવેર,பயன்பாட்டு மென்பொருள்
લાગુ પડતી ભાષા,பயன்பாட்டு மொழி
અંદાજ સિદ્ધાંત,தோராயக் கோட்பாடு
સ્થાપત્ય,கட்டிடக்கலை
વિસ્તાર ટ્રાન્સફર,பகுதி பரிமாற்றம்
દલીલ,வாதம்
અંકિત અને તર્ક એકમ,எண்கணித மற்றும் தர்க்க அலகு
અંકિત તપાસ,எண்கணித சரிபார்ப்பு
અંકિત સ્થિરાંક,எண்கணித மாறிலி
અંકિત માહિતી,எண்கணித தரவு
અંકગણિત સૂચના,எண்கணித அறிவுரை
અંકગણિત અને તર્ક એકમ (ALU),எண்கணிதம் மற்றும் தருக்க அலகு (ALU)
અર્પાનેટ,அர்பானெட்
એરે,வரிசை
એરે કેશ,வரிசை கேச்
એરે કમ્પ્યુટર,வரிசை கணினி
એરે તત્વ,வரிசை உறுப்பு
એરે નામ,வரிசை பெயர்
એરે પ્રોસેસર,வரிசை செயலி
તીર કીઓ,அம்புக்குறி விசைகள்
ઉચ્ચારણ,உச்சரிப்பு
ઉચ્ચારણ બિંદુ,உச்சரிப்பு புள்ளி
કૃત્રિમ કોમ્પેક્શન,செயற்கை சுருக்கம்
કૃત્રિમ નિયંત્રણ,செயற்கை கட்டுப்பாடு
કૃત્રિમ બુદ્ધિ,செயற்கை நுண்ணறிவு
ચડતા,ஏறுபவர்
ચડતા સૉર્ટ,ஏறும் வகை
ASCII બેટીકલ ઓર્ડર,ASCII betical order
ASCII નિયંત્રણ પાત્ર,ASCII கட்டுப்பாட்டு எழுத்து
ASCII ફાઇલ,ASCII கோப்பு
ASCII ફોન્ટ,ASCII எழுத்துரு
ASCII ટ્રાન્સફર,ASCII பரிமாற்றம்
પાસા ગુણોત્તર,விகிதம்
ASPI,ASPI
ASR ટાઈમર,ASR டைமர்
ભેગા,கூடி
એસેમ્બલર,அசெம்பிளர்
એસેમ્બલી,சட்டசபை
એસેમ્બલી ભાષા,சட்டசபை மொழி
નિવેદન,வலியுறுத்தல்
સોંપણી,பணி நியமனம்
સંગઠન,சங்கம்
સહયોગી સરનામું,துணை முகவரி
સહયોગી મેમરી,துணை நினைவகம்
એસ્ટરીક,ஆஸ்டிரிக்
અસમપ્રમાણ,சமச்சீரற்ற
અસુમેળ,ஒத்திசைவற்ற
અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
અસુમેળ ટ્રાન્સફર,ஒத்திசைவற்ற பரிமாற்றம்
અસુમેળ ટ્રાન્સફર મોડ (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
અણુ,அணு
જોડાયેલ દસ્તાવેજ,இணைக்கப்பட்ட ஆவணம்
જોડેલી ફાઈલ,இணைக்கப்பட்டுள்ள கோப்பு
જોડાણ,இணைப்பு
લક્ષણ,பண்பு
ઓડિયો,ஆடியோ
ઓડિટ પ્રોગ્રામિંગ,தணிக்கை நிரலாக்கம்
વિષ્લેષણ,தணிக்கை சோதனை
વૃદ્ધિ,பெருக்குதல்
પ્રમાણીકરણ પ્રોટોકોલ,அங்கீகார நெறிமுறை
ઓથરિંગ સિસ્ટમ,ஆசிரியர் அமைப்பு
અધિકૃતતા,அங்கீகாரம்
સ્વતઃ અમૂર્ત,தானியங்கு சுருக்கம்
ઓટોબૂટિંગ,தானாக துவக்குதல்
ઓટોકેડ,ஆட்டோகேட்
ઓટોલોગ ચાલુ,ஆட்டோலாக் ஆன்
ઓટોમેટા,தானியங்கி
ઓટોમેટા સિદ્ધાંત,தானியங்கு கோட்பாடு
આપોઆપ કમ્પ્યુટિંગ,தானியங்கி கணினி
સ્વચાલિત ડેટા પ્રોસેસિંગ,தானியங்கி தரவு செயலாக்கம்
આપોઆપ ભૂલ સુધારણા,தானியங்கி பிழை திருத்தம்
સ્વચાલિત કાર્ય,தானியங்கி செயல்பாடு
આપોઆપ અનુક્રમણિકા,தானியங்கி அட்டவணைப்படுத்தல்
સ્વચાલિત પુસ્તકાલય કૉલ,தானியங்கி நூலக அழைப்பு
આપોઆપ પ્રોગ્રામિંગ,தானியங்கி நிரலாக்க
સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ,தானியங்கி மீட்பு திட்டம்
આપોઆપ નિયમિત,தானியங்கி வழக்கம்
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,தானியங்கி கணினி மீட்பு
ઓટોમેટિક ટેલર મશીન (ATM),தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM)
ઓટોમેશન,தானியங்கி
ઑટોપ્લે,தானியங்கி
સ્વતઃ સાચવો,தானாக சேமிக்கவும்
સહાયક,துணை
સહાયક મેમરી,துணை நினைவகம்
સહાયક સંગ્રહ,துணை சேமிப்பு
ઉપલબ્ધ યાદી,கிடைக்கும் பட்டியல்
ઉપલબ્ધ સમય,கிடைக்கும் நேரம்
સરેરાશ,சராசரி
awk (ભાષા),awk (மொழி)
બેકએન્ડ,பின்தளம்
બેકએન્ડ પ્રોસેસર,பின்தள செயலி
બેકફેસ દૂર કરવું,பின்முகத்தை அகற்றுதல்
પૃષ્ઠભૂમિ પ્રક્રિયા,பின்னணி செயலாக்கம்
બેકિંગ સ્ટોર,பேக்கிங் கடை
બેકપેચિંગ,பின் இணைப்பு
બેકસ્પેસ,பின்வெளி
બેકટ્રેકિંગ,பின்வாங்குதல்
બેકઅપ,காப்புப்பிரதி
બેકઅપ મેમરી,காப்பு நினைவகம்
પછાત ભૂલ પુનઃપ્રાપ્તિ,பின்னோக்கி பிழை மீட்பு
સરવૈયા,இருப்புநிலை
બેન્ડ,இசைக்குழு
બેન્ડ પહોળાઈ,பட்டை அகலம்
બેંકરનું અલ્ગોરિધમ,வங்கியாளர் வழிமுறை
બાર કોડ,பார் குறியீடு
બાર કોડ સ્કેનર,பட்டை குறி படிப்பான் வருடி
બાર ગ્રાફ,சட்ட வரைபடம்
આધાર સરનામું,அடிப்படை முகவரி
આધાર બેન્ડ,அடிப்படை இசைக்குழு
આધાર નંબર,அடிப்படை எண்
આધાર ટેબલ,அடிப்படை அட்டவணை
પાયાની,அடிப்படை
મૂળભૂત નિયંત્રણ,அடிப்படை கட்டுப்பாடு
મૂળભૂત ઇનપુટ,அடிப்படை உள்ளீடு
મૂળભૂત સૂચના,அடிப்படை அறிவுறுத்தல்
