Bengali,Telugu
অস্বাভাবিক,అసాధారణ
গর্ভপাত,అబార్ట్
ঘর্ষণ,అబ్రేషన్
আকস্মিক,ఆకస్మిక
পরম ক্ষেত্র শক্তি,సంపూర్ణ క్షేత్ర బలం
পরম তাপমাত্রা,సంపూర్ణ ఉష్ణోగ్రత
পরম মান,సంపూర్ణ విలువ
শোষণ,గ్రహించండి
শোষণ গুণাঙ্ক,శోషణ సహ-సమర్థత
শোষণ ক্ষতি,శోషణ నష్టం
বিমূর্ত,నైరూప్య
অ্যাক্সিলোমিটার,యాక్సిలెరోమీటర్
স্বীকৃতি পরীক্ষা,అంగీకార పరీక్ష
অ্যাক্সেস,యాక్సెస్
প্রবেশাধিকার নিয়ন্ত্রণ,యాక్సెస్ నియంత్రణ
এক্সেস পয়েন্ট,యాక్సెస్ పాయింట్
প্রবেশাধিকার সময়,ప్రాప్యత సమయం
অ্যাক্সেসযোগ্যতা,సౌలభ్యాన్ని
একুমুলেটর সেল,సంచిత కణం
সঠিকতা,ఖచ్చితత్వం
নির্ভুল,ఖచ్చితమైనది
অ্যাক্রোমেটিক লেন্স,అచ్రోమాటిక్ లెన్స్
অ্যাসিড,ఆమ్లము
অ্যাসিড প্রুফ,యాసిడ్ ప్రూఫ్
অম্লতা,ఆమ్లత్వం
স্বীকৃতি বিট,రసీదు బిట్
অ্যাকোস্টিক,శబ్ద
অ্যাকোস্টিক যোগাযোগ,ఎకౌస్టిక్ కమ్యూనికేషన్
অ্যাকোস্টিক প্রসারণ,శబ్ద వ్యాప్తి
অ্যাকোস্টিক ইকুয়ালাইজার,ఎకౌస్టిక్ ఈక్వలైజర్
অ্যাকোস্টিক প্রতিক্রিয়া,శబ్ద అభిప్రాయం
অ্যাকোস্টিক ফিল্টার,శబ్ద వడపోత
শব্দের সংরোধ,శబ్ద ఇంపెడెన్స్
অ্যাকোস্টিক মাস্কিং,ఎకౌస్టిక్ మాస్కింగ్
অ্যাকোস্টিক শক্তি,శబ్ద శక్తి
অ্যাকোস্টিক সম্পত্তি,శబ్ద ఆస్తి
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,శబ్ద ప్రతిచర్య
অ্যাকোস্টিক রিফ্লেক্স,ఎకౌస్టిక్ రిఫ్లెక్స్
অ্যাকোস্টিক টাইল,శబ్ద టైల్
অ্যাকোস্টিক তরঙ্গ,శబ్ద వేవ్
শাব্দিক শোষণ,శబ్ద శోషణ
শাব্দিক মনোযোগ ধ্রুবক,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
শাব্দিক স্যাঁতসেঁতে,శబ్ద డంపింగ్
শাব্দিক বিলম্ব লাইন,శబ్ద ఆలస్యం రేఖ
শাব্দিক বিকৃতি,శబ్ద వక్రీకరణ
শাব্দিক নালী,శబ్ద వాహిక
শাব্দিক শক্তি,శబ్ద శక్తి
শাব্দিক প্রতিক্রিয়া,శబ్ద అభిప్రాయం
শাব্দিক ফিল্টার,శబ్ద వడపోత
শাব্দিক প্রতিবন্ধকতা,శబ్ద ఇంపెడెన్స్
শাব্দিক প্রচার ধ্রুবক,శబ్ద ప్రచారం స్థిరాంకం
শাব্দিক প্রতিরোধের,శబ్ద నిరోధకత
শাব্দিকভাবে অন্তরক,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
অ্যাকোস্টিকস,ధ్వని
অধিগ্রহণ,సముపార్జన
