Odiya,Bengali
ପରିତ୍ୟାଗ,গর্ভপাত
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,গর্ভপাত টাইমার
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,পরম ঠিকানা
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,পরম ঠিকানা
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,পরম এসেম্বলার
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,পরম কোড
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,পরম কোডিং
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,পরম কমান্ড
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,পরম সমন্বয়
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,পরম ডেটা
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,পরম ত্রুটি
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,পরম অভিব্যক্তি
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,পরম নির্দেশ
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,পরম লোডার
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,পরম আদেশ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,পরম প্রোগ্রামিং
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,পরম শব্দ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,পরম মান
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,পরম ভেক্টর
ବିସ୍ତୃତ,বিমূর্ত
ବିସ୍ତୃତ,বিমূর্ত
ବିସ୍ତୃତ ପ୍ରତୀକ |,বিমূর্ত প্রতীক
ତ୍ୱରଣ ସମୟ,ত্বরণ সময়কাল
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,ত্বরণের সময়
ଉଚ୍ଚାରଣ,অ্যাকসেন্ট
ଗ୍ରହଣ ପରୀକ୍ଷା,স্বীকৃতি পরীক্ষা
ପ୍ରବେଶ,অ্যাক্সেস
ଆକ୍ସେସ୍ ବାହୁ,অ্যাক্সেস আর্ম
ପ୍ରବେଶ ବ୍ୟବସ୍ଥା,অ্যাক্সেস ব্যবস্থা
ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ,অ্যাক্সেস কর্তৃপক্ষ
ପ୍ରବେଶ ଚାର୍ଜ,অ্যাক্সেস চার্জ
