Punjabi,Bengali
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A B শ্রেণীর পরিবর্ধক
ਵਿਗਾੜ,বিকৃতি
ਅਸਧਾਰਨ ਸੰਚਾਰ,অস্বাভাবিক সংক্রমণ
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,অনুপস্থিত বর্ণালী
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","পরম, পরম, ধ্রুবক, নিখুঁত"
ਪੂਰਨ ਨਮੀ,পরম আর্দ্রতা
ਪੂਰਨ ਗਤੀ,পরম গতি
ਪੂਰਨ ਨਿਰੀਖਣ,পরম পর্যবেক্ষণ
ਪੂਰਨ ਤਾਪਮਾਨ,পরম তাপমাত্রা
ਪੂਰਨ ਜ਼ੀਰੋ,পরম শূন্য
ਸੋਖਣਾ,শোষণ করা
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","শোষক, শোষক"
ਸਮਾਈ ਸਮਰੱਥਾ,শোষণ ক্ষমতা
ਸਮਾਈ,শোষণ
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,শোষক
ਸਮਾਈ,শোষণ
ਗੁਣਾ ਅਨੁਪਾਤ,বহুগুণ অনুপাত
ਤੇਜ਼ ਕਰੋ,ত্বরান্বিত করা
ਜਲਦੀ,তাড়াতাড়ি
ਪ੍ਰਵੇਗ,ত্বরণ
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,অভিকর্ষের ত্বরণ
ਐਕਸਲੇਟਰ,এক্সিলারেটর
ਐਕਸਲੇਟਰ,এক্সিলারেটর
ਐਕਸਲੇਰੋਮੀਟਰ,অ্যাক্সিলোমিটার
prestresser,prestresser
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,গ্রহণযোগ্য পরীক্ষা
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,গ্রহণকারী
ਦਾਨੀ ਅਣੂ,দাতা অণু
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
ਪਹੁੰਚਯੋਗਤਾ,অ্যাক্সেসযোগ্যতা
