Tamil,Marathi
அமிலத்தன்மை,ऍसिडॉइड
அயோலியன் மண்,एओलियन माती
மதிப்பீட்டு,एकूण
திரட்டுதல்,एकत्रीकरण
வேளாண்மை,कृषीशास्त्र
வேளாண்மை,कृषीशास्त्र
A- அடிவானம்,A-क्षितिज
Ao- அடிவானம்,Ao-क्षितिज
Aoo- அடிவானம்,Aoo-क्षितिज
மண்ணின் காற்று திறன்,मातीची हवेची क्षमता
மண்ணின் காற்றின் உள்ளடக்கம்,मातीतील हवेचे प्रमाण
காற்று பிக்னோமீட்டர்,एअर पिकनोमीटर
அல்லிடிக் மண்,ऍलिटिक माती
வண்டல் மண்,गाळाची माती
ஆம்போலிடாய்டு,अॅम्फोलायटॉइड
அயன்,आयन
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
அரிஸ்,ऍरिस
Ashlar நன்றாக கொத்து,Ashlar दंड दगडी बांधकाम
ஆஷ்லர் கொத்து,Ashlar दगडी बांधकाम
அசோனல் மண்,अझोनल माती
பின் நடிகர்,मागचा अभिनेता
பின் வளைவு,मागची कमान
பின் இசைக்குழு,बॅक बँड
பின் தூரிகை,मागे ब्रश
மீண்டும் சரிபார்க்கவும்,परत तपासणी
பின் கவுண்டர்,मागे काउंटर
முதுகு வெட்டுதல்,परत कटिंग
பின் வரைவு damper,बॅक ड्राफ्ट डँपर
பின் வடிகால்,मागे निचरा
பின் துளி,बॅक ड्रॉप
பின் நிரப்பவும்,परत भरा
பின் ஃபில்லட்,बॅक फिलेट
பின் மடல் கீல்,बॅक फ्लॅप बिजागर
பின் ஓட்ட இணைப்பு,परत प्रवाह कनेक्शन
பின் ஓட்டம் தடுப்பான்,परत प्रवाह प्रतिबंधक
பின் அளவுகோல்,बॅक गेज
பின்புற சாக்கடை,मागे गटार
பின் அடுப்பு,मागे चूल
ஆதரவு,पाठीराखा
பேக்கிங் போர்டு,बॅकिंग बोर्ड
பின் அழுத்தம்,पाठीचा दाब
பின் முட்டு,बॅक प्रोप
பின் பார்வை,मागची दृष्टी
பின் நீர்,परत पाणी
குழப்பம்,गोंधळ
பை வேலை,बॅगवर्क
பேலாஸ்ட்,गिट्टी
பந்து களிமண்,बॉल क्ले
பந்து கூம்பு கவ்வி,बॉल कोन क्लॅम्प
முள்வேலி,काटेरी तार
பார் நாய்,बार कुत्रा
விசைப்படகு பலகை,बार्ज बोर्ड
பேரியம் சல்பேட் சோதனை,बेरियम सल्फेट चाचणी
சரமாரி,बॅरेज
பாரெட்,बॅरेट
அடித்தளம்,पाया
அடிப்படை பரிமாற்றம்,बेस एक्सचेंज
அடிப்படை வரி,बेस लाइन
அடித்தளம்,तळघर
அடித்தள சுவர்,तळघर भिंत
அடித்தட்டு,तळपट्टी
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","बेस प्लेट, समायोज्य"
அடிப்படை செறிவு,बेस संपृक्तता
பாசாய்டு,बेसॉइड
வௌவால்,वटवाघूळ
பாத் மற்றும் WC,बाथ आणि WC
இடி ஆப்பு,पिठात पेग
பேட்டர் பையர்,पिठात घाट
பேட்டர் விதி,पिठात नियम
பால்க் (பால்க்),बल्क (बाल्क)
விரிகுடா,खाडी
தாங்குபவர்,वाहक
தாங்கும் திறன்,सहन करण्याची क्षमता
தாங்கும் பைல்,पत्करणे ब्लॉकला
தாங்கி அடுக்கு,बेअरिंग स्ट्रॅटम
படுக்கை,पलंग
படுக்கை விமானம்,बेडिंग विमान
படுக்கை கூட்டு,बेड संयुक्त
படுக்கை பாறை,बेड रॉक
படுக்கை அறை,बेड रूम
தேன் மெழுகு,मेण
மணி பெட்டி,बेल बॉक्स
பெல்லிங் வாளி,बेलिंग बादली
பெல்லோஃப்ராம்,बेलोफ्राम
பெஞ்ச் அடித்தளம்,बेंच केलेला पाया
பெஞ்சிங்,बेंचिंग
பெஞ்ச் மார்க்,बेंच मार्क
நன்மை செலவு பகுப்பாய்வு,लाभ खर्चाचे विश्लेषण
பெர்ம்,बर्म
வளைந்த மூடல்,Bevelled बंद
"பி-ஹரைசன்,&quot;பி-","B-क्षितिज,&quot;B-"
பயாட்,बायट
பைண்டர்,बाईंडर
பிணைப்பு பொருள்,बंधनकारक साहित्य
பயோட்டின் கோட்பாடு,बायोटचा सिद्धांत
பிடுமின்,बिटुमेन
கருப்பு பருத்தி மண்,काळी कापूस माती
கருப்பு பூமி,काळी पृथ्वी
கருப்பு தரை மண்,काळी हरळीची माती
கத்தி,ब्लेड
ஊது உலை கசடு சிமெண்ட்,ब्लास्ट फर्नेस स्लॅग सिमेंट
தடுப்பு அமைப்பு,ब्लॉक रचना
போகி எதிர்ப்பு,बोगी प्रतिकार
போக்-இரும்பு தாது,बोग-लोह धातू
பத்திரம்,बाँड
பிணைக்கப்பட்ட உறுப்பினர்,बंधपत्रित सदस्य
பிணைக்கப்பட்ட பிந்தைய பதற்றம்,बंध पोस्ट टेंशनिंग
பத்திர கல்,बोंड दगड
கட்டுப்பட்ட நீர்,बांधलेले पाणी
பெட்டி சாக்கடை,पेटी गटर
பிரேஸ்,ब्रेस
விளிம்பில் செங்கல்,वीट-ऑन-एज
கடிவாளம்,लगाम
பிரகாசம்,तेज
பழுப்பு மண்,तपकिरी माती
கட்டிடம்,इमारत
கட்டிட சர்வேயர்,इमारत सर्वेक्षक
தாங்கல்,बफर
தாங்கல் வளைவு,बफर वक्र
தாங்கல்,बफरिंग
தாங்கல் திறன்,बफरिंग क्षमता
பண்டர்,बंदर
பட்டர்ஸ்,बट्रेस
சி-அடிவானம்,सी-क्षितिज
கேபிள்,केबल
கேபிள் மோல்டிங்,केबल मोल्डिंग
கேபிளிங்,केबल टाकणे
அறை,केबिन
கேபின் ஹூக்,केबिन हुक
மந்திரி சபை,कपाट
கபோல்ட் வெளியேறினார்,कॅबोल्ट सोडला
சிற்றுண்டியகம்,कॅफेटेरिया
கூண்டு,पिंजरा
கூண்டு கட்டுமானம்,पिंजरा बांधकाम
கெய்னின் சூத்திரம்,काईनचे सूत्र
கெய்சன்,कैसन
கெய்சன் நோய்,कॅसन रोग
கெய்சன் அடித்தளம்,Caisson पाया
கெய்சன் குவியல்,Caisson ढीग
சுண்ணாம்பு செங்கல்,चुनखडीची वीट
சுண்ணாம்பு களிமண்,चुनखडीयुक्त चिकणमाती
சுண்ணாம்பு மேலோடு,चुनखडीयुक्त कवच
கால்சிஃபிகேஷன்,कॅल्सिफिकेशन
கால்சினேஷன்,कॅल्सीनेशन
கால்சின்,कॅल्सीन
கால்சைட்,कॅल्साइट
கால்சியம்-அலுமினேட் சிமெண்ட்,कॅल्शियम-अल्युमिनेट सिमेंट
கால்சியம்-சிலிகேட் செங்கல்,कॅल्शियम-सिलिकेट वीट
கால்சியம்-சிலிகேட் ஹைட்ரேட்,कॅल्शियम-सिलिकेट हायड्रेट
கலிச்சே,कॅलिचे
கலிபோர்னியா தாங்கி விகிதம்,कॅलिफोर्निया बेअरिंग रेशो
காலிபர்,कॅलिपर
கலோரிமீட்டர்,कॅलरीमीटर
கேம்பர்,कांबर
கால்வாய்,कालवा
விதானம்,छत
கான்டிலீவர் அடிவாரம்,कॅन्टिलिव्हर फूटिंग
தொப்பி,टोपी
திறன்,क्षमता
ஆயில் பாதையின் திறன்,एइल ट्रॅकची क्षमता
தொப்பி கேபிள்,कॅप केबल
கேபிலரிட்டி,केशिका
தந்துகி முறிவு,केशिका ब्रेक
தந்துகி ஓட்டம்,केशिका प्रवाह
தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்,केशिका ओलावा किंवा केशिका पाणी
தந்துகி துளை இடம்,केशिका छिद्र जागा
கேபிலரி போரோசிட்டி,केशिका सच्छिद्रता
தந்துகி வெளி,केशिका जागा
பிடிப்பு வேகம்,वेग कॅप्चर करा
கார்பனேற்றம்,कार्बोनेशन
கார்பன் கருப்பு,कार्बन ब्लॅक
காஸ்ட்பிள் பயனற்ற,कास्टबल रेफ्रेक्ट्री
காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு,कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू
காஸ்ட்-இன்-பிளேஸ் பைல்,कास्ट-इन-प्लेस मेख
ஆமணக்கு,एरंडेल
வார்ப்பு கல்,कास्ट दगड
வினையூக்கி,उत्प्रेरक
கேட்டனா,कॅटेना
பூனை முகம்,मांजरीचा चेहरा
பூனை தலை,मांजरीचे डोके
கேஷன்,कॅशन
பூனை நடை,मांजर चालणे
குழிவுறுதல் சேதம்,पोकळ्या निर्माण होणे नुकसान
செலைட்,Celite
செல்லுலார் கான்கிரீட்,सेल्युलर कंक्रीट
செல்லுலார் கட்டுமானம்,सेल्युलर बांधकाम
சிமெண்ட்,सिमेंट
"சிமெண்ட், பிட்மினஸ்","सिमेंट, बिटुमिनस"
"சிமெண்ட், அதிக வலிமை","सिमेंट, उच्च शक्ती"
"சிமெண்ட், ஹைட்ராலிக்","सिमेंट, हायड्रॉलिक"
"சிமெண்ட், குறைந்த வெப்பம்","सिमेंट, कमी उष्णता"
"சிமெண்ட், கொத்து","सिमेंट, दगडी बांधकाम"
"சிமெண்ட், இயற்கை","सिमेंट, नैसर्गिक"
"சிமெண்ட், போர்ட்லேண்ட்","सिमेंट, पोर्टलँड"
"சிமெண்ட், போர்ட்லேண்ட் பிளாஸ்ட் ஃபர்னேஸ் ஸ்லாக்","सिमेंट, पोर्टलँड ब्लास्ट फर्नेस स्लॅग"
"சிமெண்ட், போர்ட்லேண்ட் போஸோலன்","सिमेंट, पोर्टलँड पोझोलन"
"சிமெண்ட், கசடு","सिमेंट, स्लॅग"
"சிமெண்ட், சல்பேட் எதிர்ப்பு","सिमेंट, सल्फेट प्रतिरोधक"
"சிமெண்ட், சூப்பர் சல்பேட்","सिमेंट, सुपर सल्फेट"
"சிமெண்ட், வெள்ளை","सिमेंट, पांढरा"
சிமெண்ட்-மொத்த விகிதம்,सिमेंट-एकूण प्रमाण
சிமெண்ட் உள்ளடக்கம்,सिमेंट सामग्री
சிமெண்ட் ஜெல்,सिमेंट जेल
சிமெண்ட் துப்பாக்கி,सिमेंट बंदूक
சிமெண்ட் சூளை,सिमेंटची भट्टी
சிமெண்ட் பெயிண்ட்,सिमेंट पेंट
சிமெண்ட் பூச்சு,सिमेंट प्लास्टर
சிமெண்ட் பாறை,सिमेंट खडक
சிமெண்ட் குழம்பு,सिमेंट स्लरी
சிமெண்ட் சேமிப்பு,सिमेंट स्टोरेज
சிமெண்டேஷன் செயல்முறை,सिमेंटेशन प्रक्रिया
மையப்படுத்துதல்,केंद्रीकरण
மையப்படுத்துதல் மற்றும் மூடுதல்,सेंटरिंग आणि शटरिंग
மத்திய கலப்பு கான்கிரீட்,केंद्रीय मिश्रित कंक्रीट
மத்திய கலவை,मध्यवर्ती मिक्सर
மையவிலக்கு விசிறி,केंद्रापसारक पंखा
சுண்ணாம்பு,खडू
சேம்ஃபர்,चांफर
சேம்பர் துண்டு,चेंफर पट्टी
சேனல் கற்றை,चॅनेल बीम
சிறப்பியல்பு சுமை,वैशिष्ट्यपूर्ण भार
பண்பு வலிமை,वैशिष्ट्यपूर्ण ताकद
சார்ஜ் ஆஃப்,चार्ज बंद
சார்ஜ் செய்கிறது,चार्ज होत आहे
