Tamil,Bengali
குறைப்பு,অবসান
சுருக்கம்,সংক্ষেপণ
கடத்தல்,অপহরণ
நிறுத்துதல்,অবসান
திறன்,ক্ষমতা
Ab initio,অ্যাব initio
முடியும்,সক্ষম
அசாதாரணமானது,অস্বাভাবিক
ஒழிப்பு,বিলুপ্তি
இடுகை ஒழிப்பு,বিলোপ পোস্ট
மேலே குறிப்பிட்டுள்ள,উপর্যুক্ত
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,উপরে উদ্ধৃত
மேலே கூறினார்,উপরে বলেছেন
இல்லாதது,অনুপস্থিতি
வராதவர்,অনুপস্থিত
இல்லாதது,অনুপস্থিতি
இல்லாத அறிக்கை,অনুপস্থিত বিবৃতি
அறுதி,পরম
முழுமையான ஏகபோகம்,পরম একচেটিয়া
முழுமையான உரிமை,পরম মালিকানা
உறிஞ்சுதல்,শোষণ
சுருக்கம்,বিমূর্ত
சுருக்கம்,অ্যাবস্ট্রাক্টস্টেটমেন্ট
அபத்தமான,অযৌক্তিক
ஏராளமாக,প্রাচুর্য
அதிகார துஷ்பிரயோகம்,ক্ষমতার অপব্যবহার
தவறான மொழி,অবমাননাকর ভাষা
கல்வி,একাডেমিক
கல்வி விவாதம்,একাডেমিক আলোচনা
கல்வி விடுப்பு,একাডেমিক ছুটি
கல்வி தகுதி,শিক্ষাগত যোগ্যতা
கல்வி சாதனையை,একাডেমিক রেকর্ড
ஏற்றுக்கொள்ளுங்கள்,প্রশংসা
ஏற்றுக்கொள்,গ্রহণ
ஏற்றுக்கொள்ளல்,গ্রহণযোগ্যতা
பதவியை ஏற்றுக்கொள்வது,অফিস গ্রহণ
டெண்டரை ஏற்றுக்கொள்வது,দরপত্র গ্রহণ
அணுகல்,অ্যাক্সেস
அணுகல்,প্রবেশ
துணை,আনুষঙ্গিক
விபத்து,দুর্ঘটনা
பழக்கவழக்கமயமாக்கல்,প্রশংসাপত্র
தங்குமிடம்,থাকার ব্যবস্থা
துணையுடன்,সহকারী
உடன்பாடு,চুক্তি
ஒப்புதல்,অ্যাকশন
அதன்படி,তদনুসারে
கணக்கு,অ্যাকাউন্ট
பொறுப்புக்கூறல்,দায়িত্ব
பொறுப்பு,দায়ী
கணக்கியல்,হিসাবরক্ষণ
கணக்காளர்,হিসাবরক্ষক
கணக்கு,কি কারণে
கணக்கு தலை,অ্যাকাউন্ট হেড
திரட்டப்பட்ட நன்மை,অর্জিত সুবিধা
திரட்டப்பட்ட ஓய்வூதியம்,পেনশন আদায়
குவிப்பு,জমা
துல்லியம்,সঠিকতা
துல்லியமானது,নির্ভুল
குற்றம்,অভিযোগ
குற்றம் சாட்டப்பட்டவர்,অভিযুক্ত
சாதனை,অর্জন
ஒப்புதல்,স্বীকৃতি
ஒப்புதல் காரணமாக,স্বীকৃতি বকেয়া
அறிமுகம்,পরিচিত
கையகப்படுத்தல்,অধিগ্রহণ
விடுவித்தல்,খালাস
நாடகம்,আইন
நடிப்பு கொடுப்பனவு,অভিনয় ভাতা
செயல்,কর্ম
செயல் திட்டம்,অ্যাকশন প্ল্যান
செயலில்,সক্রিয়
சுறுசுறுப்பாக,সক্রিয়ভাবে
ஆர்வலர்,কর্মী
கடவுளின் செயல்,Of শ্বরের আইন
தவறான நடத்தை செயல்,অসদাচরণের আইন
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,কমিশন ও বাদ দেওয়া আইন
உண்மையான,আসল
உண்மையான,বাস্তব
தழுவல்,অভিযোজন
கூடுதலாக,সংযোজন
கூடுதல் கட்டணம்,অতিরিক্ত চার্জ
கூடுதல் நிதி,অতিরিক্ত তহবিল
கூடுதல் மானியம்,অতিরিক্ত অনুদান
கூடுதல் தகவல்,অতিরিক্ত তথ্য
கூடுதல் ஊதியம்,অতিরিক্ত বেতন
கூட்டல் மற்றும் மாற்றம்,সংযোজন এবং পরিবর্তন
முகவரி,ঠিকানা
முகவரி,ঠিকানা
வரவேற்பின் முகவரி,স্বাগত ঠিকানা
போதுமானது,পর্যাপ্ত
பின்பற்றவும்,মেনে চলুন
தற்காலிக,অ্যাডহক
தற்காலிக உரிமைகோரல்,অ্যাডহক দাবি
தற்காலிக குழு,তদর্থক কমিটি
தற்காலிக அதிகரிப்பு,অ্যাডহক বৃদ্ধি
தற்காலிக கட்டணம்,অ্যাডহক পেমেন্ট
அருகில்,সংলগ্ন
