Gujarati,Odiya
ગર્ભપાત,ପରିତ୍ୟାଗ
ગર્ભપાત સમય,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
અબાધિત સંબોધન,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
પૂર્ણ સંબોધન,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
સંપૂર્ણ સંમેલન,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
પૂર્ણ સંહિતા,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
પૂર્ણ સંહિતા,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
પૂર્ણ આદેશ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
સંપૂર્ણ સંકલન,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
અબાધિત આંકડા,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
નિરપેક્ષ ભૂલ,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
પૂર્ણ અભિવ્યક્તિ,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
અબાધિત સૂચના,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
અબાધિત લોડર,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
સંપૂર્ણ,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
પૂર્ણ કાર્યક્રમ,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
અબાધિત મુદત,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
અબાધિત મૂલ્ય,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
અબાધિત વેક્ટર,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
નિષ્ક્રિય,ବିସ୍ତୃତ
યોગ્યતા,ବିସ୍ତୃତ
સાર -સારાંશ,ବିସ୍ତୃତ ପ୍ରତୀକ |
પ્રવેગશ ગાળો,ତ୍ୱରଣ ସମୟ
પ્રવેગકોનો સમય,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
ઉચ્ચારણ,ଉଚ୍ଚାରଣ
સ્વીકૃતિ કસોટી,ଗ୍ରହଣ ପରୀକ୍ଷା
પ્રવેશ,ପ୍ରବେଶ
પ્રવેશ હાથ,ଆକ୍ସେସ୍ ବାହୁ
પ્રવેશ -વ્યવસ્થા,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
પ્રવેશ સત્તાવાર,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
પ્રવેશ -ખર્ચ,ପ୍ରବେଶ ଚାର୍ଜ
પ્રવેશ -વર્ગ,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
પ્રવેશ -આધાર વ્યવસ્થાપન,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
પર્યાવરણ,ପ୍ରବେଶ ପରିବେଶ ସେବା
પ્રવેશ અંતર,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
પ્રવેશ -સૂચિ,ପ୍ରବେଶ ସୂଚକାଙ୍କ
પ્રવેશ -રેખા,ଆକ୍ସେସ୍ ଲାଇନ୍ |
પ્રવેશ -પદ્ધતિ,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
પ્રવેશ પદ્ધતિ,ପ୍ରବେଶ ପଦ୍ଧତି
પ્રવેશ -પદ્ધતિ,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
પ્રવેશ -પદ્ધતિ,ପ୍ରବେଶ ମୋଡ୍
પ્રવેશ -હક,ଅଧିକାର ପ୍ରବେଶ
પ્રવેશ -સ્કેન,ପ୍ରବେଶ ସ୍କାନ
પ્રવેશ સમય,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
નામું,ହିସାବ
હિસાબ -પદ્ધતિ પદ્ધતિ,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
હિસાબ -વ્યવસ્થા,ହିସାବ ଯନ୍ତ୍ର
ખાતા નંબર,ଖାତା ସଂଖ୍ୟା
સંચયી પ્રજનનકર્તા,ପୁନର୍ବାର ଜମା କରିବା |
એકઠા કરનાર,ଆକ୍ୟୁମୁଲେଟର
સંચિત રજિસ્ટર,ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |
સંચય -પાળી સૂચના,ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |
ચોકસાઈ,ସଠିକତା
ચોકસાઈ નિયંત્રણ,ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |
ચોકસાઈ નિયંત્રણ પદ્ધતિ,ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |
પાસાનો પાસાનો પો,Ace ପାଇଲଟ୍ |
પાત્ર સ્વીકારવું,ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ
ધ્વનિકર્તા,ଆକାଶବାଣୀ କପତର୍ |
ધ્વનિ -જોડાણ,ଆକାଶବାଣୀ କଣ୍ଟା |
ધ્વનિ વિલંબ રેખા,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ધ્વનિમૂર્તિ,ଆକାଶବାଣୀ ସ୍ମୃତି
ધ્વનિ -મોડેમ,ଆକାଶବାଣୀ ମୋଡେମ୍ |
ધ્વનિ સંકેત,ଆକାଶବାଣୀ ସଙ୍କେତ |
ધ્વનિ સંગ્રહ,ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |
ટૂંકાક્ષર,ଆକ୍ରୋନିମ୍ |
ક્રિયા,କାର୍ଯ୍ୟ
કાર્ય -ચક્ર,କ୍ରିୟା ଚକ୍ର
ક્રિયા -રેખ,କ୍ରିୟା ରେଖା
ક્રિયા,କ୍ରିୟା ବାର୍ତ୍ତା
કાર્ય -સ્પષ્ટીકરણ,କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
સક્રિય,ସକ୍ରିୟକରଣ
સક્રિય,ସକ୍ରିୟ
સક્રિય ફાઈલ,ସକ୍ରିୟ ଫାଇଲ
સક્રિય રેખા,ସକ୍ରିୟ ରେଖା
સક્રિય કડી,ସକ୍ରିୟ ଲିଙ୍କ୍ |
સક્રિય માસ્ટર ફાઇલ,ସକ୍ରିୟ ମାଷ୍ଟର ଫାଇଲ |
સક્રિય મુખ્ય વસ્તુ,ସକ୍ରିୟ ମାଷ୍ଟର ଆଇଟମ୍ |
સક્રિય ઉપગ્રહ,ସକ୍ରିୟ ଉପଗ୍ରହ |
સક્રિય કેન્દ્ર,ସକ୍ରିୟ ଷ୍ଟେସନ
સક્રિય સંગ્રહ,ସକ୍ରିୟ ସଂରକ୍ଷଣ
પ્રવૃત્તિ,କାର୍ଯ୍ୟକଳାପ
પ્રવૃત્તિ સ્તરે,କାର୍ଯ୍ୟକଳାପ ସ୍ତର
પ્રવૃત્તિ લોડિંગ,କାର୍ଯ୍ୟକଳାପ ଲୋଡିଂ
પ્રવૃત્તિ ગુણોત્તર,କାର୍ଯ୍ୟକଳାପ ଅନୁପାତ
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),ପ୍ରକୃତ ଠିକଣା (= ସଂପୂର୍ଣ୍ଣ ଠିକଣା)
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),ପ୍ରକୃତ କୋଡ୍ (= ସଂପୂର୍ଣ୍ଣ କୋଡ୍)
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,ପ୍ରକୃତ ଡାଟା ସ୍ଥାନାନ୍ତର ହାର |
વાસ્તવિક દશાંશ બિંદુ,ପ୍ରକୃତ ଦଶମିକ ବିନ୍ଦୁ |
વાસ્તવિક સૂચના (= અસરકારક સૂચના),ପ୍ରକୃତ ନିର୍ଦ୍ଦେଶ (= ପ୍ରଭାବଶାଳୀ ନିର୍ଦ୍ଦେଶ)
ખરેખર ચા,ପ୍ରକୃତ ଚାବି |
વાસ્તવિક સમય,ପ୍ରକୃତ ସମୟ
વાસ્તવિક કામનો સમય,ପ୍ରକୃତ କାର୍ଯ୍ୟ ସମୟ
કાર્યકારી સંકેત,କାର୍ଯ୍ୟକ୍ଷମ ସଙ୍କେତ
અનુકૂલનક્ષમતા,ଅନୁକେତ
અનુકૂલન,ଆଡାପ୍ଟର
