English,Gujarati
Acidoid,એસિડોઇડ
Aeolian soil,એઓલિયન માટી
Aggregate,એકંદર
Aggregation,એકત્રીકરણ
Agrology,કૃષિશાસ્ત્ર
Agronomy,કૃષિવિજ્ઞાન
A-horizon,A-ક્ષિતિજ
Ao-horizon ,Ao-ક્ષિતિજ
Aoo-horizon,Aoo-ક્ષિતિજ
Air capacity of soil,માટીની હવા ક્ષમતા
Air content of soil,જમીનની હવાની સામગ્રી
Air picnometer,એર પિકનોમીટર
Allitic soil,એલિટિક માટી
Alluvial soil,કાંપવાળી માટી
Ampholytoid,એમ્ફોલિટોઇડ
Anion,આયન
"Apparent specific gravity volume weight or bulk specific gravity,""","દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
Arris,એરિસ
Ashlar fine masonry,Ashlar દંડ ચણતર
Ashlar masonry,Ashlar ચણતર
Azonal soil,એઝોનલ માટી
Back acter ,પાછળનો અભિનેતા
Back arch,પાછળની કમાન
Back band,બેક બેન્ડ
Back brush,પાછળ બ્રશ
Back check,બેક ચેક
Back counter,બેક કાઉન્ટર
Back cutting,પાછળ કટીંગ
Back draft damper,બેક ડ્રાફ્ટ ડેમ્પર
Back drain,બેક ડ્રેઇન
Back drop,બેક ડ્રોપ
Back fill,પાછળ ભરો
Back fillet,બેક ફીલેટ
Back flap hinge,બેક ફ્લૅપ મિજાગરું
Back flow connection,બેક ફ્લો કનેક્શન
Back flow preventer,બેક ફ્લો નિવારક
Back gauge ,બેક ગેજ
Back gutter ,પાછળ ગટર
Back hearth,બેક હર્થ
Backing,બેકિંગ
Backing board,બેકિંગ બોર્ડ
Back pressure,પાછળ ધકેલાતું દબાણ
Back prop,બેક પ્રોપ
Back sight ,પાછળની દૃષ્ટિ
Back water,પાછું પાણી
Baffle,બેફલ
Bagwork ,બેગવર્ક
Ballast,બેલાસ્ટ
Ball clay,બોલ માટી
Ball cone clamp,બોલ શંકુ ક્લેમ્બ
Barbed wire,કાંટાળો તાર
Bar dog,બાર કૂતરો
Barge board,બાર્જ બોર્ડ
Barium sulphate test,બેરિયમ સલ્ફેટ ટેસ્ટ
Barrage,બેરેજ
Barrett,બેરેટ
Base,પાયો
Base exchange,આધાર વિનિમય
Base line ,બેઝ લાઇન
Basement,ભોંયરું
Basement wall,ભોંયરું દિવાલ
Base plate,બેઝ પ્લેટ
"Base plate, adjustable","બેઝ પ્લેટ, એડજસ્ટેબલ"
Base saturation,આધાર સંતૃપ્તિ
Basoid,બેસોઇડ
Bat,બેટ
Bath and W.C.,સ્નાન અને WC
Batter peg,સખત મારપીટ
Batter pier,સખત મારપીટ પિયર
Batter rule,સખત મારપીટનો નિયમ
Baulk (balk),બૉલ્ક (બાલ્ક)
Bay,ખાડી
Bearer,ધારક
Bearing capacity,બેરિંગ ક્ષમતા
Bearing pile,બેરિંગ ખૂંટો
Bearing stratum,બેરિંગ સ્ટ્રેટમ
Bed,પથારી
Bedding plane,પથારીનું વિમાન
Bed joint,બેડ સંયુક્ત
Bed rock,બેડ રોક
Bed room,બેડ રૂમ
Beeswax,મીણ
Bell box,બેલ બોક્સ
Belling bucket,બેલિંગ ડોલ
Bellofram,બેલોફ્રેમ
Benched foundation,બેન્ચ્ડ ફાઉન્ડેશન
Benching,બેન્ચિંગ
Bench mark,બેન્ચ માર્ક
Benefit cost analysis,લાભ ખર્ચ વિશ્લેષણ
Berm,બેર્મ
Bevelled closure,બેવેલ્ડ બંધ
"B-horizon,""B-","B-ક્ષિતિજ,&quot;B-"
Biat,બાયટ
Binder,બાઈન્ડર
Binding material,બંધનકર્તા સામગ્રી
Biot's theory,બાયોટનો સિદ્ધાંત
Bitumen,બીટુમેન
Black cotton soil,કાળી કપાસની માટી
Black earth ,કાળી પૃથ્વી
Black turf soil,કાળી જડિયાંવાળી જમીન
Blade,બ્લેડ
Blast furnace slag cement,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
Blocky structure,બ્લોકી માળખું
Bogie resistance,બોગી પ્રતિકાર
Bog-iron ore,બોગ-આયર્ન ઓર
Bond,બોન્ડ
Bonded member,બંધાયેલા સભ્ય
Bonded post tensioning,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
Bond stone,બોન્ડ પથ્થર
Bound water,બંધાયેલ પાણી
Box gutter,બોક્સ ગટર
Brace,તાણવું
Brick-on-edge,ઈંટ પર ધાર
Bridle,બ્રિડલ
Brightness,તેજ
Brown soil,બ્રાઉન માટી
Building,બિલ્ડીંગ
Building surveyor,બિલ્ડીંગ સર્વેયર
Buffer,બફર
Buffer curve,બફર વળાંક
Buffering,બફરિંગ
Buffering capacity,બફરિંગ ક્ષમતા
Bunder,બંદર
Buttress,બટ્રેસ
C-horizon,સી-ક્ષિતિજ
Cable,કેબલ
Cable moulding,કેબલ મોલ્ડિંગ
Cabling,કેબલિંગ
Cabin,કેબિન
Cabin hook,કેબિન હૂક
Cabinet,કેબિનેટ
Cabolt's quit,કેબોલ્ટે છોડી દીધું
Cafeteria,કાફેટેરિયા
Cage,કેજ
Cage construction,પાંજરાનું બાંધકામ
Cain's formula,કાઈનનું સૂત્ર
Caisson,કેસોન
Caisson disease,કેસોન રોગ
Caisson foundation,કેસોન ફાઉન્ડેશન
Caisson pile,Caisson ખૂંટો
Calcareous brick,કેલ્કેરિયસ ઈંટ
Calcareous clay,કેલ્કેરિયસ માટી
Calcareous crust,કેલ્કેરિયસ પોપડો
Calcification,કેલ્સિફિકેશન
Calcination,કેલ્સિનેશન
Calcine ,કેલ્સિન
Calcite,કેલ્સાઇટ
Calcium-aluminate cement,કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ
Calcium-silicate brick,કેલ્શિયમ-સિલિકેટ ઈંટ
Calcium-silicate hydrate,કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ
Caliche,કેલિચે
California bearing ratio,કેલિફોર્નિયા બેરિંગ રેશિયો
Caliper,કેલિપર
Calorimeter,કેલરીમીટર
Camber,કેમ્બર
Canal,કેનાલ
Canopy,કેનોપી
Cantilever footing,કેન્ટિલવર ફૂટિંગ
Cap,કેપ
Capacity,ક્ષમતા
Capacity of ail track,એઇલ ટ્રેકની ક્ષમતા
Cap cable,કેપ કેબલ
Capillarity,કેપિલેરિટી
Capillary break,કેશિલરી વિરામ
Capillary flow,કેશિલરી પ્રવાહ
Capillary moisture or capillary water,કેશિલરી ભેજ અથવા કેશિલરી પાણી
Capillary pore space,કેશિલરી છિદ્ર જગ્યા
