Kannada,Bengali
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,এসি সমতুল্য সার্কিট
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,পরম শূন্য
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,শোষণ গুণাঙ্ক
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,শোষণ বর্ণালী
ಗ್ರಾಹಕ ಪರಮಾಣು,রিসেপ্টর পরমাণু
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,বিকল্প বর্তমান যুগল
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,ইলেক্ট্রন সংগ্রহ
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,গর্ত স্টোরেজ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,অ্যাক্টিভেশন শক্তি
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,সক্রিয় পরিবর্ধক
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,সক্রিয় ডায়োড সার্কিট
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,সক্রিয় ফিল্টার
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
ಸಕ್ರಿಯ ಲೋಡ್,সক্রিয় লোড
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
ಸಕ್ರಿಯ ಪ್ರದೇಶ,সক্রিয় এলাকা
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,অভিযোজিত ইলেকট্রনিক্স
ಸೇರಿಸುವವನು,যোগকারী
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
ನುಗ್ಗುವಿಕೆ,অনুপ্রবেশ
ಏರಿಯಲ್,এরিয়েল
ಪೆಪ್ ಆವರ್ತನ,পিপ ফ্রিকোয়েন্সি
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,এয়ার কন্ডিশনার
ಜೋಡಣೆ,প্রান্তিককরণ
ಅಲ್ಗಾರಿದಮ್,অ্যালগরিদম
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,সমস্ত পাস ফিল্টার
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,খাদ জংশন
ಕ್ಷೀಣತೆ,ক্ষয়
ಪರ್ಯಾಯ ಪ್ರವಾಹ,বিবর্তিত বিদ্যুৎ
ಹೊರಗಿನ ತಾಪಮಾನ,পরিবেষ্টিত তাপমাত্রা
ಬೈಪೋಲಾರ್,বাইপোলার
ವರ್ಧನೆ,পরিবর্ধন
ಆಂಪ್ಲಿಫಯರ್,পরিবর্ধক
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,পরিবর্ধক দক্ষতা
ಆಯಾಮಗಳು,মাত্রা
ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ,প্রশস্ততা ক্ষয়
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ,প্রশস্ততা মডুলেটেড এএম অসিলেটর
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್,প্রশস্ততা মড্যুলেশন
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್,প্রশস্ততা মডুলেটর
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,অ্যাংস্ট্রম ইউনিট
ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್,এনালগ সার্কিট
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,এনালগ কম্পিউটার
ಅನಲಾಗ್ ಫಿಲ್ಟರ್,এনালগ ফিল্টার
ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್,এনালগ মাল্টিমিটার
ಅನಲಾಗ್ ಸ್ವಿಚ್,এনালগ সুইচ
ಮತ್ತು ಗೇಟ್,এবং গেট
ಕೋನೀಯ ಆವರ್ತನ,কৌণিক কম্পাংক
"ಅಯಾನ್, ಅಯಾನ್","anion, anion"
ಅನೆಲಿಂಗ್ ತಾಪಮಾನ,অ্যানিলিং তাপমাত্রা
ಆನೋಡ್,অ্যানোড
ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್,অ্যানোড পরিবর্ধক
ಅನೋಡೈನ್,anodyne
ಆಂಟೆನಾ,অ্যান্টেনা
ಆಂಟೆನಾ ಘಟಕ,অ্যান্টেনা উপাদান
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ,বিরোধী প্রতিফলিত আবরণ
ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್,অ্যান্টিলগইন পরিবর্ধক
ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್,অ্যান্টিরেজোন্যান্ট সার্কিট
ದ್ವಾರಕ ಕಾಲ,দ্বারক যুগ
ವರ್ಚುವಲ್ ಶಕ್ತಿ,ভার্চুয়াল শক্তি
ತಂತಿ ಸಂಪರ್ಕ,তারের সংযোগ
ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ,আনুমানিক ভোল্টেজ লাভ
ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್,আর্মস্ট্রং মডুলেটর
ಆಂಟೆನಾ ರಚನೆ,অ্যান্টেনা অ্যারে
"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ","সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್,ভাসমান মাল্টিভাইব্রেটর
ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್,অপ্রতিসম জংশন
ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
ಪರಮಾಣು,পারমাণবিক
