Kannada,English
ಸ್ಥಗಿತಗೊಳಿಸು,Abort
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,Abort timer
ಸಂಪೂರ್ಣ ವಿಳಾಸ,Absolute address
ಸಂಪೂರ್ಣ ವಿಳಾಸ,Absolute addressing
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,Absolute assembler
ಸಂಪೂರ್ಣ ಕೋಡ್,Absolute code
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,Absolute coding
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,Absolute command
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,Absolute coordinate
ಸಂಪೂರ್ಣ ಡೇಟಾ,Absolute data
ಸಂಪೂರ್ಣ ದೋಷ,Absolute error
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,Absolute expression
ಸಂಪೂರ್ಣ ಸೂಚನೆ,Absolute instruction
ಸಂಪೂರ್ಣ ಲೋಡರ್,Absolute loader
ಸಂಪೂರ್ಣ ಕ್ರಮ,Absolute order
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,Absolute programming
ಸಂಪೂರ್ಣ ಪದ,Absolute term
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,Absolute value
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,Absolute vector
ಅಮೂರ್ತ,Abstract
ಅಮೂರ್ತಗೊಳಿಸುವ,Abstracting
ಅಮೂರ್ತ ಚಿಹ್ನೆ,Abstract symbol
ವೇಗವರ್ಧನೆ ಅವಧಿ,Acceleration period
ವೇಗವರ್ಧಕ ಸಮಯ,Acceleration time
ಉಚ್ಚಾರಣಾ,Accent
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,Acceptance test
ಪ್ರವೇಶ,Access
ಪ್ರವೇಶ,Access arm
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,Access arrangement
ಪ್ರವೇಶ,Access authority
ಪ್ರವೇಶ,Access charge
ಪ್ರವೇಶ ವರ್ಗ,Access class
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,Access data base management
ಪ್ರವೇಶ ಪರಿಸರ,Access environment
ಪ್ರವೇಶದ ಅಂತರ,Access gap
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,Access index
ಪ್ರವೇಶ,Access line
ಪ್ರವೇಶ ಕಾರ್ಯ,Access mechanism
ಪ್ರವೇಶ ವಿಧಾನ,Access method
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,Access method routine
ಪ್ರವೇಶ ಕ್ರಮ,Access mode
ಪ್ರವೇಶ ಬಲ,Access right
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,Access scan
ಪ್ರವೇಶ ಸಮಯ,Access time
ಲೆಕ್ಕಪತ್ರ,Accounting
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,Accounting finance system
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,Accounting machine
ಖಾತೆ ಸಂಖ್ಯೆ,Account number
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,Accumulating reproducer
ಸಂಗ್ರಹಣೆದಾರ,Accumulator
ಸಂಚಯಕ ನೋಂದಣಿ,Accumulator register
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,Accumulator shift instruction
ನಿಖರತೆ,Accuracy
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,Accuracy control character
