Gujarati,Kannada
ગર્ભિત અંગ,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
ગર્ભિત બીજ,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
ગર્ભપાત,ಗರ್ಭಪಾತ
પૂર્ણ નીંદણ,ಸಂಪೂರ್ಣ ಕಳೆ
સમારકામ,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
સમાવેશ,ಹೀರುವಿಕೆ
એબિસિનિયન સરસવ,ಪ್ರಪಾತದ ಸಾಸಿವೆ
વાસ્તવિકતા,ಉಜ್ಜೆ
ઉચ્ચારણ,ಉಪನಾಮದ
ઉકાળો (કોષ),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
સ્વીકૃત સહનશીલતા,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
સહાયક,ಪರಿಕರ
સ્વાર્થીકરણ,ಒಗ್ಗೂಡಿಸುವಿಕೆ
સંચય,ಸಂಗ್ರಹಣೆ
ચોકસાઈ,ನಿಖರತೆ
એકરખાંશ,ಕಸಚೂಕು
સુશોભિતતા,ಸಮಗ್ರೀಕರಣ
એસ્બરેશન,ಆಮ್ಲೀಕರಣ
અમ્લમાપક,ಆಚಿಮೀಟರ್ ಚೀಟಿ
અમલ્ય,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
અમ્લ્ક,ಸಿಹಿನೀರಿನ
એસિડ્યુલેટેડ રોક ફોસ્ફેટ,ಆಮ್ಲೀಯ
કષ્ટાત્મક,ಸಂಚೇಮದ
પાણીમાં જતું,ಜಲಚರಗಳು
સંપાદન,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
એકર,ಎಕರೆ
એકર વિસ્તાર,ಎಕರೆ
સંકુચિત રંગસૂત્ર,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
આછું,ಖುಷಿಯ
આછક,ಸುಣ್ಣ
કૃત્ય,ಅಂಧ
સક્રિય રુટ ક્ષેત્ર,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
તીવ્ર,ತೀವ್ರ
અનુકૂલનક્ષમતા,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
અનુકૂલન,ರೂಪಾಂತರ
સંલગ્નતા,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
ચરબીયુક્ત,ಅಡಿ
સમાયોજન સમીકરણ,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
ગોરી માટી,ಮಣ್ಣು
વ્યભિચાર,ವ್ಯಭಿಚಾರಮಾಡುವ
આકસ્મિક,ಸಾಹಸದ
જાસૂસી,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
વાતજ પ્રક્રિયા,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
વાતજ,ಅಯೋಲಿಯನ್
હાથબદલો કરવો,ಗಾಳಿಗೊಡ್ಡು
હવાઈ,ವೈಮಾನಿಕ
વાયુવાસી,ವಾಯುಮಾಪಕ
વિમાન,ವಾಯುಪಾವತಿ
નિલાસ્ય,ಅಸ್ವಸ್ಥತೆ
એટીઓલોજી (ઇટીઓલોજી),ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
વનીકરણ,ಸಂಯಮ
આંદોલન,ಆಂದೋಲನ
