Punjabi,Malayalam
abacus,അബാക്കസ്
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,അസാധാരണമായ അവസാനിപ്പിക്കൽ
ਅਧੂਰਾ ਛੱਡੋ,ഉപേക്ഷിക്കുക
ਅਸੀਮ,കേവല
ਪੂਰਾ ਪਤਾ,സമ്പൂർണ്ണ വിലാസം
ਪੂਰਨ ਸੰਬੋਧਨ,സമ്പൂർണ്ണ അഭിസംബോധന
ਪੂਰਨ ਅਸੈਂਬਲਰ,കേവല അസംബ്ലർ
ਪੂਰਨ ਕੋਡ,കേവല കോഡ്
ਪੂਰਨ ਹੁਕਮ,സമ്പൂർണ്ണ കമാൻഡ്
ਪੂਰਨ ਡਾਟਾ,സമ്പൂർണ്ണ ഡാറ്റ
ਪੂਰਨ ਹਿਦਾਇਤ,സമ്പൂർണ്ണ നിർദ്ദേശം
ਪੂਰਨ ਮੋਡ,കേവല മോഡ്
ਪੂਰਨ ਮਾਰਗ,കേവല പാത
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,അമൂർത്ത ക്ലാസ്
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,അമൂർത്ത ഡാറ്റ തരം
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,അമൂർത്ത യന്ത്രം
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,അമൂർത്ത ചിഹ്നം
ਸੰਖੇਪ ਸੰਟੈਕਸ,അമൂർത്തമായ വാക്യഘടന
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,സ്വീകാര്യത പരിശോധന
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,ആക്സസ് പ്രാമാണീകരണം
ਐਕਸੈਸ ਕੋਡ,പ്രവേശന കോഡ്
ਪਹੁੰਚ ਕੰਟਰੋਲ,പ്രവേശന നിയന്ത്രണം
ਐਕਸੈਸ ਸਕੈਨ,ആക്സസ് സ്കാൻ
ਸਹਾਇਕ,ഉപസാധനം
ਖਾਤਾ,അക്കൗണ്ട്
ਖਾਤਾ ID,അക്കൗണ്ട് ID
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ശേഖരണം
ਸ਼ੁੱਧਤਾ,കൃത്യത
ਪਹੁੰਚ,പ്രവേശനം
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
ਐਕਸੈਸ ਇੰਡੈਕਸ,പ്രവേശന സൂചിക
ਪਹੁੰਚ ਕੁੰਜੀ,ആക്സസ് കീ
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,ആക്സസ് മാട്രിക്സ്
ਪਹੁੰਚ ਮੋਡ,ആക്സസ് മോഡ്
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,ആക്സസ് പ്രിവിലേജ്
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,ആക്സസ് സുരക്ഷ
ਪਹੁੰਚ ਸਰਵਰ,ആക്സസ് സെർവർ
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,പ്രവേശന സമയം
ਮਾਨਤਾ,അംഗീകാരം
ਧੁਨੀ ਵਿਗਿਆਨ,ശബ്ദശാസ്ത്രം
ਸੰਖੇਪ ਸ਼ਬਦ,സംക്ഷേപം
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,പ്രവർത്തന സന്ദേശം
ਸਰਗਰਮੀ,സജീവമാക്കൽ
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),സജീവ സെർവർ പേജ് (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,സജീവ പതിപ്പ്
acyclic,അസൈക്ലിക്
acyclic ਗ੍ਰਾਫ਼,അസൈക്ലിക് ഗ്രാഫ്
ਅਦਾ ਭਾਸ਼ਾ,അഡാ ഭാഷ
ਅਡਾਪਟਰ,അഡാപ്റ്റർ
ਸ਼ਾਮਲ ਕਰੋ,ചേർക്കുക
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,ഫയൽ ചേർക്കുക
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,പ്രവർത്തനം ചേർക്കുക
ਜੋੜਨ ਵਾਲਾ,ചേർക്കുന്നയാൾ
ਪਤਾ,വിലാസം
ਪਤਾ ਬੱਸ,വിലാസം ബസ്
ਐਡਰੈੱਸ ਫਾਈਲ,വിലാസ ഫയൽ
ਪਤਾ ਫਾਰਮੈਟ,വിലാസ ഫോർമാറ്റ്
ਪਤਾ ਜਨਰੇਟਰ,വിലാസ ജനറേറ്റർ
ਐਡਰੈੱਸ ਲਾਈਨ,വിലാസ ലൈൻ
ਪਤਾ ਮੈਪਿੰਗ,വിലാസ മാപ്പിംഗ്
ਪਤਾ ਸੰਕੇਤਕ,വിലാസ സൂചിക
ਪਤਾ ਰਜਿਸਟਰ,വിലാസ രജിസ്റ്റർ
ਪਤਾ ਹੱਲ,വിലാസം റെസലൂഷൻ
ਪਤਾ ਅਨੁਵਾਦ,വിലാസ വിവർത്തനം
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,അഭിസംബോധന ചെയ്ത മെമ്മറി
ਸੰਬੋਧਨ,അഭിസംബോധന
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,പര്യാപ്തത മാനദണ്ഡം
adjoint,അനുബന്ധം
ਪ੍ਰਸ਼ਾਸਨ,ഭരണകൂടം
ਪ੍ਰਬੰਧਕ,കാര്യനിർവാഹകൻ
ਅਡੋਬ ਐਕਰੋਬੈਟ,അഡോബ് അക്രോബാറ്റ്
