Marathi,Malayalam
ऍसिडॉइड,ആസിഡോയിഡ്
एओलियन माती,അയോലിയൻ മണ്ണ്
एकूण,ആകെത്തുകയായുള്ള
एकत्रीकरण,സമാഹരണം
कृषीशास्त्र,അഗ്രോളജി
कृषीशास्त्र,അഗ്രോണമി
A-क्षितिज,എ-ചക്രവാളം
Ao-क्षितिज,Ao-ചക്രവാളം
Aoo-क्षितिज,Aoo-ചക്രവാളം
मातीची हवेची क्षमता,മണ്ണിന്റെ വായു ശേഷി
मातीतील हवेचे प्रमाण,മണ്ണിന്റെ വായു ഉള്ളടക്കം
एअर पिकनोमीटर,എയർ പിക്നോമീറ്റർ
ऍलिटिक माती,അല്ലിറ്റിക് മണ്ണ്
गाळाची माती,എക്കൽ മണ്ണ്
अॅम्फोलायटॉइड,ആംഫോളിറ്റോയ്ഡ്
आयन,അനിയോൺ
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
ऍरिस,ആരിസ്
Ashlar दंड दगडी बांधकाम,അഷ്ലാർ നല്ല കൊത്തുപണി
Ashlar दगडी बांधकाम,ആഷ്ലാർ കൊത്തുപണി
अझोनल माती,അസോണൽ മണ്ണ്
मागचा अभिनेता,പിന്നണി നടൻ
मागची कमान,പിന്നിലെ കമാനം
बॅक बँड,ബാക്ക് ബാൻഡ്
मागे ब्रश,ബാക്ക് ബ്രഷ്
परत तपासणी,തിരികെ പരിശോധിക്കുക
मागे काउंटर,ബാക്ക് കൗണ്ടർ
परत कटिंग,ബാക്ക് കട്ടിംഗ്
बॅक ड्राफ्ट डँपर,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
मागे निचरा,ബാക്ക് ഡ്രെയിനേജ്
बॅक ड्रॉप,ബാക്ക് ഡ്രോപ്പ്
परत भरा,തിരികെ പൂരിപ്പിക്കുക
बॅक फिलेट,ബാക്ക് ഫില്ലറ്റ്
बॅक फ्लॅप बिजागर,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
परत प्रवाह कनेक्शन,ബാക്ക് ഫ്ലോ കണക്ഷൻ
परत प्रवाह प्रतिबंधक,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
बॅक गेज,ബാക്ക് ഗേജ്
मागे गटार,പിന്നിലെ ഗട്ടർ
मागे चूल,പിന്നിലെ അടുപ്പ്
पाठीराखा,പിന്തുണ
बॅकिंग बोर्ड,ബാക്കിംഗ് ബോർഡ്
पाठीचा दाब,പിന്നിലെ മർദ്ദം
बॅक प्रोप,ബാക്ക് പ്രോപ്പ്
मागची दृष्टी,പിന്നാമ്പുറ കാഴ്ച
परत पाणी,പിൻ വെള്ളം
गोंधळ,തടസ്സപ്പെടുത്തുക
बॅगवर्क,ബാഗ് വർക്ക്
गिट्टी,ബാലസ്റ്റ്
बॉल क्ले,പന്ത് കളിമണ്ണ്
बॉल कोन क्लॅम्प,ബോൾ കോൺ ക്ലാമ്പ്
काटेरी तार,മുള്ളുകമ്പി
बार कुत्रा,ബാർ നായ
बार्ज बोर्ड,ബാർജ് ബോർഡ്
बेरियम सल्फेट चाचणी,ബേരിയം സൾഫേറ്റ് പരിശോധന
बॅरेज,തടയണ
बॅरेट,ബാരറ്റ്
पाया,അടിസ്ഥാനം
बेस एक्सचेंज,അടിസ്ഥാന കൈമാറ്റം
बेस लाइन,അടിസ്ഥാന ലൈൻ
तळघर,നിലവറ
तळघर भिंत,ബേസ്മെൻറ് മതിൽ
तळपट्टी,അടിസ്ഥാന പ്ലേറ്റ്
"बेस प्लेट, समायोज्य","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
बेस संपृक्तता,അടിസ്ഥാന സാച്ചുറേഷൻ
बेसॉइड,ബസോയ്ഡ്
वटवाघूळ,ബാറ്റ്
बाथ आणि WC,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
पिठात पेग,ബാറ്റർ കുറ്റി
पिठात घाट,ബാറ്റർ പിയർ
पिठात नियम,ബാറ്റർ ഭരണം
बल्क (बाल्क),ബോൾക്ക് (ബാക്ക്)
खाडी,ബേ
वाहक,ചുമക്കുന്നയാൾ
सहन करण्याची क्षमता,വഹിക്കാനുള്ള ശേഷി
पत्करणे ब्लॉकला,ബെയറിംഗ് പൈൽ
बेअरिंग स्ट्रॅटम,ബെയറിംഗ് സ്ട്രാറ്റം
पलंग,കിടക്ക
बेडिंग विमान,ബെഡ്ഡിംഗ് വിമാനം
बेड संयुक्त,കിടക്ക ജോയിന്റ്
बेड रॉक,കിടക്ക പാറ
बेड रूम,കിടപ്പുമുറി
मेण,തേനീച്ചമെഴുകിൽ
बेल बॉक्स,മണി പെട്ടി
बेलिंग बादली,ബെല്ലിംഗ് ബക്കറ്റ്
बेलोफ्राम,ബെല്ലോഫ്രം
बेंच केलेला पाया,ബെഞ്ച് ചെയ്ത അടിത്തറ
बेंचिंग,ബെഞ്ചിംഗ്
बेंच मार्क,ബെഞ്ച് മാർക്ക്
लाभ खर्चाचे विश्लेषण,ആനുകൂല്യ ചെലവ് വിശകലനം
बर्म,ബെർം
Bevelled बंद,ബെവൽഡ് ക്ലോഷർ
