Marathi,English
अॅबॅकस,abacus
असामान्य समाप्ती,abnormal termination
गर्भपात,abort
निरपेक्ष,absolute
परिपूर्ण पत्ता,absolute address
निरपेक्ष संबोधन,absolute addressing
परिपूर्ण असेंबलर,absolute assembler
परिपूर्ण कोड,absolute code
निरपेक्ष आज्ञा,absolute command
परिपूर्ण डेटा,absolute data
परिपूर्ण सूचना,absolute instruction
परिपूर्ण मोड,absolute mode
परिपूर्ण मार्ग,absolute path
परिपूर्ण प्रोग्रामिंग,absolute programming
अमूर्त वर्ग,abstract class
अमूर्त डेटा प्रकार,abstract data type
अमूर्त मशीन,abstract machine
अमूर्त चिन्ह,abstract symbol
अमूर्त वाक्यरचना,abstract syntax
स्वीकृती चाचणी,acceptance testing
प्रवेश प्रमाणीकरण,access authentication
प्रवेश कोड,access code
प्रवेश नियंत्रण,access control
प्रवेश स्कॅन,access scan
ऍक्सेसरी,accessory
खाते,account
खाते आयडी,account ID
संचयक,accumulator
अचूकता,accuracy
प्रवेश,acess
ऍक्सेस कंट्रोल बाइट,acess control byte
प्रवेश निर्देशांक,acess index
प्रवेश की,acess key
ऍक्सेस मॅट्रिक्स,acess matrix
प्रवेश मोड,acess mode
प्रवेश विशेषाधिकार,acess privilege
प्रवेश सुरक्षा,acess security
ऍक्सेस सर्व्हर,acess server
प्रवेश वेळ,acess time
पोचपावती,acknowledgement
ध्वनीशास्त्र,acoustics
परिवर्णी शब्द,acronym
क्रिया संदेश,action message
सक्रियकरण,activation
सक्रिय सर्व्हर पृष्ठ (एएसपी),active server page (ASP)
सक्रिय आवृत्ती,active version
अॅसायक्लिक,acyclic
अॅसायक्लिक आलेख,acyclic graph
अडा भाषा,Ada language
अडॅप्टर,adapter
जोडा,add
फाइल जोडा,add file
ऑपरेशन जोडा,add operation
जोडणारा,adder
पत्ता,address
पत्ता बस,address bus
पत्ता फाइल,address file
पत्त्याचे स्वरूप,address format
पत्ता जनरेटर,address generator
पत्ता ओळ,address line
पत्ता मॅपिंग,address mapping
पत्ता सूचक,address pointer
पत्ता नोंदवही,address register
पत्ता ठराव,address resolution
पत्ता अनुवाद,address translation
संबोधित मेमरी,addressed memory
संबोधित करणे,addressing
पर्याप्तता निकष,adequacy criteria
संलग्न,adjoint
प्रशासन,administration
प्रशासक,administrator
adobe acrobat,adobe acrobat
अडोब फोटोशाॅप,adobe photoshop
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),Advance Business Application Programming (ABAP)
प्रगत डेटा,advanced data
प्रगत माहिती प्रणाली,advanced information system
प्रगत तंत्रज्ञान (AT),advanced technology (AT)
एजंट,agent
एकत्रीकरण,aggregation
एअरबोर्न संगणक प्रणाली,airborne computer system
aldus पृष्ठ निर्माता,aldus page maker
इशारा बॉक्स,alert box
अल्गोल,algol
अल्गोरिदम,algorithm
अल्गोरिदम विश्लेषण,algorithm analysis
अल्गोरिदम कार्यक्षमता,algorithm efficiency
उर्फ,alias
संरेखन,alignment
वाटप,allocation
वर्णमाला,alphabetic
अल्फान्यूमेरिक,alphanumeric
अल्फान्यूमेरिक की बोर्ड,alphanumeric key board
अल्फा-चाचणी,alpha-test
अल्फा आवृत्ती,alpha-version
alt की,alt key
altavista,altavista
अस्पष्टता,ambiguity
अस्पष्ट व्याकरण,ambiguous grammar
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),American National Standards Institute (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),American Standard Code For Information Interchange (ASCII)
अॅनालॉग,analog
अॅनालॉग संगणक,analog computer
अॅनालॉग डिव्हाइस,analog device
अॅनालॉग मॉडेम,analog modem
अॅनालॉग ते डिजिटल कनव्हर्टर (ADC),Analog To Digital Converter (ADC)
आणि,AND
आणि सर्किट,AND circuit
आणि गेट,AND gate
आणि ऑपरेशन नाही (अपवर्जन),AND not operation (Exclusion)
अॅनिमेशन,animation
भाष्य,annotation
विसंगती,anomaly
पूर्ववर्ती,antecedent
आगाऊ पेजिंग,anticipatory paging
विरोधी सममित,anti-symmetric
अँटीव्हायरस प्रोग्राम,antivirus program
ऍपलेट,applet
अनुप्रयोग विकासक,application developer
अनुप्रयोग प्रोग्रामिंग,application programming
ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API),application programming interface (API)
अनुप्रयोग सॉफ्टवेअर,application software
उपयोजक भाषा,applicative language
अंदाजे सिद्धांत,approximation theory
आर्किटेक्चर,architecture
क्षेत्र हस्तांतरण,area transfer
युक्तिवाद,argument
अंकगणित आणि तर्कशास्त्र एकक,arithmatic and logic unit
अंकगणित तपासणी,arithmatic check
अंकगणित स्थिरांक,arithmatic constant
अंकगणित डेटा,arithmatic data
अंकगणित सूचना,arithmatical instruction
अंकगणित आणि तर्कशास्त्र एकक (ALU),arithmetic and logic unit (ALU)
अर्पानेट,ARPANET
रचना,array
अॅरे कॅशे,array cache
अॅरे संगणक,array computer
अॅरे घटक,array element
अॅरे नाव,array name
अॅरे प्रोसेसर,array processor
बाण दर्शक बटणे,arrow keys
उच्चार,articulation
उच्चार बिंदू,articulation point
कृत्रिम कॉम्पॅक्शन,artificial compaction
कृत्रिम नियंत्रण,artificial control
कृत्रिम बुद्धिमत्ता,artificial intelligence
चढणारा,ascender
चढत्या क्रमवारी,ascending sort
ASCII बेटिकल ऑर्डर,ASCII betical order
ASCII नियंत्रण वर्ण,ASCII control character
ASCII फाइल,ASCII file
ASCII फॉन्ट,ASCII font
ASCII हस्तांतरण,ASCII transfer
प्रसर गुणोत्तर,aspect ratio
एएसपीआय,ASPI
ASR टाइमर,ASR timer
एकत्र करणे,assemble
असेंबलर,assembler
विधानसभा,assembly
विधानसभा भाषा,assembly language
प्रतिपादन,assertion
असाइनमेंट,assignment
संघटना,association
सहयोगी पत्ता,associative address
सहयोगी स्मृती,associative memory
asteric,asteric
असममित,asymmetric
असिंक्रोनस,asynchronous
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),asynchronous Digital Subscriber Line (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),asynchronous Time Division Multiplexing (ATDM)
असिंक्रोनस हस्तांतरण,asynchronous transfer
एसिंक्रोनस ट्रान्सफर मोड (एटीएम),asynchronous Transfer Mode (ATM)
अणू,atom
संलग्न दस्तऐवज,attached document
संलग्न फाइल,attached file
संलग्नक,attachment
विशेषता,attribute
ऑडिओ,audio
ऑडिट प्रोग्रामिंग,audit programming
तपासणीचे सूत्र,audit trail
वाढ,augmentation
प्रमाणीकरण प्रोटोकॉल,authentication protocol
ऑथरिंग सिस्टम,authoring system
अधिकृतता,authorization
स्वयं गोषवारा,auto abstract
ऑटोबूटिंग,autobooting
ऑटोकॅड,autocad
ऑटोलॉग चालू,autolog on
स्वयंचलित,automata
ऑटोमेटा सिद्धांत,automata theory
स्वयंचलित संगणन,automatic computing
स्वयंचलित डेटा प्रक्रिया,automatic data processing
स्वयंचलित त्रुटी सुधारणा,automatic error correction
स्वयंचलित कार्य,automatic function
स्वयंचलित अनुक्रमणिका,automatic indexing
स्वयंचलित लायब्ररी कॉल,automatic library call
स्वयंचलित प्रोग्रामिंग,automatic programming
स्वयंचलित पुनर्प्राप्ती कार्यक्रम,automatic recovery program
स्वयंचलित दिनचर्या,automatic routine
स्वयंचलित प्रणाली पुनर्प्राप्ती,automatic system recovery
स्वयंचलित टेलर मशीन (एटीएम),automatic teller machine (ATM)
ऑटोमेशन,automation
ऑटो प्ले,autoplay
स्वयं जतन करा,autosave
सहाय्यक,auxiliary
सहाय्यक मेमरी,auxiliary memory
सहायक स्टोरेज,auxiliary storage
उपलब्ध यादी,available list
उपलब्ध वेळ,available time
सरासरी,average
awk (भाषा),awk (language)
बॅकएंड,backend
बॅकएंड प्रोसेसर,backend processor
बॅकफेस काढणे,backface removal
पार्श्वभूमी प्रक्रिया,background processing
बॅकिंग स्टोअर,backing store
बॅकपॅचिंग,backpatching
बॅकस्पेस,backspace
बॅकट्रॅकिंग,backtracking
बॅकअप,back-up
बॅकअप मेमरी,back-up memory
