English,Bengali
Abbey of Westminster,ওয়েস্টমিনস্টারের অ্যাবে
Abditory,বর্জনীয়
Abolition of slavery,দাসত্বের সমাপ্তি
Aboriginal,আদিবাসী
Abraham Era,আব্রাহাম যুগ
Absentee landlords,অনুপস্থিত জমির মালিক
Academy,একাডেমী
Accra conference,আকরা সম্মেলন
Accruals,সঞ্চয়
Acculturation,সংগ্রহ
Aceldama,অ্যাসেলডামা
Achaean (=Achian),আচিয়ান (=আচিয়ান)
Achaean League (=Achian League),আচিয়ান লীগ (=আচিয়ান লীগ)
Acropolis,অ্যাক্রোপলিস
Acta Diurna,Acta Diurna
Acta Senatus,Acta Senatus
Acte Additionel,অ্যাক্ট অ্যাডিশনেল
Active record (=current record),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
Act of attainder,প্রাপ্তির কাজ
Act of Indemnity and oblivion,ক্ষতিপূরণ এবং বিস্মৃতির আইন
Act of Settlement,নিষ্পত্তির আইন
Ad contractus seal,বিজ্ঞাপন চুক্তি সীল
Adullamites,আদুল্লামাইটস
Adversary,প্রতিপক্ষ
Adversary,প্রতিপক্ষ
Aeon,Aeon
Aerarium,এরারিয়াম
Aerial warfare,বায়বীয় যুদ্ধ
Aetolian League,এটোলিয়ান লীগ
Age,বয়স
Ageing (=aging),বার্ধক্য (=বার্ধক্য)
Ageing process,বার্ধক্য প্রক্রিয়া
Agelai,এগেলাই
Age of chivalry,বীরত্বের বয়স
Age of Englightment,এনলাইটমেন্টের বয়স
Age of Pericles,পেরিক্লেসের বয়স
Age of reason,কারণ বয়স
Agrarianism,কৃষিবাদ
Agrarian movement,কৃষি আন্দোলন
Albion,অ্যালবিয়ন
Album,অ্যালবাম
Alderman,অল্ডারম্যান
Allusive arms,লোভনীয় অস্ত্র
Amity,বন্ধুত্ব
Amphictyonic Council,অ্যাম্ফিক্টোনিক কাউন্সিল
Amphictyonic League,Amphictyonic লীগ
Amphitheatre,অ্যাম্ফিথিয়েটার
Amri Nal group (of pottery),আমরি নল দল (মৃৎপাত্রের)
Anachronism,অ্যানাক্রোনিজম
Anachronistic,অ্যানাক্রোনিস্টিক
Ancestor,পূর্বপুরুষ
Ancestor Worship,পূর্ব পুরুষের পুজা
Ancestry,বংশ
Ancestry,বংশ
Ancestry,বংশ
Ancestry,বংশ
Ancien regime,প্রাচীন শাসন
Ancient,প্রাচীন
Ancient ballad,প্রাচীন গীতিনাট্য
Ancient belief,প্রাচীন বিশ্বাস
Ancient custom,প্রাচীন রীতি
Ancient history,প্রাচীন ইতিহাস
Ancient monuments,প্রাচীন স্মৃতিস্তম্ভ
Anecdote,উপাখ্যান
Angelot,অ্যাঞ্জেলট
Angelus,এঞ্জেলাস
Angevin (=anjevin),অ্যাঞ্জেভিন (=এনজেভিন)
Angles,কোণ
Anglican,অ্যাংলিকান
Anglican Communion,অ্যাংলিকান কমিউনিয়ন
Anglicanism,অ্যাংলিকানিজম
Anglo-phobe,অ্যাংলো-ফোব
Anglo-phobia,অ্যাংলো-ফোবিয়া
Anglo-Saxon,অ্যাংলো-স্যাক্সন
Anglo-Saxonism,অ্যাংলো-স্যাক্সোনিজম
Annalist,অ্যানালিস্ট
Annals,ইতিহাস
Annexation,সংযোজন
Ante-bellum,এন্টে-বেলাম
Ante date,তারিখের আগে
Anti-clericalism,করণিকবাদ বিরোধী
Anti-clerical legislation,অ্যান্টি-ক্লারিক্যাল আইন
Antiquity,প্রাচীনত্ব
Anti-rent,ভাড়া বিরোধী
Anti-rent,ভাড়া বিরোধী
Anti Semitism,সেমিটিজম বিরোধী
Anzac,আনজাক
Apella,আপেলা
Aralu,আরালু
Arch bishop,আর্চ বিশপ
Arch duchy,আর্চ ডুচি
Arch duke,আর্চ ডিউক
