Bengali,English
গর্ভপাত,Abort
গর্ভপাত টাইমার,Abort timer
পরম ঠিকানা,Absolute address
পরম ঠিকানা,Absolute addressing
পরম এসেম্বলার,Absolute assembler
পরম কোড,Absolute code
পরম কোডিং,Absolute coding
পরম কমান্ড,Absolute command
পরম সমন্বয়,Absolute coordinate
পরম ডেটা,Absolute data
পরম ত্রুটি,Absolute error
পরম অভিব্যক্তি,Absolute expression
পরম নির্দেশ,Absolute instruction
পরম লোডার,Absolute loader
পরম আদেশ,Absolute order
পরম প্রোগ্রামিং,Absolute programming
পরম শব্দ,Absolute term
পরম মান,Absolute value
পরম ভেক্টর,Absolute vector
বিমূর্ত,Abstract
বিমূর্ত,Abstracting
বিমূর্ত প্রতীক,Abstract symbol
ত্বরণ সময়কাল,Acceleration period
ত্বরণের সময়,Acceleration time
অ্যাকসেন্ট,Accent
স্বীকৃতি পরীক্ষা,Acceptance test
অ্যাক্সেস,Access
অ্যাক্সেস আর্ম,Access arm
অ্যাক্সেস ব্যবস্থা,Access arrangement
অ্যাক্সেস কর্তৃপক্ষ,Access authority
অ্যাক্সেস চার্জ,Access charge
অ্যাক্সেস ক্লাস,Access class
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,Access data base management
অ্যাক্সেস পরিবেশ,Access environment
অ্যাক্সেস ফাঁক,Access gap
অ্যাক্সেস সূচক,Access index
অ্যাক্সেস লাইন,Access line
অ্যাক্সেস প্রক্রিয়া,Access mechanism
অ্যাক্সেস পদ্ধতি,Access method
অ্যাক্সেস পদ্ধতির রুটিন,Access method routine
অ্যাক্সেস মোড,Access mode
এক্সেস অধিকার,Access right
অ্যাক্সেস স্ক্যান,Access scan
প্রবেশাধিকার সময়,Access time
অ্যাকাউন্টিং,Accounting
অ্যাকাউন্টিং ফিনান্স সিস্টেম,Accounting finance system
অ্যাকাউন্টিং মেশিন,Accounting machine
হিসাব নাম্বার,Account number
প্রজননকারী জমে,Accumulating reproducer
জমে,Accumulator
সংগ্রহকারী রেজিস্টার,Accumulator register
সংগ্রহকারী শিফট নির্দেশনা,Accumulator shift instruction
সঠিকতা,Accuracy
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,Accuracy control character
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,Accuracy control system
এস পাইলট,Ace pilot
চরিত্র স্বীকৃতি,Acknowledge character
অ্যাকোস্টিক কাপলার,Acoustic coupler
