Malayalam,Gujarati
അബെലിയൻ ഗ്രൂപ്പ്,એબેલિયન જૂથ
അബെലിയൻ സെമിഗ്രൂപ്പ്,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
കേവല,સંપૂર્ણ
കേവലമായ ഒത്തുചേരൽ,સંપૂર્ણ સંકલન
സമ്പൂർണ്ണ പിശക്,સંપૂર્ણ ભૂલ
കേവല പരമാവധി,સંપૂર્ણ મહત્તમ
സമ്പൂർണ്ണ മിനിമം,સંપૂર્ણ લઘુત્તમ
യഥാർത്ഥ മൂല്യം,સંપૂર્ણ મૂલ્ય
കേവല വേഗത,સંપૂર્ણ વેગ
അമൂർത്ത ബീജഗണിതം,અમૂર્ત બીજગણિત
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,અમૂર્ત જૂથ સિદ્ધાંત
ത്വരണം,પ્રવેગ
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,સ્વીકાર્ય પસંદગી સમૂહ
സ്വീകാര്യമായ നിലവാരം,સ્વીકાર્ય ગુણવત્તા સ્તર
സ്വീകാര്യമായ ശ്രേണി,સ્વીકાર્ય શ્રેણી
സ്വീകാര്യമായ വിശ്വാസ്യത നില,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
സ്വീകാര്യമായ സാമ്പിൾ,સ્વીકાર્ય નમૂના
സഞ്ചിത പിശക്,સંચિત ભૂલ
കൃത്യത,ચોકસાઈ
പ്രവർത്തന ശക്തി,અભિનય બળ
നടപടി,ક્રિયા
പ്രവർത്തനവും പ്രതികരണവും,ક્રિયા અને પ્રતિક્રિયા
യഥാർത്ഥ ശാസ്ത്രം,વાસ્તવિક વિજ્ઞાન
നിശിത കോണുള്ള ത്രികോണം,તીવ્ર કોણીય ત્રિકોણ
അസൈക്ലിക്,એસાયક્લિક
ചേർക്കുക,ઉમેરો
ചേർക്കുന്നയാൾ,ઉમેરનાર
കൂട്ടിച്ചേർക്കൽ,વધુમાં
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,વધારાનું સૂત્ર
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,જટિલ સંખ્યાઓનો ઉમેરો
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,કાર્યોનો ઉમેરો
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,મેટ્રિસિસનો ઉમેરો
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,બહુપદીનો ઉમેરો
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,સંભાવનાઓનો ઉમેરો
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,વેક્ટરનો ઉમેરો
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,વધારાનું પ્રમેય
സങ്കലന ഗ്രൂപ്പ്,ઉમેરણ જૂથ
വിപരീത വിപരീതം,ઉમેરણ વ્યસ્ત
അഡിറ്റീവ് പ്രോപ്പർട്ടി,ઉમેરણ મિલકત
അഡിറ്റിവിറ്റി,ઉમેરણ
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,સંલગ્નતા મેટ્રિક્સ
തൊട്ടടുത്തുള്ള,અડીને
അടുത്തുള്ള കോണുകൾ,અડીને આવેલા ખૂણા
തൊട്ടടുത്തുള്ള ശീർഷകം,અડીને શિરોબિંદુ
ചേരുക,સંલગ્ન
തൊട്ടടുത്തുള്ള,સંલગ્ન
അനുബന്ധ ഡിറ്റർമിനന്റ്,સંલગ્ન નિર્ણાયક
അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം,સંલગ્ન વિભેદક સમીકરણ
അനുബന്ധ സമവാക്യം,સંલગ્ન સમીકરણ
അനുബന്ധ മാട്രിക്സ്,સંલગ્ન મેટ્રિક્સ
മാട്രിക്സിന്റെ അനുബന്ധം,મેટ્રિક્સનો સંલગ્ન ભાગ
അഡ്ജുഗേറ്റ് മാട്രിക്സ്,એડજ્યુગેટ મેટ્રિક્સ
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,સ્વીકાર્ય નિર્ણય કાર્ય
അനുവദനീയമായ അനുമാനം,સ્વીકાર્ય પૂર્વધારણા
എയറോഡൈനാമിക് ശക്തി,એરોડાયનેમિક બળ
എയറോഡൈനാമിക്സ്,એરોડાયનેમિક્સ
അഫൈൻ ജ്യാമിതി,સંલગ્ન ભૂમિતિ
അഫൈൻ മാപ്പിംഗ്,affine મેપિંગ
അഫൈൻ പരിവർത്തനം,સંલગ્ન રૂપાંતર
അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ,એકંદર ચલો
ബീജഗണിതം,બીજગણિત
ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു,બીજગણિતીય રીતે બંધ
ബീജഗണിത സമവാക്യം,બીજગણિતીય સમીકરણ
ബീജഗണിത പദപ്രയോഗം,બીજગણિતીય અભિવ્યક્તિ
ബീജഗണിത രൂപം,બીજગણિત સ્વરૂપ
ബീജഗണിത പ്രവർത്തനം,બીજગણિત કાર્ય
ബീജഗണിത ജ്യാമിതി,બીજગણિત ભૂમિતિ
ബീജഗണിത ഗുണിതം,બીજગણિત ગુણાકાર
ബീജഗണിത വ്യവസ്ഥ,બીજગણિત સિસ્ટમ
എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം,તમામ પૂર્ણાંક સમસ્યા
വിഹിതം പ്രശ്നം,ફાળવણી સમસ્યા
അക്ഷരമാലാ ക്രമം,આલ્ફાબેટીકલ નોટેશન
അക്ഷരമാലാക്രമം,આલ્ફાબેટીક અક્ષર
ഇതര കോൺ,વૈકલ્પિક કોણ
ഒന്നിടവിട്ട രൂപം,વૈકલ્પિક સ્વરૂપ
ഇതര ഗ്രൂപ്പ്,વૈકલ્પિક જૂથ
ഒന്നിടവിട്ട മാട്രിക്സ്,વૈકલ્પિક મેટ્રિક્સ
ഒന്നിടവിട്ട പരമ്പര,વૈકલ્પિક શ્રેણી
ഇതര സിദ്ധാന്തം,વૈકલ્પિક પૂર્વધારણા
ഇതര ഒപ്റ്റിമ,વૈકલ્પિક ઓપ્ટિમા
ഇതര ഫലം,વૈકલ્પિક પરિણામ
അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
അനലോഗ് കമ്പ്യൂട്ടർ,એનાલોગ કમ્પ્યુટર
വിശകലനം,વિશ્લેષણ
സഹവർത്തിത്വത്തിന്റെ വിശകലനം,સહપ્રવૃત્તિનું વિશ્લેષણ
എണ്ണൽ ഡാറ്റയുടെ വിശകലനം,ગણતરી માહિતીનું વિશ્લેષણ
വ്യതിയാനത്തിന്റെ വിശകലനം,વિચલનનું વિશ્લેષણ
അനലിറ്റിക് ജ്യാമിതി,વિશ્લેષણાત્મક ભૂમિતિ
വിശകലന പ്രവർത്തനം,વિશ્લેષણાત્મક કાર્ય
കോൺ,કોણ
കോൺടാക്റ്റ് കോൺ,સંપર્ક કોણ
വ്യതിചലനത്തിന്റെ കോൺ,વિચલન કોણ
വിഷാദത്തിന്റെ ആംഗിൾ,હતાશાનો કોણ
വ്യതിയാനത്തിന്റെ കോൺ,વિચલન કોણ
ഡിഫ്രാക്ഷൻ കോൺ,વિવર્તન કોણ
എലവേഷൻ കോൺ,એલિવેશન કોણ
സംഭവത്തിന്റെ കോൺ,ઘટના કોણ
പ്രൊജക്ഷൻ കോൺ,પ્રક્ષેપણ કોણ
പ്രതിഫലനത്തിന്റെ കോൺ,પ્રતિબિંબ કોણ
അപവർത്തന കോൺ,રીફ્રેક્શન કોણ
ഭ്രമണകോണ്,પરિભ્રમણ કોણ
മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ,કુલ પ્રતિબિંબ કોણ
കോണീയ ത്വരണം,કોણીય પ્રવેગક
കോണീയ ചലനം,કોણીય ગતિ
കോണീയ വേഗത,કોણીય ઝડપ
കോണീയ പ്രവേഗം,કોણીય વેગ
വാർഷികം,વલય
ഉത്തരം,જવાબ
ആന്റി-ഡെറിവേറ്റീവ്,વિરોધી વ્યુત્પન્ન
ആന്റിസിമെട്രിക് പ്രവർത്തനം,એન્ટિસપ્રમાણ કાર્ય
ബാധകമാണ്,લાગુ
അപേക്ഷ,અરજી
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
പ്രയോഗിച്ച ജ്യാമിതി,લાગુ ભૂમિતિ
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,લાગુ ગણિત
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,લાગુ આંકડા
ഏകദേശം,લગભગ
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,લગભગ સતત કાર્ય
