Assamese,Marathi
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,A B वर्ग अॅम्प्लीफायर
বিচ্যুতি,विकृती
অস্বাভাৱিক সংক্ৰমণ,असामान्य प्रसार
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
অনুপস্থিত বৰ্ণালী,गहाळ स्पेक्ट्रम
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
নিৰপেক্ষ আৰ্দ্ৰতা,परिपूर्ण आर्द्रता
নিৰপেক্ষ গতি,परिपूर्ण गती
নিৰপেক্ষ পৰ্যবেক্ষণ,परिपूर्ण निरीक्षण
নিৰপেক্ষ উষ্ণতা,परिपूर्ण तापमान
নিৰপেক্ষ শূন্য,पूर्ण शून्य
শুহি লোৱা,शोषून घेणे
"শোষক, শোষক","शोषक, शोषक"
শোষণ ক্ষমতা,शोषण क्षमता
শোষণ ক্ষমতা,शोषण
শোষক,शोषक
শোষণ ক্ষমতা,शोषकता
বহুগুণতা অনুপাত,गुणोत्तर गुणोत्तर
ত্বৰান্বিত কৰক,गती वाढवणे
খৰধৰকৈ উঠিল,घाई केली
বেগ বৃদ্ধি,प्रवेग
মাধ্যাকৰ্ষণৰ ত্বৰণ,गुरुत्वाकर्षणाचा प्रवेग
ত্বৰণকাৰী,प्रवेगक
ত্বৰণকাৰী,प्रवेगक
এক্সিলেৰমিটাৰ,प्रवेगमापक
প্ৰিষ্ট্ৰেছাৰ,prestresser
গ্ৰহণযোগ্য পৰীক্ষা,स्वीकार्य चाचणी
গ্ৰহণকাৰী,स्वीकारणारा
দাতা অণু,दाता रेणू
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
অভিগম্যতা,प्रवेशयोग्यता
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
প্ৰৱেশ সময়,प्रवेश वेळ
দৰ্শকৰ ভুল,अभ्यागत त्रुटी
সমন্বয়,समायोजन
সঞ্চিত কৰা হৈছে,जमा
"সঞ্চয়, সঞ্চয়","जमा करणे, जमा करणे"
এক্যুলেটৰ,संचयक
শুদ্ধতা,अचूकता
বাস্তৱতা,वास्तव
ৰঙীন লেন্স,अॅक्रोमॅटिक लेन्स
achromatic,अक्रोमॅटिक
achromaticity,अक्रोमॅटिकता
একাউষ্টিক,ध्वनिक
শব্দ নিবাৰণ,ध्वनीरोधक
একাউষ্টিক ফ&#39;নন,ध्वनिक फोनन
শব্দ একক,ध्वनी युनिट
একাউষ্টিক,ध्वनिक
শব্দ উৎপাদক,ध्वनी जनरेटर
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,क्रिया आणि प्रतिक्रिया
সক্ৰিয়কৰণ,सक्रियकरण
সক্ৰিয়কৰণ শক্তি,सक्रियता ऊर्जा
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","सक्रिय करणारा, सक्रिय करणारा"
সক্ৰিয়,सक्रिय
সক্ৰিয়তা,सक्रियता
প্ৰকৃত মানসিক চাপ,वास्तविक ताण
ফুচফুচাই কোৱা,कुजबुजणे
সামৰণিত,बेरीज करणे
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)","बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)"
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)","संयुक्त स्वर, अतिरिक्त स्वर (स्वर)"
যোগকৰণ,additive
আঠাযুক্ততা,आसंजन
আঠাযুক্ত শক্তি,चिकट ऊर्जा
আদিয়াবাট,adiabat
adiabatic,adiabatic
তাপ নিৰোধক,उष्णता इन्सुलेट
সংলগ্ন কৰা হৈছে,संलग्नक
নিয়ন্ত্ৰণযোগ্য,बदलानुकारी
ভেদ,प्रवेश
শোষণ,शोषण
আগলৈ,पुढे
প্ৰগতিশীল,प्रगतीशील
"আকাশী, বায়ু (v.), আকাশী (ed.)","आकाशी, वायु (वि.), हवाई (सं.)"
এন্টেনা ষ্ট্ৰিম,अँटेना प्रवाह
আকাশী জৰীপ,हवाई सर्वेक्षण
বায়ুৰ বেগ,हवेचा वेग
বায়ুগতিশীল সহগ,वायुगतिकीय गुणांक
বায়ুগতিবিদ্যা,वायुगतिकीय
বায়ুগতিবিদ্যা,वायुगतिकी
এৰোনটিকেল,वैमानिक
এৰোনটিক্স,वैमानिक
বায়ুৰ স্পন্দন,हवेची नाडी
"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ","वातावरण, वायूमंडल"
ফোকাচ চিষ্টেম,फोकस सिस्टम
বেক ইগনিচন,परत प्रज्वलन
বেক লাইট,परत प्रकाश
জোকাৰণি,आघात
